https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CIRUS,Volume USDT
1663459200,2022-09-18 00:00:00,CIRUS/USDT,0.13972,0.13995,0.13959,0.13988,67899.2935,9495.528388754
1663372800,2022-09-17 00:00:00,CIRUS/USDT,0.13692,0.14185,0.13685,0.13973,2537670.8197,351743.95529048
1663286400,2022-09-16 00:00:00,CIRUS/USDT,0.13751,0.13811,0.13515,0.13691,2519378.4721,344470.897786555
1663200000,2022-09-15 00:00:00,CIRUS/USDT,0.14252,0.14472,0.13082,0.13751,2365363.9303,333989.63169262
1663113600,2022-09-14 00:00:00,CIRUS/USDT,0.14905,0.1519,0.14054,0.14274,2434324.1077,358620.154192128
1663027200,2022-09-13 00:00:00,CIRUS/USDT,0.1514,0.1519,0.14556,0.14915,2347330.2969,350607.474969115
1662940800,2022-09-12 00:00:00,CIRUS/USDT,0.14973,0.15189,0.14888,0.15141,2175125.3397,328004.380793654
1662854400,2022-09-11 00:00:00,CIRUS/USDT,0.14957,0.15189,0.14867,0.14973,2093737.7465,312854.386947605
1662768000,2022-09-10 00:00:00,CIRUS/USDT,0.15098,0.15135,0.14676,0.14955,2423923.09,360870.071401029
1662681600,2022-09-09 00:00:00,CIRUS/USDT,0.14543,0.15135,0.1429,0.15097,2449569.0093,361741.220080161
1662595200,2022-09-08 00:00:00,CIRUS/USDT,0.14577,0.14676,0.14363,0.14546,2219444.7678,322181.765823044
1662508800,2022-09-07 00:00:00,CIRUS/USDT,0.14937,0.15049,0.14253,0.1458,2705891.41,399309.644005089
1662422400,2022-09-06 00:00:00,CIRUS/USDT,0.14819,0.15089,0.14762,0.14963,2268226.3517,337741.260785775
1662336000,2022-09-05 00:00:00,CIRUS/USDT,0.15119,0.15172,0.14515,0.14818,2405962.3018,355354.577184585
1662249600,2022-09-04 00:00:00,CIRUS/USDT,0.16192,0.16243,0.14974,0.15121,2351553.1504,361253.813284694
1662163200,2022-09-03 00:00:00,CIRUS/USDT,0.15471,0.16373,0.15394,0.1619,2119465.5445,332632.570892224
1662076800,2022-09-02 00:00:00,CIRUS/USDT,0.15622,0.15838,0.15394,0.15473,2436313.9652,379495.450285355
1661990400,2022-09-01 00:00:00,CIRUS/USDT,0.16037,0.16756,0.15393,0.15625,2196667.186,350104.264975933
1661904000,2022-08-31 00:00:00,CIRUS/USDT,0.15567,0.16269,0.15427,0.16046,2094372.9679,334665.000535671
1661817600,2022-08-30 00:00:00,CIRUS/USDT,0.15435,0.15734,0.15394,0.15565,2326954.8233,360892.197062949
1661731200,2022-08-29 00:00:00,CIRUS/USDT,0.15429,0.15515,0.15394,0.15433,2226567.5997,343853.485913566
1661644800,2022-08-28 00:00:00,CIRUS/USDT,0.15231,0.155,0.15179,0.15431,2232692.7589,341449.449501352
1661558400,2022-08-27 00:00:00,CIRUS/USDT,0.15178,0.15429,0.14817,0.15228,2229333.1515,339872.587735163
1661472000,2022-08-26 00:00:00,CIRUS/USDT,0.15709,0.15713,0.15178,0.15179,1042095.3777,161294.091578042
1661385600,2022-08-25 00:00:00,CIRUS/USDT,0.15651,0.16126,0.15506,0.15712,2331719.093,369103.010031698
1661299200,2022-08-24 00:00:00,CIRUS/USDT,0.16452,0.16532,0.15571,0.15648,2285150.7867,371693.8889523
1661212800,2022-08-23 00:00:00,CIRUS/USDT,0.16296,0.166,0.16023,0.1645,2308366.9121,375987.321626289
1661126400,2022-08-22 00:00:00,CIRUS/USDT,0.16061,0.16593,0.15885,0.16297,2062806.9066,331202.25011793
1661040000,2022-08-21 00:00:00,CIRUS/USDT,0.16293,0.16802,0.15906,0.16061,2241926.6958,368017.148386712
1660953600,2022-08-20 00:00:00,CIRUS/USDT,0.14845,0.174,0.14816,0.16292,2666802.2831,412536.925969128
