https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume USDT
1663459200,2022-09-18 00:00:00,CHZ/USDT,0.22525,0.22871,0.22306,0.22344,658483.07374271,148838.5547555799985
1663372800,2022-09-17 00:00:00,CHZ/USDT,0.21024,0.228,0.20836,0.2253,17950503.49325404,3895305.9571765770919
1663286400,2022-09-16 00:00:00,CHZ/USDT,0.19104,0.21317,0.18968,0.2102,21798749.66664489,4425917.483867989457
1663200000,2022-09-15 00:00:00,CHZ/USDT,0.19233,0.19753,0.178,0.19101,14351073.92486779,2704052.9129002836497
1663113600,2022-09-14 00:00:00,CHZ/USDT,0.19313,0.19931,0.18712,0.19234,8231810.67058845,1590460.9138160293254
1663027200,2022-09-13 00:00:00,CHZ/USDT,0.20153,0.21096,0.18949,0.19328,21468924.25940904,4314859.6456685445152
1662940800,2022-09-12 00:00:00,CHZ/USDT,0.20829,0.20923,0.19527,0.20147,10117117.41245377,2057758.3026712415075
1662854400,2022-09-11 00:00:00,CHZ/USDT,0.20201,0.22107,0.1969,0.20806,12818105.58637162,2693616.2845151693142
1662768000,2022-09-10 00:00:00,CHZ/USDT,0.20545,0.20766,0.19727,0.20154,8013059.46677921,1615817.4323912369457
1662681600,2022-09-09 00:00:00,CHZ/USDT,0.18714,0.20923,0.18648,0.20543,21245296.31120901,4243734.8944494176098
1662595200,2022-09-08 00:00:00,CHZ/USDT,0.19332,0.1982,0.18324,0.18693,16221827.2546251,3054878.0038800795197
1662508800,2022-09-07 00:00:00,CHZ/USDT,0.18489,0.19463,0.18257,0.19351,9303378.48516714,1749231.4532069909014
1662422400,2022-09-06 00:00:00,CHZ/USDT,0.20723,0.21015,0.18057,0.18477,13225741.84534873,2584531.6727235942493
1662336000,2022-09-05 00:00:00,CHZ/USDT,0.21346,0.21492,0.20138,0.20722,7914884.02095627,1636003.097654207392
1662249600,2022-09-04 00:00:00,CHZ/USDT,0.21704,0.21773,0.20942,0.21336,6778525.62949703,1444431.8577841520895
1662163200,2022-09-03 00:00:00,CHZ/USDT,0.21871,0.22673,0.21264,0.21728,13331223.0823536,2929747.8564246858705
1662076800,2022-09-02 00:00:00,CHZ/USDT,0.21381,0.227,0.20845,0.21863,17374413.32010502,3798502.9001158606532
1661990400,2022-09-01 00:00:00,CHZ/USDT,0.2179,0.22084,0.20167,0.21366,14781944.54605207,3103980.3454068959168
1661904000,2022-08-31 00:00:00,CHZ/USDT,0.19687,0.221,0.19686,0.21776,23226841.69752556,4891962.6274384585444
1661817600,2022-08-30 00:00:00,CHZ/USDT,0.21587,0.21758,0.19331,0.19664,16392714.5592832,3366648.033228998883
1661731200,2022-08-29 00:00:00,CHZ/USDT,0.21016,0.21828,0.20202,0.21571,16660608.26449127,3492199.8456953623979
1661644800,2022-08-28 00:00:00,CHZ/USDT,0.22014,0.233,0.20865,0.21031,15940417.03153203,3544406.0789532954341
1661558400,2022-08-27 00:00:00,CHZ/USDT,0.20718,0.22463,0.20587,0.21977,20101886.72839466,4329355.3402190577238
1661472000,2022-08-26 00:00:00,CHZ/USDT,0.2241,0.24285,0.20238,0.20736,34914203.20828834,7856761.1825648415577
1661385600,2022-08-25 00:00:00,CHZ/USDT,0.24245,0.24468,0.2194,0.2245,16958821.43229303,3929804.4506920043177
1661299200,2022-08-24 00:00:00,CHZ/USDT,0.25035,0.26529,0.23474,0.24239,21725212.16000819,5376036.5309716918858
1661212800,2022-08-23 00:00:00,CHZ/USDT,0.22298,0.26462,0.21579,0.25047,26319689.90401072,6198906.5895359343975
1661126400,2022-08-22 00:00:00,CHZ/USDT,0.18724,0.22405,0.18253,0.223,21146203.66933826,4242622.4048792164627
1661040000,2022-08-21 00:00:00,CHZ/USDT,0.18313,0.19486,0.17912,0.18734,13169985.05363514,2474978.3458623183515
1660953600,2022-08-20 00:00:00,CHZ/USDT,0.196,0.20094,0.17441,0.18311,16749319.32410667,3074287.4491337566829
1660867200,2022-08-19 00:00:00,CHZ/USDT,0.20874,0.2107,0.18873,0.1961,19578468.78130577,3918068.8925605803414
1660780800,2022-08-18 00:00:00,CHZ/USDT,0.22249,0.22952,0.20829,0.20873,17784038.83775792,3892903.3252695997768
1660694400,2022-08-17 00:00:00,CHZ/USDT,0.20976,0.2289,0.20163,0.22251,23478760.89864545,5096513.815480233293
1660608000,2022-08-16 00:00:00,CHZ/USDT,0.1965,0.21796,0.19422,0.20964,21079685.87348018,4395524.1746640983488
1660521600,2022-08-15 00:00:00,CHZ/USDT,0.18129,0.20469,0.17237,0.1965,21501252.13452366,4142790.3680531497458
1660435200,2022-08-14 00:00:00,CHZ/USDT,0.16156,0.1909,0.16063,0.18118,19245686.2201901,3468321.5545622703635
1660348800,2022-08-13 00:00:00,CHZ/USDT,0.16383,0.16406,0.15807,0.16156,2876773.77591969,462854.8317746873003
1660262400,2022-08-12 00:00:00,CHZ/USDT,0.14973,0.16592,0.14646,0.16382,8191739.50660811,1300086.6250335671052
1660176000,2022-08-11 00:00:00,CHZ/USDT,0.15308,0.15738,0.14883,0.14975,3644544.38625971,556582.740346864185
1660089600,2022-08-10 00:00:00,CHZ/USDT,0.14581,0.15439,0.14112,0.15308,3691313.36105925,547877.5940081313674
1660003200,2022-08-09 00:00:00,CHZ/USDT,0.15258,0.15269,0.14216,0.14579,4938150.98350166,725767.570890980927
1659916800,2022-08-08 00:00:00,CHZ/USDT,0.15128,0.15702,0.14952,0.15271,4657617.30953073,710131.5599257978086
1659830400,2022-08-07 00:00:00,CHZ/USDT,0.1462,0.15574,0.14297,0.15131,6684522.52659263,1010970.2672322889532
1659744000,2022-08-06 00:00:00,CHZ/USDT,0.14571,0.15342,0.14418,0.1462,6985554.455263,1032369.0574887636565
1659657600,2022-08-05 00:00:00,CHZ/USDT,0.14469,0.15025,0.14136,0.14576,8392296.28352703,1218181.9819091214705
1659571200,2022-08-04 00:00:00,CHZ/USDT,0.13383,0.14981,0.13367,0.14472,15643214.1035056,2250263.863224127921
1659484800,2022-08-03 00:00:00,CHZ/USDT,0.13573,0.14052,0.13066,0.13379,11724054.09774557,1593292.5579807554211
1659398400,2022-08-02 00:00:00,CHZ/USDT,0.14949,0.15931,0.13355,0.1359,32505304.19852992,4701224.6690091213108
1659312000,2022-08-01 00:00:00,CHZ/USDT,0.12177,0.16291,0.12126,0.14935,38668272.67348052,5688148.5628985077243
1659225600,2022-07-31 00:00:00,CHZ/USDT,0.1267,0.13225,0.12125,0.122,3523053.39589756,449344.6349846403389
1659139200,2022-07-30 00:00:00,CHZ/USDT,0.12922,0.13659,0.12552,0.12655,8803354.71634587,1152453.706466842796
1659052800,2022-07-29 00:00:00,CHZ/USDT,0.12086,0.13716,0.11475,0.12924,16269423.7267597,2086943.791713967156
1658966400,2022-07-28 00:00:00,CHZ/USDT,0.1141,0.12352,0.1103,0.1207,6306491.54918071,741439.5188925398251
1658880000,2022-07-27 00:00:00,CHZ/USDT,0.10338,0.11434,0.10166,0.11416,3917703.17843094,419601.005040843132
1658793600,2022-07-26 00:00:00,CHZ/USDT,0.10116,0.1034,0.09946,0.1034,3093376.99564671,312756.2760319488379
1658707200,2022-07-25 00:00:00,CHZ/USDT,0.10847,0.10929,0.10089,0.10139,6081136.67983976,637958.7211465095211
1658620800,2022-07-24 00:00:00,CHZ/USDT,0.10875,0.11107,0.10785,0.10846,2881674.43588815,315381.3942849040187
1658534400,2022-07-23 00:00:00,CHZ/USDT,0.10595,0.11011,0.10476,0.10869,4075657.69749252,438902.7240046197807
1658448000,2022-07-22 00:00:00,CHZ/USDT,0.11009,0.11375,0.10444,0.1059,4279047.7830941,466265.2410364171918
1658361600,2022-07-21 00:00:00,CHZ/USDT,0.10909,0.11105,0.10457,0.11024,6612159.29851666,716369.9004818439625
1658275200,2022-07-20 00:00:00,CHZ/USDT,0.1171,0.12039,0.108,0.10897,6921567.46163796,795216.7048546595328
