https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume EUR
1663545600,2022-09-19 00:00:00,CHZ/EUR,0.22982,0.23088,0.22982,0.23088,1515.62148837,349.9266892348656
1663459200,2022-09-18 00:00:00,CHZ/EUR,0.22800,0.24700,0.22466,0.23217,181643.65054253,42172.206346459185
1663372800,2022-09-17 00:00:00,CHZ/EUR,0.21114,0.22514,0.21114,0.21812,41836.63301789,9125.406393862168
1663286400,2022-09-16 00:00:00,CHZ/EUR,0.19520,0.21199,0.19520,0.21093,319339.04495272,67358.18475187723
1663200000,2022-09-15 00:00:00,CHZ/EUR,0.18700,0.19510,0.18113,0.19390,116591.25613475,22607.044564528023
1663113600,2022-09-14 00:00:00,CHZ/EUR,0.19669,0.19669,0.18923,0.19228,30263.77118830,5819.117924086325
1663027200,2022-09-13 00:00:00,CHZ/EUR,0.20448,0.20674,0.18993,0.19669,67169.91172517,13211.649937223687
1662940800,2022-09-12 00:00:00,CHZ/EUR,0.20164,0.20453,0.19389,0.19878,162401.86649744,32282.243022361126
1662854400,2022-09-11 00:00:00,CHZ/EUR,0.20091,0.21843,0.19850,0.20745,300957.63584152,62433.66155532332
1662768000,2022-09-10 00:00:00,CHZ/EUR,0.20355,0.20355,0.19793,0.20103,54993.61580137,11055.36658454941
1662681600,2022-09-09 00:00:00,CHZ/EUR,0.19327,0.20499,0.19327,0.20375,163147.04513246,33241.210445738725
1662595200,2022-09-08 00:00:00,CHZ/EUR,0.19158,0.19578,0.18431,0.18670,46683.26712981,8715.765973135527
1662508800,2022-09-07 00:00:00,CHZ/EUR,0.18835,0.19183,0.18767,0.19031,86501.71852100,16462.142051731513
1662422400,2022-09-06 00:00:00,CHZ/EUR,0.20328,0.20999,0.18500,0.18584,159909.81144020,29717.639358046767
1662336000,2022-09-05 00:00:00,CHZ/EUR,0.21564,0.21564,0.20328,0.20632,100746.42574774,20786.002560273715
1662249600,2022-09-04 00:00:00,CHZ/EUR,0.21796,0.21796,0.21112,0.21304,343571.10600873,73194.38842409984
1662163200,2022-09-03 00:00:00,CHZ/EUR,0.22299,0.22644,0.21523,0.21574,121910.97052274,26301.072780575927
1662076800,2022-09-02 00:00:00,CHZ/EUR,0.21337,0.22731,0.21300,0.21894,305377.20028908,66859.28423129117
1661990400,2022-09-01 00:00:00,CHZ/EUR,0.21636,0.21988,0.20383,0.21249,114054.15848701,24235.36813690476
1661904000,2022-08-31 00:00:00,CHZ/EUR,0.19801,0.21848,0.19801,0.21417,104497.73294876,22380.27946563593
1661817600,2022-08-30 00:00:00,CHZ/EUR,0.21474,0.21659,0.19417,0.19750,199954.16648390,39490.947880570246
1661731200,2022-08-29 00:00:00,CHZ/EUR,0.21300,0.21708,0.20289,0.21263,181467.39480374,38585.41215711924
1661644800,2022-08-28 00:00:00,CHZ/EUR,0.22350,0.23349,0.21304,0.21304,268566.17358230,57215.3376199732
1661558400,2022-08-27 00:00:00,CHZ/EUR,0.21212,0.22385,0.21045,0.22233,244102.40108380,54271.286832961254
1661472000,2022-08-26 00:00:00,CHZ/EUR,0.22356,0.24000,0.20400,0.20569,398114.16723823,81888.10305923154
1661385600,2022-08-25 00:00:00,CHZ/EUR,0.24000,0.24370,0.21986,0.22494,823887.31103802,185325.2117448922
1661299200,2022-08-24 00:00:00,CHZ/EUR,0.24997,0.26500,0.23657,0.24344,341064.64198666,83028.7764452325
1661212800,2022-08-23 00:00:00,CHZ/EUR,0.22459,0.26479,0.21797,0.25007,1139485.13196904,284951.04695149785
1661126400,2022-08-22 00:00:00,CHZ/EUR,0.18351,0.22500,0.18323,0.22336,375741.90810617,83925.71259459414
1661040000,2022-08-21 00:00:00,CHZ/EUR,0.18149,0.19258,0.18149,0.18759,275694.87610687,51717.601808887746
1660953600,2022-08-20 00:00:00,CHZ/EUR,0.19337,0.19340,0.17411,0.18383,429131.36697600,78887.21919119808
1660867200,2022-08-19 00:00:00,CHZ/EUR,0.20511,0.20978,0.18827,0.19483,365740.96591141,71257.31238852
1660780800,2022-08-18 00:00:00,CHZ/EUR,0.21927,0.22567,0.20889,0.20901,633647.65850301,132438.69710371413
1660694400,2022-08-17 00:00:00,CHZ/EUR,0.20403,0.22316,0.19844,0.21898,868607.80643296,190207.7374526896
1660608000,2022-08-16 00:00:00,CHZ/EUR,0.19590,0.21311,0.19590,0.20892,653692.40604969,136569.41747190122
1660521600,2022-08-15 00:00:00,CHZ/EUR,0.18071,0.20000,0.16861,0.19599,473505.85405114,92802.41233548294
1660435200,2022-08-14 00:00:00,CHZ/EUR,0.16160,0.18553,0.16160,0.17686,791952.23311041,140064.6719479071
1660348800,2022-08-13 00:00:00,CHZ/EUR,0.15765,0.15946,0.15433,0.15698,93410.31529712,14663.551295341898
1660262400,2022-08-12 00:00:00,CHZ/EUR,0.14626,0.16091,0.14466,0.16082,276319.10096968,44437.637817943934
1660176000,2022-08-11 00:00:00,CHZ/EUR,0.14956,0.15204,0.14505,0.14505,97036.76202130,14075.182331189566
1660089600,2022-08-10 00:00:00,CHZ/EUR,0.14000,0.14906,0.13896,0.14772,122803.13988233,18140.479823417787
1660003200,2022-08-09 00:00:00,CHZ/EUR,0.14892,0.14892,0.13980,0.14351,74110.71345879,10635.628488470951
1659916800,2022-08-08 00:00:00,CHZ/EUR,0.14906,0.15320,0.14715,0.14930,108838.61486371,16249.605199151902
1659830400,2022-08-07 00:00:00,CHZ/EUR,0.14367,0.15242,0.14367,0.14897,114171.52387070,17008.131911018176
1659744000,2022-08-06 00:00:00,CHZ/EUR,0.14263,0.14872,0.14244,0.14404,33078.81589228,4764.6726411240115
1659657600,2022-08-05 00:00:00,CHZ/EUR,0.14197,0.14425,0.13995,0.14268,38976.07933684,5561.106999780331
1659571200,2022-08-04 00:00:00,CHZ/EUR,0.13571,0.14593,0.13552,0.14020,219134.02780101,30722.590697701602
