https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USDT
1663459200,2022-09-18 00:00:00,QNT/USDT,109.6,111.31,108.759,111.199,1259.17785379,137866.51311632091
1663372800,2022-09-17 00:00:00,QNT/USDT,107.662,111.7,105.39,109.502,16281.1456761,1761353.18060691073
1663286400,2022-09-16 00:00:00,QNT/USDT,103.815,109.354,99.499,107.666,27583.23209641,2869527.80758954531
1663200000,2022-09-15 00:00:00,QNT/USDT,98.856,108.441,94.718,103.786,35294.83177233,3577761.15009348535
1663113600,2022-09-14 00:00:00,QNT/USDT,97.913,101.605,96.501,99.083,17775.48596766,1765425.69727869047
1663027200,2022-09-13 00:00:00,QNT/USDT,106.77,108.086,97.297,97.923,36310.41768912,3709067.48590141772
1662940800,2022-09-12 00:00:00,QNT/USDT,108.797,113,103.734,106.415,33559.57259558,3629452.904347857
1662854400,2022-09-11 00:00:00,QNT/USDT,105.46,109.6,102.143,108.802,24139.72813684,2575986.37820162699
1662768000,2022-09-10 00:00:00,QNT/USDT,103.281,106.225,100,105.242,16589.43648433,1713328.49448100597
1662681600,2022-09-09 00:00:00,QNT/USDT,101.711,107.491,101.607,103.485,27783.19269169,2910344.88624087337
1662595200,2022-09-08 00:00:00,QNT/USDT,95.512,103.796,94.823,101.826,30197.53370857,2987955.80772669883
1662508800,2022-09-07 00:00:00,QNT/USDT,89.987,98.941,87.145,95.512,26917.69323736,2477210.3164065638
1662422400,2022-09-06 00:00:00,QNT/USDT,93.114,94.993,87.12,89.95,20005.2706163,1823276.59284510418
1662336000,2022-09-05 00:00:00,QNT/USDT,95.156,95.833,92.216,93.044,7677.1291139,717833.6222107415
1662249600,2022-09-04 00:00:00,QNT/USDT,93.835,96.459,93.378,95.37,9355.74587663,888265.93914155771
1662163200,2022-09-03 00:00:00,QNT/USDT,92.76,94.175,91.906,93.76,9574.15869786,891063.6959737329
1662076800,2022-09-02 00:00:00,QNT/USDT,95.114,96.53,91.5,92.643,18163.09796296,1706623.15246281919
1661990400,2022-09-01 00:00:00,QNT/USDT,96.311,97.59,93.632,95.113,16100.29719342,1537409.11407338512
1661904000,2022-08-31 00:00:00,QNT/USDT,95.648,100.7,95.22,96.389,18551.35040121,1809104.17573265973
1661817600,2022-08-30 00:00:00,QNT/USDT,101.008,101.466,94,95.509,28714.21743437,2793130.93319596524
1661731200,2022-08-29 00:00:00,QNT/USDT,92.641,101.968,92.115,101,25401.22061401,2477136.76523529844
1661644800,2022-08-28 00:00:00,QNT/USDT,94.171,99,92,92.642,22731.34092278,2174419.18652810465
1661558400,2022-08-27 00:00:00,QNT/USDT,97.875,100.074,93.124,94.048,20362.95730237,1971464.96773493844
1661472000,2022-08-26 00:00:00,QNT/USDT,106.777,107.496,96.598,97.909,22554.36764137,2306126.31487719105
1661385600,2022-08-25 00:00:00,QNT/USDT,107.818,111.598,105.629,106.612,14104.93640135,1537876.20377965872
1661299200,2022-08-24 00:00:00,QNT/USDT,109.955,112.5,107.3,107.9,14043.11183361,1546679.941693376
