https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTSI,Volume BTC
1663459200,2022-09-18 00:00:00,CTSI/BTC,0.000007887,0.000007923,0.000007877,0.000007907,41.085,0.0003250143024
1663455600,2022-09-17 23:00:00,CTSI/BTC,0.000007875,0.000007911,0.000007875,0.000007897,25.3781,0.0002004027732
1663452000,2022-09-17 22:00:00,CTSI/BTC,0.000007837,0.000007864,0.000007837,0.000007864,21.6723,0.0001700486867
1663448400,2022-09-17 21:00:00,CTSI/BTC,0.000007817,0.00000784,0.000007809,0.00000784,13.416,0.0001050569582
1663444800,2022-09-17 20:00:00,CTSI/BTC,0.000007828,0.000007842,0.00000782,0.000007839,68.8339,0.0005388617022
1663441200,2022-09-17 19:00:00,CTSI/BTC,0.000007867,0.000007883,0.000007826,0.000007832,17.4331,0.0001370052707
1663437600,2022-09-17 18:00:00,CTSI/BTC,0.000007912,0.000007923,0.000007884,0.000007884,61.8365,0.0004897930113
1663434000,2022-09-17 17:00:00,CTSI/BTC,0.000007912,0.000007933,0.000007912,0.000007919,317.4425,0.0025178313027
1663430400,2022-09-17 16:00:00,CTSI/BTC,0.000008006,0.000008006,0.000007923,0.000007923,16.8247,0.0001342917212
1663426800,2022-09-17 15:00:00,CTSI/BTC,0.000008007,0.000008007,0.000008007,0.000008007,20.5117,0.0001642371819
1663423200,2022-09-17 14:00:00,CTSI/BTC,0.000007962,0.000008024,0.000007962,0.000008008,59.724,0.0004768212784
1663419600,2022-09-17 13:00:00,CTSI/BTC,0.00000793,0.000008003,0.00000793,0.000008003,51.5092,0.0004097643706
1663416000,2022-09-17 12:00:00,CTSI/BTC,0.000007879,0.000007926,0.000007879,0.000007926,51.4989,0.0004068737096
1663412400,2022-09-17 11:00:00,CTSI/BTC,0.000007832,0.00000786,0.000007827,0.000007856,37.1994,0.0002915983836
1663408800,2022-09-17 10:00:00,CTSI/BTC,0.000007863,0.000007863,0.000007818,0.000007836,26.0146,0.000204375564
1663405200,2022-09-17 09:00:00,CTSI/BTC,0.000007882,0.000007882,0.000007847,0.000007874,16.3138,0.0001281373327
1663401600,2022-09-17 08:00:00,CTSI/BTC,0.000007883,0.000007883,0.000007844,0.000007873,94.8361,0.0007473834758
1663398000,2022-09-17 07:00:00,CTSI/BTC,0.000007867,0.000007893,0.000007847,0.000007872,40.5482,0.0003193350745
1663394400,2022-09-17 06:00:00,CTSI/BTC,0.000007863,0.000007933,0.000007849,0.000007863,31.8193,0.000251323458
1663390800,2022-09-17 05:00:00,CTSI/BTC,0.000007874,0.000007874,0.000007842,0.000007863,60.2058,0.0004735721439
1663387200,2022-09-17 04:00:00,CTSI/BTC,0.000007889,0.000007923,0.000007889,0.000007891,35.2001,0.0002784694701
1663383600,2022-09-17 03:00:00,CTSI/BTC,0.000007923,0.000007989,0.000007923,0.000007953,618.948,0.0049430529216
1663380000,2022-09-17 02:00:00,CTSI/BTC,0.000007926,0.000007946,0.00000789,0.000007946,89.4207,0.0007086045726
1663376400,2022-09-17 01:00:00,CTSI/BTC,0.000007818,0.000007877,0.000007818,0.000007877,18.7582,0.0001473259008
1663372800,2022-09-17 00:00:00,CTSI/BTC,0.000007881,0.000007923,0.000007877,0.000007903,895.9742,0.0070942113441
1663369200,2022-09-16 23:00:00,CTSI/BTC,0.000007861,0.000007888,0.000007855,0.000007855,70.3264,0.0005538648726
1663365600,2022-09-16 22:00:00,CTSI/BTC,0.000007847,0.000007871,0.00000784,0.000007871,37.1635,0.000291824939
1663362000,2022-09-16 21:00:00,CTSI/BTC,0.000007826,0.000007848,0.000007826,0.000007834,14.1743,0.0001110527557
1663358400,2022-09-16 20:00:00,CTSI/BTC,0.000007805,0.000007822,0.000007782,0.000007822,18.5206,0.0001444601605
1663354800,2022-09-16 19:00:00,CTSI/BTC,0.000007813,0.000007835,0.000007772,0.000007814,1635.1935,0.0127984428128
1663351200,2022-09-16 18:00:00,CTSI/BTC,0.000007808,0.000007833,0.000007768,0.000007808,798.8898,0.0062562992704
1663347600,2022-09-16 17:00:00,CTSI/BTC,0.000007769,0.000007783,0.000007769,0.000007783,7.5646,0.000058851843
1663344000,2022-09-16 16:00:00,CTSI/BTC,0.000007807,0.000007807,0.000007713,0.000007781,53.4821,0.000415847243
1663340400,2022-09-16 15:00:00,CTSI/BTC,0.000007801,0.000007825,0.000007777,0.000007802,135.4123,0.0010550006971
1663336800,2022-09-16 14:00:00,CTSI/BTC,0.000007662,0.000007877,0.00000764,0.000007818,107.725,0.0008379049537
1663333200,2022-09-16 13:00:00,CTSI/BTC,0.000007653,0.000007663,0.00000763,0.000007662,38.8942,0.0002978511378
1663329600,2022-09-16 12:00:00,CTSI/BTC,0.000007624,0.000007647,0.000007608,0.000007608,41.7753,0.0003190312241
1663326000,2022-09-16 11:00:00,CTSI/BTC,0.000007586,0.000007616,0.000007577,0.000007616,66.6743,0.0005053006933
1663322400,2022-09-16 10:00:00,CTSI/BTC,0.000007573,0.000007581,0.000007547,0.000007581,12.6657,0.0000958029194
1663318800,2022-09-16 09:00:00,CTSI/BTC,0.000007496,0.000007507,0.000007496,0.000007507,24.4757,0.0001835054562
1663315200,2022-09-16 08:00:00,CTSI/BTC,0.000007555,0.000007573,0.000007482,0.000007482,12.9445,0.0000977721558
1663311600,2022-09-16 07:00:00,CTSI/BTC,0.000007574,0.000007583,0.00000757,0.000007583,43.5715,0.0003300018588
1663308000,2022-09-16 06:00:00,CTSI/BTC,0.000007629,0.000007633,0.000007584,0.000007584,329.1567,0.0025010220739
1663304400,2022-09-16 05:00:00,CTSI/BTC,0.00000763,0.000007704,0.00000763,0.000007691,48.026,0.0003671545797
