https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WBTC,Volume BTC
1663545600000.0,2022-09-19 00:00:00,WBTC/BTC,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,WBTC/BTC,0.9998,0.9999,0.9998,0.9999,48.7599806980698,48.7551047
1663372800000.0,2022-09-17 00:00:00,WBTC/BTC,0.9999,0.9999,0.9997,0.9998,13.841476625325065,13.83870833
1663286400000.0,2022-09-16 00:00:00,WBTC/BTC,1.0,1.0,0.9998,0.9999,28.16838917891789,28.16557234
1663200000000.0,2022-09-15 00:00:00,WBTC/BTC,1.0002,1.0007,0.9999,1.0,134.76062671,134.76062671
1663113600000.0,2022-09-14 00:00:00,WBTC/BTC,1.0,1.0005,1.0,1.0002,91.947799780044,91.96618934
1663027200000.0,2022-09-13 00:00:00,WBTC/BTC,0.9999,1.0006,0.9998,1.0,303.58547687,303.58547687
1662940800000.0,2022-09-12 00:00:00,WBTC/BTC,1.0004,1.0005,0.9999,0.9999,120.943300340034,120.93120601
1662854400000.0,2022-09-11 00:00:00,WBTC/BTC,1.0004,1.0005,1.0004,1.0004,116.76789320271892,116.81460036
1662768000000.0,2022-09-10 00:00:00,WBTC/BTC,1.0004,1.0005,1.0004,1.0004,21.903502339064374,21.91226374
1662681600000.0,2022-09-09 00:00:00,WBTC/BTC,1.0003,1.0012,1.0002,1.0004,183.56345592762895,183.63688131
1662595200000.0,2022-09-08 00:00:00,WBTC/BTC,1.0005,1.0005,1.0002,1.0003,220.52469392182346,220.59085133
1662508800000.0,2022-09-07 00:00:00,WBTC/BTC,1.0005,1.0008,1.0002,1.0005,364.8384386906547,365.02085791
1662422400000.0,2022-09-06 00:00:00,WBTC/BTC,1.0009,1.0012,1.0005,1.0005,181.9563603598201,182.04733854
1662336000000.0,2022-09-05 00:00:00,WBTC/BTC,1.0004,1.0012,1.0003,1.0009,356.5068587371366,356.82771491
1662249600000.0,2022-09-04 00:00:00,WBTC/BTC,1.0009,1.0009,1.0004,1.0004,312.64595021991204,312.7710086
1662163200000.0,2022-09-03 00:00:00,WBTC/BTC,1.0006,1.0011,1.0006,1.0009,279.275950604456,279.52729896
1662076800000.0,2022-09-02 00:00:00,WBTC/BTC,1.0007,1.0012,1.0003,1.0006,437.93075751549077,438.19351597
1661990400000.0,2022-09-01 00:00:00,WBTC/BTC,1.0002,1.0012,1.0002,1.0007,473.92572348356157,474.25747149
1661904000000.0,2022-08-31 00:00:00,WBTC/BTC,1.0003,1.0003,0.9998,1.0002,769.0657027694461,769.21951591
1661817600000.0,2022-08-30 00:00:00,WBTC/BTC,1.0002,1.0003,1.0001,1.0003,367.3354721483555,367.44567279
1661731200000.0,2022-08-29 00:00:00,WBTC/BTC,1.0001,1.001,1.0001,1.0002,253.8009472005599,253.85170739
1661644800000.0,2022-08-28 00:00:00,WBTC/BTC,1.0001,1.0002,1.0001,1.0001,15.472745135486452,15.47429241
1661558400000.0,2022-08-27 00:00:00,WBTC/BTC,1.0003,1.0003,0.9993,1.0001,182.2981493250675,182.31637914
1661472000000.0,2022-08-26 00:00:00,WBTC/BTC,1.0003,1.0004,0.9999,1.0003,183.8932433469959,183.94841132
1661385600000.0,2022-08-25 00:00:00,WBTC/BTC,0.9999,1.0003,0.9996,1.0003,220.0110455763271,220.07704889
1661299200000.0,2022-08-24 00:00:00,WBTC/BTC,0.9999,0.9999,0.9998,0.9999,31.28596509650965,31.2828365
1661212800000.0,2022-08-23 00:00:00,WBTC/BTC,0.9999,1.0,0.9998,0.9999,12.458328902890289,12.45708307
1661126400000.0,2022-08-22 00:00:00,WBTC/BTC,1.0,1.0001,0.9999,0.9999,8.334612521252124,8.33377906
1661040000000.0,2022-08-21 00:00:00,WBTC/BTC,1.0,1.0005,1.0,1.0,18.85521631,18.85521631
1660953600000.0,2022-08-20 00:00:00,WBTC/BTC,0.9998,1.0,0.9997,1.0,65.87635976,65.87635976
1660867200000.0,2022-08-19 00:00:00,WBTC/BTC,0.9998,0.9998,0.9991,0.9998,409.48261424284857,409.40071772
1660780800000.0,2022-08-18 00:00:00,WBTC/BTC,0.9998,0.9998,0.9992,0.9998,354.996275725145,354.92527647
1660694400000.0,2022-08-17 00:00:00,WBTC/BTC,0.9997,0.9999,0.9995,0.9998,303.8525932486497,303.79182273
1660608000000.0,2022-08-16 00:00:00,WBTC/BTC,0.9999,0.9999,0.9993,0.9997,90.79438684605381,90.76714853
1660521600000.0,2022-08-15 00:00:00,WBTC/BTC,0.9996,1.0001,0.9994,0.9999,303.02364231423144,302.99333995
1660435200000.0,2022-08-14 00:00:00,WBTC/BTC,1.0,1.0005,0.9994,0.9996,256.4707746698679,256.36818636
1660348800000.0,2022-08-13 00:00:00,WBTC/BTC,0.9998,1.0,0.9997,1.0,396.40311415,396.40311415
1660262400000.0,2022-08-12 00:00:00,WBTC/BTC,0.9999,0.9999,0.9994,0.9998,239.97764632926584,239.9296508
1660176000000.0,2022-08-11 00:00:00,WBTC/BTC,0.9999,1.0002,0.9991,0.9999,225.0281682668267,225.00566545
