https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DCR,Volume BTC
1663462800,2022-09-18 01:00:00,DCR/BTC,0.00133042,0.00133042,0.00133042,0.00133042,0.0015,0.00000199563
1663459200,2022-09-18 00:00:00,DCR/BTC,0.00132919,0.00133334,0.00132205,0.00133047,11.7876,0.015634346872
1663455600,2022-09-17 23:00:00,DCR/BTC,0.00132615,0.00133333,0.0013193,0.00131978,5.7233,0.007589973666
1663452000,2022-09-17 22:00:00,DCR/BTC,0.00131897,0.00133517,0.00131605,0.00133517,8.9475,0.011836717514
1663448400,2022-09-17 21:00:00,DCR/BTC,0.00132406,0.00133333,0.00132127,0.0013264,2.7261,0.003611997557
1663444800,2022-09-17 20:00:00,DCR/BTC,0.00132835,0.00133333,0.00132402,0.00132402,0.1086,0.000144127315
1663441200,2022-09-17 19:00:00,DCR/BTC,0.00133274,0.00133453,0.00132401,0.00133311,8.4182,0.011152297406
1663437600,2022-09-17 18:00:00,DCR/BTC,0.00133676,0.001341,0.00132518,0.00133274,5.0808,0.00680431626
1663434000,2022-09-17 17:00:00,DCR/BTC,0.00131903,0.00135292,0.00131903,0.00133785,139.0789,0.185486746465
1663430400,2022-09-17 16:00:00,DCR/BTC,0.00132811,0.00132999,0.00131455,0.00132613,0.4108,0.000542437707
1663426800,2022-09-17 15:00:00,DCR/BTC,0.00133199,0.001332,0.00132373,0.001328,6.1002,0.008117149991
1663423200,2022-09-17 14:00:00,DCR/BTC,0.00132557,0.00133081,0.00131803,0.00133081,2.755,0.003660038729
1663419600,2022-09-17 13:00:00,DCR/BTC,0.00132385,0.00132613,0.00131612,0.00132384,117.2268,0.15450874714
1663416000,2022-09-17 12:00:00,DCR/BTC,0.00132267,0.00132385,0.0013118,0.00132385,484.5903,0.641059786905
1663412400,2022-09-17 11:00:00,DCR/BTC,0.00129394,0.00132269,0.00129334,0.00132269,235.7218,0.308644049084
1663408800,2022-09-17 10:00:00,DCR/BTC,0.0012941,0.00130114,0.00129083,0.00129347,73.8524,0.095919447015
1663405200,2022-09-17 09:00:00,DCR/BTC,0.00129451,0.00129589,0.00128912,0.0012929,24.5034,0.031737429926
1663401600,2022-09-17 08:00:00,DCR/BTC,0.00129033,0.00129198,0.00129011,0.00129011,9.307,0.012022193214
1663398000,2022-09-17 07:00:00,DCR/BTC,0.00128907,0.00129259,0.00128791,0.00129213,16.0763,0.020705445855
1663394400,2022-09-17 06:00:00,DCR/BTC,0.00129383,0.00129459,0.00128791,0.00129219,73.2228,0.094306385144
1663390800,2022-09-17 05:00:00,DCR/BTC,0.00129572,0.0012962,0.00128997,0.00129323,0.2879,0.000372373232
1663387200,2022-09-17 04:00:00,DCR/BTC,0.00129749,0.0012982,0.00129255,0.00129533,0.1235,0.000160075459
1663383600,2022-09-17 03:00:00,DCR/BTC,0.00129576,0.00130111,0.00129025,0.00129025,0.1489,0.000192704335
