https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CFG,Volume USDT
1663459200,2022-09-18 00:00:00,CFG/USDT,0.3512,0.3523,0.3487,0.3523,3478.4794,1217.69626414
1663372800,2022-09-17 00:00:00,CFG/USDT,0.3524,0.378,0.3507,0.3512,144999.2476,52750.31938586
1663286400,2022-09-16 00:00:00,CFG/USDT,0.3696,0.386,0.3367,0.3531,331205.71,119752.10149115
1663200000,2022-09-15 00:00:00,CFG/USDT,0.3687,0.4787,0.3334,0.3713,532256.5778,208414.82699783
1663113600,2022-09-14 00:00:00,CFG/USDT,0.3253,0.3687,0.3101,0.3687,116002.1144,37192.72194295
1663027200,2022-09-13 00:00:00,CFG/USDT,0.3353,0.34,0.3183,0.3285,66247.3262,21622.06580192
1662940800,2022-09-12 00:00:00,CFG/USDT,0.3379,0.3431,0.322,0.3353,81490.8869,27354.91479514
1662854400,2022-09-11 00:00:00,CFG/USDT,0.339,0.3433,0.3293,0.3379,57701.892,19392.55425111
1662768000,2022-09-10 00:00:00,CFG/USDT,0.3405,0.3445,0.3347,0.3379,26338.9983,8964.20496692
1662681600,2022-09-09 00:00:00,CFG/USDT,0.3423,0.3563,0.3361,0.3406,123795.1649,42991.02487198
1662595200,2022-09-08 00:00:00,CFG/USDT,0.3392,0.3505,0.3339,0.3404,100110.4174,34152.35013338
1662508800,2022-09-07 00:00:00,CFG/USDT,0.3295,0.375,0.3215,0.3402,282119.9604,96469.06997544
1662422400,2022-09-06 00:00:00,CFG/USDT,0.334,0.3476,0.3,0.3281,237317.0733,78094.89030612
1662336000,2022-09-05 00:00:00,CFG/USDT,0.3374,0.3529,0.318,0.3367,110591.7114,36841.41181466
1662249600,2022-09-04 00:00:00,CFG/USDT,0.3276,0.3527,0.3216,0.3364,102532.995,34156.73224105
1662163200,2022-09-03 00:00:00,CFG/USDT,0.3438,0.3633,0.3,0.3271,302533.2903,98440.5209085
1662076800,2022-09-02 00:00:00,CFG/USDT,0.3526,0.3616,0.3401,0.344,91785.4971,32117.54779696
1661990400,2022-09-01 00:00:00,CFG/USDT,0.359,0.392,0.342,0.3526,175375.2414,62562.49088592
1661904000,2022-08-31 00:00:00,CFG/USDT,0.3637,0.3936,0.35,0.3566,110421.9816,41324.70254037
1661817600,2022-08-30 00:00:00,CFG/USDT,0.3823,0.3972,0.3624,0.3624,98056.2046,37384.47345788
1661731200,2022-08-29 00:00:00,CFG/USDT,0.3617,0.4113,0.36,0.3823,120118.8707,45391.32289986
1661644800,2022-08-28 00:00:00,CFG/USDT,0.3736,0.3845,0.3537,0.3631,158786.5725,58512.65238072
1661558400,2022-08-27 00:00:00,CFG/USDT,0.4014,0.4023,0.365,0.3759,76367.9719,29266.75813074
1661472000,2022-08-26 00:00:00,CFG/USDT,0.4358,0.4861,0.396,0.4012,170977.34635202,75518.14994567329
1661385600,2022-08-25 00:00:00,CFG/USDT,0.4489,0.4656,0.4278,0.437,167375.8158,74797.82535045
1661299200,2022-08-24 00:00:00,CFG/USDT,0.396,0.4521,0.3929,0.4506,207336.715,87789.96508244
1661212800,2022-08-23 00:00:00,CFG/USDT,0.3957,0.4016,0.3866,0.3982,76200.1258,30193.3063571
1661126400,2022-08-22 00:00:00,CFG/USDT,0.3938,0.3985,0.3697,0.3985,144312.6728,55158.14900897
1661040000,2022-08-21 00:00:00,CFG/USDT,0.3835,0.4059,0.3749,0.395,114935.4923,45194.23758983
1660953600,2022-08-20 00:00:00,CFG/USDT,0.3559,0.4064,0.3541,0.3811,407237.013,154321.67678357
1660867200,2022-08-19 00:00:00,CFG/USDT,0.3585,0.414,0.3374,0.3559,282432.7995,104838.92677882
1660780800,2022-08-18 00:00:00,CFG/USDT,0.35,0.4322,0.3459,0.3607,254133.1267,96994.36572466
1660694400,2022-08-17 00:00:00,CFG/USDT,0.3608,0.3619,0.344,0.3506,67537.8099,23774.11218839
1660608000,2022-08-16 00:00:00,CFG/USDT,0.3682,0.3833,0.358,0.3589,91822.1222,33579.75705294
1660521600,2022-08-15 00:00:00,CFG/USDT,0.3828,0.3837,0.365,0.3682,72958.0838,27189.98201582
1660435200,2022-08-14 00:00:00,CFG/USDT,0.3846,0.4273,0.3705,0.3803,125496.3519,48349.72453863
1660348800,2022-08-13 00:00:00,CFG/USDT,0.3741,0.4249,0.3716,0.3866,179594.48679512,71090.722610083624
1660262400,2022-08-12 00:00:00,CFG/USDT,0.3638,0.3842,0.3557,0.3742,170302.5247,63085.04581605
1660176000,2022-08-11 00:00:00,CFG/USDT,0.3229,0.399,0.3198,0.3638,628178.7557,227739.50445412
1660089600,2022-08-10 00:00:00,CFG/USDT,0.2967,0.3414,0.2937,0.3205,241447.2605,76950.85593616
1660003200,2022-08-09 00:00:00,CFG/USDT,0.3111,0.3204,0.2889,0.2996,149771.2257,45186.95240632
1659916800,2022-08-08 00:00:00,CFG/USDT,0.3047,0.32,0.2986,0.3118,103796.681,32325.14538806
1659830400,2022-08-07 00:00:00,CFG/USDT,0.2988,0.3075,0.292,0.3074,50716.2376,15231.60135044
1659744000,2022-08-06 00:00:00,CFG/USDT,0.3063,0.3157,0.2921,0.2988,144092.4593,43913.09031318
1659657600,2022-08-05 00:00:00,CFG/USDT,0.2983,0.3205,0.2638,0.3063,203760.5517,60764.55744839
1659571200,2022-08-04 00:00:00,CFG/USDT,0.3152,0.33,0.292,0.2984,138959.06946997,43151.453938004033
1659484800,2022-08-03 00:00:00,CFG/USDT,0.2816,0.3286,0.2795,0.3141,301162.1941,93265.75591325
1659398400,2022-08-02 00:00:00,CFG/USDT,0.2858,0.2941,0.2548,0.2839,185022.551,52097.77561701
1659312000,2022-08-01 00:00:00,CFG/USDT,0.2921,0.3071,0.278,0.2833,129549.6199,37694.41164184
1659225600,2022-07-31 00:00:00,CFG/USDT,0.2967,0.3087,0.2868,0.2921,87667.9544,25811.8198528
1659139200,2022-07-30 00:00:00,CFG/USDT,0.3047,0.315,0.2925,0.295,113705.5981,34245.47589956
1659052800,2022-07-29 00:00:00,CFG/USDT,0.2923,0.3094,0.2876,0.3047,98806.5257,29327.37257195
1658966400,2022-07-28 00:00:00,CFG/USDT,0.285,0.3094,0.2789,0.2919,86094.0754,25233.24648659
1658880000,2022-07-27 00:00:00,CFG/USDT,0.2722,0.2845,0.265,0.2845,119806.6843,32902.89179299
1658793600,2022-07-26 00:00:00,CFG/USDT,0.2837,0.3022,0.2599,0.2732,229176.9819,63173.21917695
1658707200,2022-07-25 00:00:00,CFG/USDT,0.2988,0.3096,0.2825,0.2837,85301.8374,25061.45282961
1658620800,2022-07-24 00:00:00,CFG/USDT,0.3125,0.313,0.2923,0.3004,159066.9092,47686.73567642
1658534400,2022-07-23 00:00:00,CFG/USDT,0.3005,0.32,0.2939,0.3105,143192.213,43791.10684716
1658448000,2022-07-22 00:00:00,CFG/USDT,0.3135,0.336,0.3005,0.3016,60092.4358,19111.34912383
1658361600,2022-07-21 00:00:00,CFG/USDT,0.3149,0.3241,0.2817,0.3154,205888.5488,63108.12422025
1658275200,2022-07-20 00:00:00,CFG/USDT,0.3037,0.337,0.303,0.3149,169097.11322692,54386.599179387124
1658188800,2022-07-19 00:00:00,CFG/USDT,0.2909,0.31,0.2761,0.3026,128433.78895074,37931.02645606941
1658102400,2022-07-18 00:00:00,CFG/USDT,0.2848,0.2944,0.2794,0.2896,138516.03700187,39576.203643680903
1658016000,2022-07-17 00:00:00,CFG/USDT,0.2901,0.3083,0.281,0.2848,164638.40412808,48043.287484486491
1657929600,2022-07-16 00:00:00,CFG/USDT,0.275,0.32,0.2731,0.2916,543539.29348854,161967.600711252275
1657843200,2022-07-15 00:00:00,CFG/USDT,0.2659,0.3125,0.265,0.275,296977.71767642,84446.475615487033
1657756800,2022-07-14 00:00:00,CFG/USDT,0.2713,0.28,0.2532,0.2674,338003.85292221,90004.333532427026
1657670400,2022-07-13 00:00:00,CFG/USDT,0.2723,0.292,0.2631,0.2713,319834.43322665,88042.170510050364
1657584000,2022-07-12 00:00:00,CFG/USDT,0.3034,0.3086,0.2668,0.2731,315782.21090964,88950.728446861066
1657497600,2022-07-11 00:00:00,CFG/USDT,0.32,0.3228,0.2908,0.3014,271620.26431479,83168.113962033887
1657411200,2022-07-10 00:00:00,CFG/USDT,0.3208,0.3302,0.2994,0.32,118105.95754003,37189.29920935709
1657324800,2022-07-09 00:00:00,CFG/USDT,0.3075,0.3466,0.2983,0.3229,359589.47204428,115044.407036833111
1657238400,2022-07-08 00:00:00,CFG/USDT,0.2979,0.3431,0.281,0.3079,178660.63895264,55901.094307756836
1657152000,2022-07-07 00:00:00,CFG/USDT,0.2817,0.3083,0.2725,0.2979,190070.32710244,55269.810144816074
1657065600,2022-07-06 00:00:00,CFG/USDT,0.2708,0.3373,0.2695,0.2821,412710.65131041,122142.060915410237
1656979200,2022-07-05 00:00:00,CFG/USDT,0.26,0.2728,0.2453,0.2709,132471.97742455,34652.664495221576
1656892800,2022-07-04 00:00:00,CFG/USDT,0.2521,0.2675,0.2414,0.26,158713.63359817,40298.142439358531
1656806400,2022-07-03 00:00:00,CFG/USDT,0.2419,0.2672,0.237,0.253,280662.60681204,71224.141541510835
