https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ATOM
1663545600000,2022-09-19 00:00:00,ATOM/BTC,0.00075766,0.00078041,0.00075766,0.00077386,0.009016119119786,11.6508401
1663459200000,2022-09-18 00:00:00,ATOM/BTC,0.00081562,0.00081608,0.00075543,0.00075543,0.22672490174784837,300.12694988
1663372800000,2022-09-17 00:00:00,ATOM/BTC,0.00083514,0.00084951,0.00080827,0.00082112,1.857238966417491,2261.83623151
1663286400000,2022-09-16 00:00:00,ATOM/BTC,0.00076328,0.00084236,0.00074,0.00083882,0.4662355804205288,555.82315684
1663200000000,2022-09-15 00:00:00,ATOM/BTC,0.00068865,0.00077991,0.00066287,0.0007561,0.514808461273928,680.87351048
1663113600000,2022-09-14 00:00:00,ATOM/BTC,0.00069455,0.00070884,0.00067844,0.00069178,0.22206184528431022,321.00067259
1663027200000,2022-09-13 00:00:00,ATOM/BTC,0.00069359,0.00072,0.00068255,0.00068827,0.17317098695835292,251.60327627
1662940800000,2022-09-12 00:00:00,ATOM/BTC,0.00071714,0.00074095,0.00068121,0.00069284,0.36618888398551397,528.53311585
1662854400000,2022-09-11 00:00:00,ATOM/BTC,0.00074141,0.00075572,0.00071051,0.00072027,0.1991859013353834,276.54338142
1662768000000,2022-09-10 00:00:00,ATOM/BTC,0.00076102,0.00076433,0.00073311,0.00073827,0.1964143615196997,266.04678711
1662681600000,2022-09-09 00:00:00,ATOM/BTC,0.00071873,0.0008,0.00068133,0.00075435,0.4322512944780045,573.01159207
1662595200000,2022-09-08 00:00:00,ATOM/BTC,0.00067159,0.00072602,0.00065805,0.00071776,0.2836240131768256,395.15160106
1662508800000,2022-09-07 00:00:00,ATOM/BTC,0.00062625,0.00068335,0.00062,0.00067157,0.2226853186759273,331.58913989
1662422400000,2022-09-06 00:00:00,ATOM/BTC,0.00063757,0.0006442,0.00061779,0.00062723,0.2847657340010665,454.00528355
