https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AUSD,Volume USDT
1663372800,2022-09-17 00:00:00,AUSD/USDT,0.7346,0.7348,0.7346,0.7348,1.3588,0.99838964
1663286400,2022-09-16 00:00:00,AUSD/USDT,0.7381,0.75,0.7015,0.728,7755.0944,5615.71290962
1663200000,2022-09-15 00:00:00,AUSD/USDT,0.7501,0.7663,0.69,0.7446,56815.8312,41435.4168453
1663113600,2022-09-14 00:00:00,AUSD/USDT,0.757,0.7609,0.74,0.75,15671.6964,11690.44056581
1663027200,2022-09-13 00:00:00,AUSD/USDT,0.75,0.793,0.735,0.757,64478.5295,48587.82545942
1662940800,2022-09-12 00:00:00,AUSD/USDT,0.7788,0.784,0.7477,0.7555,15553.9228,11980.14813322
1662854400,2022-09-11 00:00:00,AUSD/USDT,0.751,0.795,0.742,0.7788,32634.8838,25052.78061926
1662768000,2022-09-10 00:00:00,AUSD/USDT,0.7556,0.77,0.731,0.746,49159.0034,37039.69566887
1662681600,2022-09-09 00:00:00,AUSD/USDT,0.7434,0.77,0.715,0.7555,68493.9128,51006.08554723
1662595200,2022-09-08 00:00:00,AUSD/USDT,0.774,0.7937,0.7234,0.7435,103832.0219,78154.72912863
1662508800,2022-09-07 00:00:00,AUSD/USDT,0.7537,0.7964,0.72,0.7797,111526.6752,84765.56235534
1662422400,2022-09-06 00:00:00,AUSD/USDT,0.8401,0.855,0.753,0.7599,128937.1856,101204.17575463
1662336000,2022-09-05 00:00:00,AUSD/USDT,0.75,0.86,0.7446,0.8401,251825.2956,205712.30496764
1662249600,2022-09-04 00:00:00,AUSD/USDT,0.71,0.7503,0.703,0.7447,47033.681,34428.22437684
1662163200,2022-09-03 00:00:00,AUSD/USDT,0.7112,0.7279,0.7024,0.7049,57222.42,40796.10548092
1662076800,2022-09-02 00:00:00,AUSD/USDT,0.6764,0.746,0.672,0.7111,71826.8082,51343.88193368
1661990400,2022-09-01 00:00:00,AUSD/USDT,0.7138,0.724,0.6663,0.676,37490.0416,26153.8850462
1661904000,2022-08-31 00:00:00,AUSD/USDT,0.6553,0.7223,0.6513,0.7124,110357.6101,76045.004754
1661817600,2022-08-30 00:00:00,AUSD/USDT,0.6998,0.765,0.553,0.6539,382509.0947,250363.3756024
1661731200,2022-08-29 00:00:00,AUSD/USDT,0.7,0.75,0.6743,0.6999,97679.3361,69476.86776203
1661644800,2022-08-28 00:00:00,AUSD/USDT,0.7656,0.7716,0.673,0.7001,80176.3868,58236.54890536
1661558400,2022-08-27 00:00:00,AUSD/USDT,0.6301,0.8332,0.604,0.7656,568662.1005,415600.98821856
1661472000,2022-08-26 00:00:00,AUSD/USDT,0.6321,0.677,0.613,0.6301,195349.5955,125134.34630991
1661385600,2022-08-25 00:00:00,AUSD/USDT,0.6696,0.7297,0.6002,0.6305,281946.5998,185945.33835414
1661299200,2022-08-24 00:00:00,AUSD/USDT,0.7553,0.7554,0.55,0.6696,912533.7899,596008.22256838
1661212800,2022-08-23 00:00:00,AUSD/USDT,0.7628,0.8,0.7213,0.7529,198526.4548,151064.36617871
1661126400,2022-08-22 00:00:00,AUSD/USDT,0.809,0.84,0.75,0.7628,329699.8375,256501.80259434
1661040000,2022-08-21 00:00:00,AUSD/USDT,0.81,0.87,0.8,0.809,282291.8266,235104.22045192
1660953600,2022-08-20 00:00:00,AUSD/USDT,0.7861,0.849,0.7541,0.81,238344.2062,191083.07335276
1660867200,2022-08-19 00:00:00,AUSD/USDT,0.8312,0.85,0.7,0.7897,503830.0979,396306.10379903
1660780800,2022-08-18 00:00:00,AUSD/USDT,0.8414,0.887,0.82,0.8394,431591.037,361060.87836587
1660694400,2022-08-17 00:00:00,AUSD/USDT,0.8953,0.9022,0.832,0.8414,599711.8923,523421.99216895
1660608000,2022-08-16 00:00:00,AUSD/USDT,0.9219,0.9519,0.86,0.8953,1080187.182,980796.46620982
1660521600,2022-08-15 00:00:00,AUSD/USDT,0.8352,0.97,0.8268,0.9219,3316822.9838,2994280.43246078
1660435200,2022-08-14 00:00:00,AUSD/USDT,1.0215,1.0215,0.051,0.8352,36334344.68008637,17317497.9555269243
1660348800,2022-08-13 00:00:00,AUSD/USDT,1.0259,1.0304,1.02,1.0215,12246.7706,12557.82161001
1660262400,2022-08-12 00:00:00,AUSD/USDT,1.0181,1.0498,1.0155,1.0259,27409.1685,28001.43605558
1660176000,2022-08-11 00:00:00,AUSD/USDT,1.0227,1.0304,0.9994,1.0181,73447.6573,74487.13111998
1660089600,2022-08-10 00:00:00,AUSD/USDT,1.0032,1.0304,0.9958,1.0227,46830.5551,47443.7759767
1660003200,2022-08-09 00:00:00,AUSD/USDT,1.0002,1.0047,0.9957,1.0032,21693.5753,21683.77626205
1659916800,2022-08-08 00:00:00,AUSD/USDT,1.0004,1.0075,0.9935,0.9981,35437.6131,35446.98679033
1659830400,2022-08-07 00:00:00,AUSD/USDT,1.0011,1.0089,0.998,0.9982,16745.9443,16773.82439179
1659744000,2022-08-06 00:00:00,AUSD/USDT,1.0044,1.023,0.9976,1.001,72281.7991,72942.48453996
1659657600,2022-08-05 00:00:00,AUSD/USDT,0.998,1.007,0.9921,1.0044,44996.5123,45000.26573592
1659571200,2022-08-04 00:00:00,AUSD/USDT,0.9922,1.0015,0.9921,0.998,22240.3494,22140.53148637
1659484800,2022-08-03 00:00:00,AUSD/USDT,0.997,1.0033,0.9922,0.9922,30471.404,30400.21836312
