https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume WXT
1663549200000,2022-09-19 01:00:00,WXT/USDT,0.0050155,0.00503067,0.00500619,0.00500619,8.009903999999999,1600
1663545600000,2022-09-19 00:00:00,WXT/USDT,0.00496499,0.00503116,0.00495729,0.00500557,37.041218,7400
1663542000000,2022-09-18 23:00:00,WXT/USDT,0.00497464,0.00503104,0.00496707,0.00496718,48.678364,9800
1663538400000,2022-09-18 22:00:00,WXT/USDT,0.00515505,0.00517066,0.00495866,0.00502075,50.2075,10000
1663534800000,2022-09-18 21:00:00,WXT/USDT,0.00510269,0.00517295,0.0050323,0.0050855,53.906299999999995,10600
1663531200000,2022-09-18 20:00:00,WXT/USDT,0.00509018,0.00516927,0.00503136,0.00506926,46.637192,9200
1663527600000,2022-09-18 19:00:00,WXT/USDT,0.00511425,0.00516893,0.00502375,0.00509348,43.803928,8600
1663524000000,2022-09-18 18:00:00,WXT/USDT,0.00510766,0.00516454,0.00503479,0.00505451,52.061453,10300
1663520400000,2022-09-18 17:00:00,WXT/USDT,0.00505237,0.00517046,0.00502058,0.00505162,31.825205999999998,6300
1663516800000,2022-09-18 16:00:00,WXT/USDT,0.00515489,0.00515489,0.00502974,0.00513052,43.096368000000005,8400
1663513200000,2022-09-18 15:00:00,WXT/USDT,0.00513653,0.00516064,0.00503417,0.00506674,36.480528,7200
1663509600000,2022-09-18 14:00:00,WXT/USDT,0.00502664,0.00516028,0.00501848,0.00502362,44.207856,8800
1663506000000,2022-09-18 13:00:00,WXT/USDT,0.00502925,0.00515976,0.00502925,0.00512599,38.444925000000005,7500
1663502400000,2022-09-18 12:00:00,WXT/USDT,0.00516013,0.00516013,0.00502097,0.00503972,37.293928,7400
1663498800000,2022-09-18 11:00:00,WXT/USDT,0.00515905,0.00515905,0.00501948,0.00511809,41.968337999999996,8200
1663495200000,2022-09-18 10:00:00,WXT/USDT,0.00504119,0.00516801,0.00501745,0.00505141,34.854729,6900
1663491600000,2022-09-18 09:00:00,WXT/USDT,0.00511421,0.00517106,0.00503228,0.00510983,43.944538,8600
1663488000000,2022-09-18 08:00:00,WXT/USDT,0.0051557,0.00516546,0.00503262,0.00516546,44.939502000000005,8700
1663484400000,2022-09-18 07:00:00,WXT/USDT,0.00508915,0.00515397,0.00501863,0.00510671,36.257641,7100
1663480800000,2022-09-18 06:00:00,WXT/USDT,0.00508626,0.00517125,0.0050348,0.00508018,46.229638,9100
1663477200000,2022-09-18 05:00:00,WXT/USDT,0.00510492,0.00517299,0.00502413,0.00514114,28.790384,5600
1663473600000,2022-09-18 04:00:00,WXT/USDT,0.0051653,0.0051653,0.00501999,0.00515946,42.823518,8300
1663470000000,2022-09-18 03:00:00,WXT/USDT,0.00516842,0.00516842,0.00501735,0.00516191,50.070527,9700
1663466400000,2022-09-18 02:00:00,WXT/USDT,0.00506662,0.00517183,0.00502439,0.00516862,45.483855999999996,8800
1663462800000,2022-09-18 01:00:00,WXT/USDT,0.00512339,0.00515812,0.00502475,0.00503106,34.714314,6900
1663459200000,2022-09-18 00:00:00,WXT/USDT,0.00512545,0.0051651,0.00502854,0.00514975,36.563224999999996,7100
1663455600000,2022-09-17 23:00:00,WXT/USDT,0.00502661,0.00516195,0.00502307,0.00504164,45.37476,9000.0
1663452000000,2022-09-17 22:00:00,WXT/USDT,0.00512388,0.00516777,0.00502807,0.00509247,46.850724,9200.0
1663448400000,2022-09-17 21:00:00,WXT/USDT,0.00509917,0.00517265,0.0050289,0.00511239,42.432837,8300.0
1663444800000,2022-09-17 20:00:00,WXT/USDT,0.0050515,0.00516461,0.0050328,0.00516461,48.030873,9300.0
1663441200000,2022-09-17 19:00:00,WXT/USDT,0.00502724,0.00515824,0.0050251,0.00514222,45.251536,8800.0
1663437600000,2022-09-17 18:00:00,WXT/USDT,0.00514486,0.00517062,0.00503756,0.00511029,44.459523,8700.0
1663434000000,2022-09-17 17:00:00,WXT/USDT,0.00502484,0.00517173,0.00502484,0.0051203,45.058640000000004,8800.0
1663430400000,2022-09-17 16:00:00,WXT/USDT,0.00515652,0.00516007,0.00506954,0.00513177,47.725460999999996,9300.0
1663426800000,2022-09-17 15:00:00,WXT/USDT,0.00515691,0.00516104,0.005133,0.00515389,43.292676,8400.0
1663423200000,2022-09-17 14:00:00,WXT/USDT,0.00516755,0.00516878,0.00513014,0.0051527,38.64525,7500.0
1663419600000,2022-09-17 13:00:00,WXT/USDT,0.00516212,0.00516746,0.00513461,0.005166,38.745,7500.0
1663416000000,2022-09-17 12:00:00,WXT/USDT,0.00516213,0.00516972,0.005133,0.005133,40.550700000000006,7900.0
1663412400000,2022-09-17 11:00:00,WXT/USDT,0.00516343,0.00516387,0.00513194,0.00513194,41.05552,8000.0
1663408800000,2022-09-17 10:00:00,WXT/USDT,0.00514913,0.0051678,0.00513009,0.0051328,37.46944,7300.0
1663405200000,2022-09-17 09:00:00,WXT/USDT,0.00506951,0.00516529,0.00506951,0.00514091,47.810463000000006,9300.0
1663401600000,2022-09-17 08:00:00,WXT/USDT,0.00514486,0.0052,0.00501718,0.0052,45.141689219952,8681.09408076
1663398000000,2022-09-17 07:00:00,WXT/USDT,0.00509033,0.00515889,0.00502262,0.00502262,48.217152,9600.0
1663394400000,2022-09-17 06:00:00,WXT/USDT,0.00502075,0.00514972,0.00501702,0.00501702,40.637862,8100.0
1663390800000,2022-09-17 05:00:00,WXT/USDT,0.00507555,0.00530943,0.00502086,0.005086,43.1544629584849,8484.95142715
1663387200000,2022-09-17 04:00:00,WXT/USDT,0.00508668,0.00515862,0.00498356,0.00506157,43.529501999999994,8600.0
1663383600000,2022-09-17 03:00:00,WXT/USDT,0.0050869,0.00513587,0.00499979,0.00503445,46.820385,9300.0
1663380000000,2022-09-17 02:00:00,WXT/USDT,0.00496312,0.00515399,0.00496312,0.00506465,45.075385000000004,8900.0
1663376400000,2022-09-17 01:00:00,WXT/USDT,0.00503055,0.00512639,0.00496039,0.00510063,53.556615,10500.0
1663372800000,2022-09-17 00:00:00,WXT/USDT,0.00508173,0.00513567,0.00495813,0.00497744,38.824031999999995,7800.0
1663369200000,2022-09-16 23:00:00,WXT/USDT,0.00509246,0.00514658,0.00495279,0.00514658,39.114008000000005,7600.0
1663365600000,2022-09-16 22:00:00,WXT/USDT,0.00510433,0.00514751,0.00495612,0.00497153,46.732382,9400.0
1663362000000,2022-09-16 21:00:00,WXT/USDT,0.00508087,0.00510848,0.00495145,0.0050512,41.41983999999999,8200.0
