https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume AUD,tradecount
1663545600000,2022-09-19 00:00:00,BTC/AUD,28882.17000000,28946.19000000,28825.90000000,28865.53000000,10.23824000,295682.04390680,740
1663542000000,2022-09-18 23:00:00,BTC/AUD,28911.08000000,29084.30000000,28825.71000000,28889.31000000,17.22223000,497917.45097260,1372
1663538400000,2022-09-18 22:00:00,BTC/AUD,29013.80000000,29048.15000000,28823.61000000,28918.92000000,34.60237000,1000447.85611170,1414
1663534800000,2022-09-18 21:00:00,BTC/AUD,29371.57000000,29402.60000000,28950.00000000,29029.14000000,25.70263000,746944.94019470,803
1663531200000,2022-09-18 20:00:00,BTC/AUD,29388.21000000,29450.18000000,29344.51000000,29394.88000000,2.65242000,78014.89128430,157
1663527600000,2022-09-18 19:00:00,BTC/AUD,29266.70000000,29426.15000000,29221.28000000,29400.59000000,6.66650000,195969.86430160,241
1663524000000,2022-09-18 18:00:00,BTC/AUD,29293.93000000,29403.98000000,29185.00000000,29265.05000000,5.57176000,163233.43796700,307
1663520400000,2022-09-18 17:00:00,BTC/AUD,29438.79000000,29463.12000000,29250.00000000,29285.95000000,5.96230000,175132.78083740,326
1663516800000,2022-09-18 16:00:00,BTC/AUD,29556.02000000,29637.69000000,29329.17000000,29449.16000000,15.29710000,450221.52918820,1083
1663513200000,2022-09-18 15:00:00,BTC/AUD,29541.23000000,29625.10000000,29501.82000000,29549.40000000,4.07969000,120739.69305270,416
1663509600000,2022-09-18 14:00:00,BTC/AUD,29748.35000000,29748.35000000,29428.00000000,29546.75000000,8.95201000,264813.02180870,1119
1663506000000,2022-09-18 13:00:00,BTC/AUD,29802.15000000,29825.00000000,29723.32000000,29752.23000000,9.57990000,285405.93135580,722
1663502400000,2022-09-18 12:00:00,BTC/AUD,29698.42000000,29844.18000000,29613.03000000,29799.10000000,26.33558000,782191.13124540,1462
1663498800000,2022-09-18 11:00:00,BTC/AUD,29728.48000000,29765.08000000,29650.00000000,29699.42000000,20.94493000,622193.61255070,1146
1663495200000,2022-09-18 10:00:00,BTC/AUD,29581.89000000,29886.40000000,29500.00000000,29724.90000000,14.34229000,425610.04784100,1426
1663491600000,2022-09-18 09:00:00,BTC/AUD,29888.09000000,29945.00000000,29568.13000000,29589.94000000,7.04630000,209752.69393490,858
1663488000000,2022-09-18 08:00:00,BTC/AUD,29893.03000000,29962.16000000,29857.45000000,29887.04000000,2.13705000,63927.19638210,425
1663484400000,2022-09-18 07:00:00,BTC/AUD,29891.58000000,29951.41000000,29863.75000000,29889.41000000,12.33053000,368756.76551960,709
1663480800000,2022-09-18 06:00:00,BTC/AUD,29937.96000000,29977.90000000,29878.70000000,29882.58000000,16.02981000,479489.07177480,925
1663477200000,2022-09-18 05:00:00,BTC/AUD,29844.66000000,29947.00000000,29824.40000000,29930.03000000,14.16941000,423720.15190740,1783
1663473600000,2022-09-18 04:00:00,BTC/AUD,29836.70000000,29889.42000000,29773.24000000,29847.83000000,6.81949000,203576.05643940,1395
1663470000000,2022-09-18 03:00:00,BTC/AUD,29866.24000000,29891.33000000,29759.79000000,29836.47000000,10.30617000,307400.42381840,914
1663466400000,2022-09-18 02:00:00,BTC/AUD,29832.21000000,29900.00000000,29825.54000000,29868.53000000,11.47172000,342718.18557840,1360
