https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USDT,tradecount
1655856000000,2022-06-22 00:00:00,ENJ/USDT,0.46870,0.46950,0.45840,0.46500,1980325,916028.99000,5063
1655852400000,2022-06-21 23:00:00,ENJ/USDT,0.47530,0.47910,0.46330,0.46860,2518116,1181832.34190,6031
1655848800000,2022-06-21 22:00:00,ENJ/USDT,0.46900,0.47600,0.46500,0.47550,1505787,707390.19110,4207
1655845200000,2022-06-21 21:00:00,ENJ/USDT,0.46810,0.47180,0.46450,0.46950,1852417,867530.66700,4311
1655841600000,2022-06-21 20:00:00,ENJ/USDT,0.47160,0.47330,0.46650,0.46810,2330710,1093408.17250,5673
1655838000000,2022-06-21 19:00:00,ENJ/USDT,0.47830,0.48400,0.47030,0.47160,3108991,1482847.30000,7000
1655834400000,2022-06-21 18:00:00,ENJ/USDT,0.48240,0.48320,0.47720,0.47840,2184099,1049356.82770,4766
1655830800000,2022-06-21 17:00:00,ENJ/USDT,0.48850,0.48970,0.48130,0.48230,2362087,1147338.65360,5486
1655827200000,2022-06-21 16:00:00,ENJ/USDT,0.49060,0.49330,0.48720,0.48850,2845991,1395252.47010,6470
1655823600000,2022-06-21 15:00:00,ENJ/USDT,0.49520,0.49570,0.48710,0.49060,2688793,1321278.20850,6085
1655820000000,2022-06-21 14:00:00,ENJ/USDT,0.49590,0.50170,0.49030,0.49510,4250140,2108732.43700,8729
1655816400000,2022-06-21 13:00:00,ENJ/USDT,0.48230,0.49670,0.47800,0.49600,3436090,1679671.03190,7762
1655812800000,2022-06-21 12:00:00,ENJ/USDT,0.48030,0.48410,0.47800,0.48230,2149980,1034320.51890,5086
1655809200000,2022-06-21 11:00:00,ENJ/USDT,0.49270,0.49520,0.47900,0.48040,3429930,1668647.35540,8019
1655805600000,2022-06-21 10:00:00,ENJ/USDT,0.48460,0.49350,0.48150,0.49300,2387813,1165389.45260,5712
1655802000000,2022-06-21 09:00:00,ENJ/USDT,0.48680,0.49280,0.48310,0.48480,3530860,1719986.51580,7447
1655798400000,2022-06-21 08:00:00,ENJ/USDT,0.47200,0.48850,0.47070,0.48690,4306532,2072391.24810,8738
1655794800000,2022-06-21 07:00:00,ENJ/USDT,0.47890,0.48110,0.46950,0.47200,4511296,2143620.54500,8015
1655791200000,2022-06-21 06:00:00,ENJ/USDT,0.47680,0.48390,0.47680,0.47890,3241193,1554345.78780,7102
1655787600000,2022-06-21 05:00:00,ENJ/USDT,0.46660,0.47890,0.46610,0.47680,3585002,1698174.06470,8680
1655784000000,2022-06-21 04:00:00,ENJ/USDT,0.46640,0.46870,0.46000,0.46650,2241038,1040423.21140,4760
1655780400000,2022-06-21 03:00:00,ENJ/USDT,0.45830,0.46710,0.45690,0.46610,2823657,1304398.83150,5928
1655776800000,2022-06-21 02:00:00,ENJ/USDT,0.46390,0.46480,0.45450,0.45850,2426313,1110588.95800,4930
1655773200000,2022-06-21 01:00:00,ENJ/USDT,0.45910,0.46730,0.45630,0.46390,4146929,1917920.93790,7759
1655769600000,2022-06-21 00:00:00,ENJ/USDT,0.45960,0.46290,0.44800,0.45900,3928119,1788625.65380,8487
1655766000000,2022-06-20 23:00:00,ENJ/USDT,0.45510,0.46340,0.45100,0.45960,2801268,1281216.40490,6635
1655762400000,2022-06-20 22:00:00,ENJ/USDT,0.44800,0.45740,0.44220,0.45500,4513173,2028779.00020,8155
1655758800000,2022-06-20 21:00:00,ENJ/USDT,0.45860,0.46110,0.44550,0.44790,2385296,1078084.87120,4735
1655755200000,2022-06-20 20:00:00,ENJ/USDT,0.45380,0.46030,0.45100,0.45840,2450687,1118982.96060,6032
1655751600000,2022-06-20 19:00:00,ENJ/USDT,0.45000,0.45760,0.44420,0.45390,2803577,1266723.96390,5737
1655748000000,2022-06-20 18:00:00,ENJ/USDT,0.44930,0.45050,0.44410,0.44990,2800409,1253623.25330,6405
1655744400000,2022-06-20 17:00:00,ENJ/USDT,0.45300,0.46020,0.44900,0.44960,2809043,1279189.97080,6768
1655740800000,2022-06-20 16:00:00,ENJ/USDT,0.45770,0.45920,0.44890,0.45320,2691423,1223906.73030,6534
1655737200000,2022-06-20 15:00:00,ENJ/USDT,0.46250,0.46590,0.45000,0.45760,3943668,1798503.52000,8319
1655733600000,2022-06-20 14:00:00,ENJ/USDT,0.45090,0.46420,0.45030,0.46220,3115296,1427654.46060,6850
1655730000000,2022-06-20 13:00:00,ENJ/USDT,0.45600,0.45930,0.44820,0.45080,4295634,1951328.74300,8134
1655726400000,2022-06-20 12:00:00,ENJ/USDT,0.46420,0.46530,0.45050,0.45600,5318684,2427099.72960,8927
1655722800000,2022-06-20 11:00:00,ENJ/USDT,0.46280,0.46620,0.45820,0.46420,3150467,1456839.95300,7418
1655719200000,2022-06-20 10:00:00,ENJ/USDT,0.45440,0.46510,0.45030,0.46270,4942588,2261456.46090,9759
1655715600000,2022-06-20 09:00:00,ENJ/USDT,0.44920,0.45630,0.44900,0.45450,4261781,1925946.99630,8066
1655712000000,2022-06-20 08:00:00,ENJ/USDT,0.43980,0.45250,0.43950,0.44930,5506259,2466729.42880,11066
1655708400000,2022-06-20 07:00:00,ENJ/USDT,0.44390,0.44640,0.43340,0.43970,3341839,1466971.74360,6645
1655704800000,2022-06-20 06:00:00,ENJ/USDT,0.43470,0.44490,0.43140,0.44410,2900908,1268736.16340,5794
1655701200000,2022-06-20 05:00:00,ENJ/USDT,0.42950,0.43530,0.42630,0.43470,2213379,953100.22970,4774
1655697600000,2022-06-20 04:00:00,ENJ/USDT,0.43280,0.43890,0.42910,0.42960,2639115,1144862.54000,4974
1655694000000,2022-06-20 03:00:00,ENJ/USDT,0.43050,0.43690,0.42960,0.43250,1869696,809413.10010,4208
1655690400000,2022-06-20 02:00:00,ENJ/USDT,0.43120,0.43700,0.42350,0.43050,3139998,1348507.23040,6471
1655686800000,2022-06-20 01:00:00,ENJ/USDT,0.43400,0.43570,0.42730,0.43100,3459379,1493234.17290,6579
1655683200000,2022-06-20 00:00:00,ENJ/USDT,0.44130,0.44540,0.43280,0.43420,5066090,2217599.96060,9875
1655679600000,2022-06-19 23:00:00,ENJ/USDT,0.44030,0.44190,0.43600,0.44130,1983885,871031.74520,4708
1655676000000,2022-06-19 22:00:00,ENJ/USDT,0.44050,0.44530,0.43780,0.44040,2264701,998834.35980,5392
1655672400000,2022-06-19 21:00:00,ENJ/USDT,0.44610,0.44640,0.43860,0.44030,1850553,818541.20160,4280
1655668800000,2022-06-19 20:00:00,ENJ/USDT,0.43510,0.45110,0.43480,0.44630,5299171,2346785.51830,9953
1655665200000,2022-06-19 19:00:00,ENJ/USDT,0.44020,0.44530,0.43410,0.43520,4753657,2080618.32490,9867
1655661600000,2022-06-19 18:00:00,ENJ/USDT,0.42390,0.44020,0.42380,0.44000,3391358,1462443.73670,6313
1655658000000,2022-06-19 17:00:00,ENJ/USDT,0.42360,0.42570,0.42030,0.42430,2018597,854065.60370,4139
1655654400000,2022-06-19 16:00:00,ENJ/USDT,0.43250,0.43350,0.42100,0.42370,2713224,1157627.15030,5750
1655650800000,2022-06-19 15:00:00,ENJ/USDT,0.42650,0.43350,0.42130,0.43260,3552044,1519474.12840,6780
1655647200000,2022-06-19 14:00:00,ENJ/USDT,0.42150,0.42720,0.41820,0.42590,3241956,1372260.94490,5320
1655643600000,2022-06-19 13:00:00,ENJ/USDT,0.42370,0.42850,0.42000,0.42150,2729083,1159960.61570,4943
1655640000000,2022-06-19 12:00:00,ENJ/USDT,0.42880,0.43470,0.42140,0.42340,3892233,1662602.52780,7712
1655636400000,2022-06-19 11:00:00,ENJ/USDT,0.42770,0.43290,0.42620,0.42880,5622548,2413199.36160,8158
1655632800000,2022-06-19 10:00:00,ENJ/USDT,0.41170,0.43120,0.41070,0.42780,6801350,2878738.64990,12169
1655629200000,2022-06-19 09:00:00,ENJ/USDT,0.40680,0.41820,0.40570,0.41120,4629528,1908041.26230,8383
1655625600000,2022-06-19 08:00:00,ENJ/USDT,0.40140,0.40900,0.39680,0.40690,5038208,2028853.87330,8423
1655622000000,2022-06-19 07:00:00,ENJ/USDT,0.40010,0.41120,0.39900,0.40150,3617620,1463448.99070,7498
1655618400000,2022-06-19 06:00:00,ENJ/USDT,0.39830,0.40590,0.39490,0.39980,3799316,1527919.77650,7938
1655614800000,2022-06-19 05:00:00,ENJ/USDT,0.40580,0.41400,0.39370,0.39850,7194182,2879748.42380,12830
1655611200000,2022-06-19 04:00:00,ENJ/USDT,0.40060,0.40830,0.39900,0.40570,2393838,966869.86140,4954
1655607600000,2022-06-19 03:00:00,ENJ/USDT,0.40050,0.40760,0.39940,0.40050,3153428,1273435.08480,6246
1655604000000,2022-06-19 02:00:00,ENJ/USDT,0.40260,0.40400,0.39580,0.40050,2719582,1086281.73620,6196
1655600400000,2022-06-19 01:00:00,ENJ/USDT,0.40950,0.41150,0.39990,0.40260,3456521,1399139.17690,7987
1655596800000,2022-06-19 00:00:00,ENJ/USDT,0.41210,0.41820,0.40780,0.40930,3791400,1565889.12920,6736
1655593200000,2022-06-18 23:00:00,ENJ/USDT,0.41410,0.41810,0.41010,0.41210,2837406,1173756.34300,5870
1655589600000,2022-06-18 22:00:00,ENJ/USDT,0.40220,0.41950,0.40060,0.41400,5052700,2073876.21510,11869
1655586000000,2022-06-18 21:00:00,ENJ/USDT,0.38540,0.40930,0.38530,0.40210,7785181,3075310.07090,11722
1655582400000,2022-06-18 20:00:00,ENJ/USDT,0.38950,0.39340,0.37830,0.38550,10537353,4058524.84740,19174
1655578800000,2022-06-18 19:00:00,ENJ/USDT,0.40350,0.40490,0.38670,0.38940,5681334,2249918.14140,10500
1655575200000,2022-06-18 18:00:00,ENJ/USDT,0.40560,0.40760,0.40090,0.40330,3222867,1304061.66280,7590
1655571600000,2022-06-18 17:00:00,ENJ/USDT,0.40920,0.41370,0.40060,0.40550,3316692,1349474.25030,7071
1655568000000,2022-06-18 16:00:00,ENJ/USDT,0.40890,0.41890,0.40780,0.40910,3438446,1418346.14100,6828
1655564400000,2022-06-18 15:00:00,ENJ/USDT,0.40980,0.41300,0.40750,0.40890,1929560,791044.39570,4171
1655560800000,2022-06-18 14:00:00,ENJ/USDT,0.41550,0.41830,0.40890,0.40980,2400778,993314.20870,4628
1655557200000,2022-06-18 13:00:00,ENJ/USDT,0.41320,0.41750,0.41070,0.41550,2346150,971767.54120,4223
1655553600000,2022-06-18 12:00:00,ENJ/USDT,0.41510,0.41690,0.41100,0.41320,2791825,1156755.43330,5070
1655550000000,2022-06-18 11:00:00,ENJ/USDT,0.41510,0.42210,0.41210,0.41510,3778494,1574563.45420,6096
1655546400000,2022-06-18 10:00:00,ENJ/USDT,0.40890,0.41940,0.40790,0.41520,3879543,1610275.92210,7049
