https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DFA,Volume USDT
1663459200,2022-09-18 00:00:00,DFA/USDT,0.1056,0.1064,0.1053,0.1061,38642.9822,4086.01513353
1663372800,2022-09-17 00:00:00,DFA/USDT,0.1057,0.1098,0.1022,0.1055,1023317.6627,107069.84131017
1663286400,2022-09-16 00:00:00,DFA/USDT,0.1064,0.1089,0.1013,0.1057,1023068.3032,107483.1079456
1663200000,2022-09-15 00:00:00,DFA/USDT,0.103,0.1086,0.1005,0.1064,1083339.6797,113283.31343779
1663113600,2022-09-14 00:00:00,DFA/USDT,0.1038,0.109,0.1023,0.103,1029232.36,106540.20010699
1663027200,2022-09-13 00:00:00,DFA/USDT,0.1062,0.1093,0.1024,0.1038,1065657.8937,112098.22315012
1662940800,2022-09-12 00:00:00,DFA/USDT,0.1101,0.1121,0.1051,0.1063,1134958.5834,122275.82981813
1662854400,2022-09-11 00:00:00,DFA/USDT,0.1139,0.1154,0.11,0.1101,1024943.0304,115041.0815195
1662768000,2022-09-10 00:00:00,DFA/USDT,0.1173,0.1178,0.11,0.114,1018339.5143,116536.02446035
1662681600,2022-09-09 00:00:00,DFA/USDT,0.1087,0.1231,0.1087,0.1173,1277924.3526,145861.49393426
1662595200,2022-09-08 00:00:00,DFA/USDT,0.1134,0.116,0.1087,0.1087,1145620.6485,128740.95688424
1662508800,2022-09-07 00:00:00,DFA/USDT,0.1107,0.1148,0.1058,0.1135,1201731.518,132538.78701902
1662422400,2022-09-06 00:00:00,DFA/USDT,0.115,0.117,0.1102,0.1108,1076982.389,122207.42420565
1662336000,2022-09-05 00:00:00,DFA/USDT,0.1168,0.1176,0.1122,0.115,965391.0388,110260.61036424
1662249600,2022-09-04 00:00:00,DFA/USDT,0.1145,0.1191,0.112,0.1168,1137769.3766,130230.09997464
1662163200,2022-09-03 00:00:00,DFA/USDT,0.114,0.1185,0.111,0.1145,1235430.4183,140987.62404498
1662076800,2022-09-02 00:00:00,DFA/USDT,0.1121,0.1177,0.1111,0.114,1118177.9581,126957.41350518
1661990400,2022-09-01 00:00:00,DFA/USDT,0.1139,0.1165,0.1101,0.1121,1001485.4756,113269.30276875
1661904000,2022-08-31 00:00:00,DFA/USDT,0.1102,0.1208,0.1093,0.1139,1082878.1596,124881.13549572
1661817600,2022-08-30 00:00:00,DFA/USDT,0.1163,0.1244,0.1079,0.1102,1176009.819,135753.49024338
1661731200,2022-08-29 00:00:00,DFA/USDT,0.1196,0.1205,0.109,0.1163,1140650.5007,131103.00879389
1661644800,2022-08-28 00:00:00,DFA/USDT,0.1199,0.1232,0.1151,0.1196,1074712.9384,127454.73132745
1661558400,2022-08-27 00:00:00,DFA/USDT,0.1178,0.1273,0.1144,0.1199,1113058.3118,131679.18069751
1661472000,2022-08-26 00:00:00,DFA/USDT,0.1243,0.1264,0.1167,0.1178,1162798.2562,141848.73041464
1661385600,2022-08-25 00:00:00,DFA/USDT,0.1313,0.1345,0.122,0.1243,1382207.6666,177555.42572963
1661299200,2022-08-24 00:00:00,DFA/USDT,0.1414,0.1699,0.1277,0.1313,3517224.891,489154.45233578
1661212800,2022-08-23 00:00:00,DFA/USDT,0.1197,0.388,0.1184,0.1412,3363081.9703,525495.27200214
1661126400,2022-08-22 00:00:00,DFA/USDT,0.1185,0.1218,0.1126,0.1197,1024256.6101,119210.61160053
1661040000,2022-08-21 00:00:00,DFA/USDT,0.1189,0.1302,0.1139,0.1186,1825794.2582,216808.96988858
1660953600,2022-08-20 00:00:00,DFA/USDT,0.1155,0.49,0.1143,0.1188,2740568.0243,405094.791371
1660867200,2022-08-19 00:00:00,DFA/USDT,0.1353,0.1356,0.1145,0.1153,983512.7487,121284.7689353
1660780800,2022-08-18 00:00:00,DFA/USDT,0.1328,0.1433,0.1328,0.1353,950050.5338,129748.22269467
1660694400,2022-08-17 00:00:00,DFA/USDT,0.1402,0.1468,0.1314,0.1328,906550.87315337,125167.522509110906
1660608000,2022-08-16 00:00:00,DFA/USDT,0.1423,0.1446,0.1379,0.1402,813403.6756,114639.01444603
1660521600,2022-08-15 00:00:00,DFA/USDT,0.1492,0.15,0.1406,0.1423,928715.3975,136228.81701288
1660435200,2022-08-14 00:00:00,DFA/USDT,0.1564,0.1594,0.149,0.1492,908560.4611,138899.42714178
1660348800,2022-08-13 00:00:00,DFA/USDT,0.156,0.159,0.153,0.1564,862364.3142,133799.2228131
1660262400,2022-08-12 00:00:00,DFA/USDT,0.1585,0.159,0.1535,0.156,851305.7123,132507.48313856
1660176000,2022-08-11 00:00:00,DFA/USDT,0.1557,0.1618,0.154,0.1584,905075.3864,143068.72016395
1660089600,2022-08-10 00:00:00,DFA/USDT,0.1547,0.1614,0.1529,0.1557,892226.8394,140026.93386255
1660003200,2022-08-09 00:00:00,DFA/USDT,0.1578,0.161,0.1542,0.1547,895723.9677,140454.5558013
1659916800,2022-08-08 00:00:00,DFA/USDT,0.1548,0.1676,0.1547,0.1576,1072565.7885,170939.42097493
1659830400,2022-08-07 00:00:00,DFA/USDT,0.1551,0.165,0.1541,0.1548,1001000.0721,158000.54670344
1659744000,2022-08-06 00:00:00,DFA/USDT,0.1521,0.2015,0.1496,0.1551,1381754.6564,217452.59148933
1659657600,2022-08-05 00:00:00,DFA/USDT,0.1514,0.1559,0.15,0.152,866190.945,131596.19845378
1659571200,2022-08-04 00:00:00,DFA/USDT,0.1494,0.1561,0.1494,0.1515,858195.3968,129685.28654004
1659484800,2022-08-03 00:00:00,DFA/USDT,0.1512,0.1561,0.1494,0.1494,866692.7933,131471.30871071
1659398400,2022-08-02 00:00:00,DFA/USDT,0.1537,0.1581,0.1498,0.1512,889468.0787,135013.43335637
1659312000,2022-08-01 00:00:00,DFA/USDT,0.1555,0.158,0.1523,0.1538,861612.1226,133112.77405315
1659225600,2022-07-31 00:00:00,DFA/USDT,0.1556,0.1658,0.1514,0.1555,1033661.4112,163393.11775996
1659139200,2022-07-30 00:00:00,DFA/USDT,0.1527,0.162,0.1526,0.1557,890042.3171,139184.77133116
1659052800,2022-07-29 00:00:00,DFA/USDT,0.1532,0.1581,0.149,0.1527,883050.8746,136086.71287414
1658966400,2022-07-28 00:00:00,DFA/USDT,0.1501,0.1561,0.1489,0.1531,853115.9515,129795.2060389
1658880000,2022-07-27 00:00:00,DFA/USDT,0.1486,0.1535,0.1483,0.1501,855483.8607,127448.06983957
1658793600,2022-07-26 00:00:00,DFA/USDT,0.1492,0.1526,0.1477,0.1487,862085.7938,128314.78202521
1658707200,2022-07-25 00:00:00,DFA/USDT,0.1523,0.1546,0.148,0.1492,869922.3379,131392.0110299
1658620800,2022-07-24 00:00:00,DFA/USDT,0.1547,0.1618,0.148,0.1523,1057565.7579,162769.3729773
