https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WAVES,Volume USDT
1663462800,2022-09-18 01:00:00,WAVES/USDT,4.3365,4.3365,4.3249,4.3324,589.25416234,2549.85318217741
1663459200,2022-09-18 00:00:00,WAVES/USDT,4.37,4.3705,4.3331,4.3371,2615.71618721,11388.403622375921
1663455600,2022-09-17 23:00:00,WAVES/USDT,4.3659,4.3759,4.3591,4.3714,549.26529171,2397.579424562987
1663452000,2022-09-17 22:00:00,WAVES/USDT,4.3664,4.3741,4.363,4.368,1253.93781611,5479.349940882821
1663448400,2022-09-17 21:00:00,WAVES/USDT,4.3623,4.3671,4.3504,4.3654,1527.20989095,6654.166398703224
1663444800,2022-09-17 20:00:00,WAVES/USDT,4.3324,4.3632,4.3299,4.3632,1493.61028497,6484.683937909968
1663441200,2022-09-17 19:00:00,WAVES/USDT,4.3427,4.3435,4.3217,4.3318,2375.84317525,10285.672830950542
1663437600,2022-09-17 18:00:00,WAVES/USDT,4.3492,4.3507,4.3351,4.3448,2542.79397714,11050.544283026217
1663434000,2022-09-17 17:00:00,WAVES/USDT,4.3612,4.3629,4.3397,4.3478,1716.25594551,7461.648696898534
1663430400,2022-09-17 16:00:00,WAVES/USDT,4.3311,4.3685,4.3311,4.3592,4098.53812374,17824.883435144799
1663426800,2022-09-17 15:00:00,WAVES/USDT,4.3252,4.3357,4.3146,4.3291,1244.58685494,5385.29244011039
1663423200,2022-09-17 14:00:00,WAVES/USDT,4.3061,4.3242,4.3055,4.323,452.12589188,1951.944352084635
1663419600,2022-09-17 13:00:00,WAVES/USDT,4.2967,4.308,4.2951,4.3053,2434.29254696,10470.415947887042
1663416000,2022-09-17 12:00:00,WAVES/USDT,4.2708,4.2966,4.2687,4.2941,762.27288731,3264.382635806784
1663412400,2022-09-17 11:00:00,WAVES/USDT,4.2849,4.2852,4.2668,4.269,1047.87398288,4477.949923591146
1663408800,2022-09-17 10:00:00,WAVES/USDT,4.2887,4.2905,4.2668,4.2851,7923.37163012,33945.031515778938
1663405200,2022-09-17 09:00:00,WAVES/USDT,4.2987,4.2997,4.2829,4.2885,1434.48284221,6163.11988801523
1663401600,2022-09-17 08:00:00,WAVES/USDT,4.2941,4.3051,4.2897,4.299,7937.1085966,34102.246659625283
1663398000,2022-09-17 07:00:00,WAVES/USDT,4.3071,4.3111,4.2679,4.2917,14496.06417294,62255.227387499989
1663394400,2022-09-17 06:00:00,WAVES/USDT,4.3039,4.3483,4.2841,4.3093,19513.1484227,84169.688380097584
1663390800,2022-09-17 05:00:00,WAVES/USDT,4.3187,4.3187,4.2894,4.2961,3070.13564404,13202.55255037192
1663387200,2022-09-17 04:00:00,WAVES/USDT,4.3177,4.3374,4.3177,4.3223,3061.54535064,13252.53562495517
1663383600,2022-09-17 03:00:00,WAVES/USDT,4.32,4.3269,4.3124,4.3172,1004.42084548,4342.609248509503
1663380000,2022-09-17 02:00:00,WAVES/USDT,4.3368,4.3374,4.3152,4.32,779.22917026,3373.841729722771
1663376400,2022-09-17 01:00:00,WAVES/USDT,4.318,4.3362,4.3177,4.3359,3652.28025863,15788.726505269105
1663372800,2022-09-17 00:00:00,WAVES/USDT,4.308,4.356,4.308,4.3161,16536.31090701,71654.652055123701
1663369200,2022-09-16 23:00:00,WAVES/USDT,4.2913,4.3052,4.283,4.3052,1092.59287247,4689.279353359342
1663365600,2022-09-16 22:00:00,WAVES/USDT,4.3054,4.3121,4.2883,4.2883,2390.38523211,10287.042848086392
1663362000,2022-09-16 21:00:00,WAVES/USDT,4.3239,4.3284,4.301,4.3046,1225.04741009,5290.023873745958
1663358400,2022-09-16 20:00:00,WAVES/USDT,4.3165,4.3247,4.2955,4.3247,2659.98233771,11474.865748938737
1663354800,2022-09-16 19:00:00,WAVES/USDT,4.2991,4.3266,4.2991,4.3189,1935.47452487,8345.847117965192
1663351200,2022-09-16 18:00:00,WAVES/USDT,4.2465,4.3029,4.2398,4.2946,4653.19145216,19924.987602305032
1663347600,2022-09-16 17:00:00,WAVES/USDT,4.2547,4.2684,4.206,4.2446,2060.5011955,8724.949796197152
1663344000,2022-09-16 16:00:00,WAVES/USDT,4.2727,4.2736,4.2089,4.2459,2783.21351145,11777.797752780885
1663340400,2022-09-16 15:00:00,WAVES/USDT,4.262,4.2949,4.2573,4.2768,3441.31918591,14680.106462442565
1663336800,2022-09-16 14:00:00,WAVES/USDT,4.2317,4.29,4.2257,4.265,8847.06181084,37719.319968307521
1663333200,2022-09-16 13:00:00,WAVES/USDT,4.3455,4.3455,4.2081,4.2314,9806.98242117,41969.507322695871
1663329600,2022-09-16 12:00:00,WAVES/USDT,4.2878,4.3536,4.2661,4.3517,15400.36601319,66269.629556878897
1663326000,2022-09-16 11:00:00,WAVES/USDT,4.2549,4.2886,4.2532,4.2886,739.6043815,3160.164245793939
1663322400,2022-09-16 10:00:00,WAVES/USDT,4.2339,4.2609,4.2249,4.2537,4419.56106395,18776.941884534344
1663318800,2022-09-16 09:00:00,WAVES/USDT,4.2015,4.242,4.2005,4.2357,1454.85361677,6137.358960829815
1663315200,2022-09-16 08:00:00,WAVES/USDT,4.2295,4.2341,4.196,4.2054,4190.55020757,17638.671641464079
1663311600,2022-09-16 07:00:00,WAVES/USDT,4.2405,4.245,4.2279,4.2285,1093.84075931,4635.136300323031
1663308000,2022-09-16 06:00:00,WAVES/USDT,4.246,4.248,4.235,4.2422,934.98332469,3966.712882084744
1663304400,2022-09-16 05:00:00,WAVES/USDT,4.255,4.2723,4.247,4.2479,955.3050303,4064.170151247209
1663300800,2022-09-16 04:00:00,WAVES/USDT,4.2456,4.2653,4.2456,4.2559,1094.75104189,4663.100510062486
1663297200,2022-09-16 03:00:00,WAVES/USDT,4.2198,4.247,4.2143,4.247,3075.11064645,13032.561699614276
1663293600,2022-09-16 02:00:00,WAVES/USDT,4.2286,4.2286,4.1868,4.222,4995.82121347,21015.997110795757
1663290000,2022-09-16 01:00:00,WAVES/USDT,4.2331,4.2495,4.2186,4.2267,1654.65032325,7011.043564544127
1663286400,2022-09-16 00:00:00,WAVES/USDT,4.224,4.2316,4.169,4.2315,9795.98615474,41086.817158654156
1663282800,2022-09-15 23:00:00,WAVES/USDT,4.2326,4.2387,4.2111,4.2187,1800.02719482,7597.093989730524
1663279200,2022-09-15 22:00:00,WAVES/USDT,4.2694,4.2708,4.2105,4.2294,26117.59535775,110204.8486621576
1663275600,2022-09-15 21:00:00,WAVES/USDT,4.2825,4.2825,4.2619,4.2698,2406.72763597,10294.196866103782
1663272000,2022-09-15 20:00:00,WAVES/USDT,4.2836,4.286,4.2621,4.2784,2137.6272055,9146.499549038953
1663268400,2022-09-15 19:00:00,WAVES/USDT,4.2725,4.2845,4.2535,4.276,6784.34993376,28983.501936928282
1663264800,2022-09-15 18:00:00,WAVES/USDT,4.2816,4.29,4.2659,4.2706,5868.55949095,25090.222178656132
1663261200,2022-09-15 17:00:00,WAVES/USDT,4.294,4.3029,4.2814,4.2878,5736.85541773,24622.493714283324
1663257600,2022-09-15 16:00:00,WAVES/USDT,4.2582,4.2939,4.2512,4.2939,3226.57519305,13774.45879676076
1663254000,2022-09-15 15:00:00,WAVES/USDT,4.2297,4.2827,4.1903,4.2601,14660.66875821,62060.849882149852
1663250400,2022-09-15 14:00:00,WAVES/USDT,4.3344,4.3374,4.2155,4.2266,16864.81308849,71979.594837072553
1663246800,2022-09-15 13:00:00,WAVES/USDT,4.3332,4.3446,4.3,4.3308,3914.28597566,16899.041454876712
1663243200,2022-09-15 12:00:00,WAVES/USDT,4.3235,4.345,4.3,4.3301,2926.17439184,12644.927841094436
1663239600,2022-09-15 11:00:00,WAVES/USDT,4.308,4.334,4.3,4.3257,3720.06083892,16068.461893048927
1663236000,2022-09-15 10:00:00,WAVES/USDT,4.3214,4.3471,4.3013,4.3069,3449.34604983,14908.745672925597
1663232400,2022-09-15 09:00:00,WAVES/USDT,4.3569,4.425,4.3001,4.321,21157.36758205,92295.14416750312
1663228800,2022-09-15 08:00:00,WAVES/USDT,4.3856,4.3892,4.3366,4.3512,4980.65112739,21725.442867373387
1663225200,2022-09-15 07:00:00,WAVES/USDT,4.3593,4.4168,4.3576,4.3933,9680.51001738,42485.934642607217
1663221600,2022-09-15 06:00:00,WAVES/USDT,4.3422,4.3991,4.2765,4.3619,23751.18454633,102820.649039188607
1663218000,2022-09-15 05:00:00,WAVES/USDT,4.3108,4.3478,4.3058,4.3406,4447.27191615,19242.181896717306
1663214400,2022-09-15 04:00:00,WAVES/USDT,4.31,4.3284,4.2757,4.3141,7372.46550092,31710.820405602303
1663210800,2022-09-15 03:00:00,WAVES/USDT,4.3334,4.3334,4.2623,4.3081,16040.1547697,68983.351193143748
1663207200,2022-09-15 02:00:00,WAVES/USDT,4.382,4.382,4.3074,4.3342,6108.37917339,26430.905754566169
1663203600,2022-09-15 01:00:00,WAVES/USDT,4.3797,4.3855,4.339,4.3831,8587.6918116,37469.720476181092
1663200000,2022-09-15 00:00:00,WAVES/USDT,4.4359,4.4423,4.3618,4.3821,5956.7420318,26118.03432099522
1663196400,2022-09-14 23:00:00,WAVES/USDT,4.4386,4.4536,4.4247,4.4384,1609.68305034,7135.489823351019
1663192800,2022-09-14 22:00:00,WAVES/USDT,4.4314,4.4521,4.4193,4.4434,2501.4498501,11090.491060953261
1663189200,2022-09-14 21:00:00,WAVES/USDT,4.3999,4.4335,4.3823,4.4313,3257.63165498,14365.646342586333
1663185600,2022-09-14 20:00:00,WAVES/USDT,4.3888,4.405,4.3875,4.3978,2643.34319559,11619.543854960851
