https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume POLC,Volume USDT
1663459200,2022-09-18 00:00:00,POLC/USDT,0.03818,0.0386,0.03772,0.03816,14852.2589,566.274406545
1663372800,2022-09-17 00:00:00,POLC/USDT,0.0391,0.03999,0.037,0.03815,955456.3504,36105.574707112
1663286400,2022-09-16 00:00:00,POLC/USDT,0.03972,0.04043,0.03791,0.03872,1906023.3623,74231.612374942
1663200000,2022-09-15 00:00:00,POLC/USDT,0.04106,0.04147,0.03876,0.03971,847705.8099,33971.100322728
1663113600,2022-09-14 00:00:00,POLC/USDT,0.0416,0.04204,0.0401,0.04122,1241041.0623,51094.45389792
1663027200,2022-09-13 00:00:00,POLC/USDT,0.04566,0.04601,0.0409,0.0416,1194121.609,51074.935017136
1662940800,2022-09-12 00:00:00,POLC/USDT,0.04561,0.0471,0.04338,0.04539,1087125.9892,49289.950310796
1662854400,2022-09-11 00:00:00,POLC/USDT,0.0432,0.04731,0.04222,0.04561,1414373.1011,63078.90269463
1662768000,2022-09-10 00:00:00,POLC/USDT,0.0428,0.04474,0.0421,0.0432,1722936.84735637,74737.2038867383271
1662681600,2022-09-09 00:00:00,POLC/USDT,0.04059,0.0444,0.04059,0.043,1860406.1331,80054.462530854
1662595200,2022-09-08 00:00:00,POLC/USDT,0.04201,0.04254,0.04059,0.0408,995152.9323,41356.477038216
1662508800,2022-09-07 00:00:00,POLC/USDT,0.04052,0.0456,0.04,0.04181,3429361.21164343,144419.5029970627034
1662422400,2022-09-06 00:00:00,POLC/USDT,0.0417,0.0445,0.04019,0.04052,1233590.5369,51932.55124208
1662336000,2022-09-05 00:00:00,POLC/USDT,0.04391,0.04468,0.04168,0.0417,979409.2807,41948.327248673
1662249600,2022-09-04 00:00:00,POLC/USDT,0.04168,0.04429,0.04137,0.04428,4848080.184,204727.159059025
1662163200,2022-09-03 00:00:00,POLC/USDT,0.04255,0.04284,0.0401,0.04169,2622349.8675,108928.053841706
1662076800,2022-09-02 00:00:00,POLC/USDT,0.04337,0.04396,0.0416,0.04289,2043081.5462,87529.99414845
1661990400,2022-09-01 00:00:00,POLC/USDT,0.04401,0.04552,0.04256,0.04337,4552329.9843,199068.409968689
1661904000,2022-08-31 00:00:00,POLC/USDT,0.04578,0.04775,0.04345,0.044,2637338.62480908,116632.3902939983273
1661817600,2022-08-30 00:00:00,POLC/USDT,0.04718,0.04959,0.04578,0.04578,1182188.60405627,56020.9401574304463
1661731200,2022-08-29 00:00:00,POLC/USDT,0.04673,0.04762,0.0451,0.04718,848720.50468459,39509.4974380069128
1661644800,2022-08-28 00:00:00,POLC/USDT,0.0485,0.04943,0.04669,0.04676,996238.43379257,47975.7347859984839
1661558400,2022-08-27 00:00:00,POLC/USDT,0.0483,0.04953,0.04735,0.0485,800106.7744974,38808.4375308595892
1661472000,2022-08-26 00:00:00,POLC/USDT,0.05119,0.0539,0.0483,0.04862,1949872.30622555,99876.3189772367125
1661385600,2022-08-25 00:00:00,POLC/USDT,0.0517,0.06932,0.04712,0.05119,13165435.72683148,767335.1887377469615
1661299200,2022-08-24 00:00:00,POLC/USDT,0.05143,0.05281,0.051,0.0517,1100214.41549315,56991.7388955803818
1661212800,2022-08-23 00:00:00,POLC/USDT,0.05192,0.05282,0.0506,0.05123,1243413.74942685,64181.3376344578818
