https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume DASH
1663549200000,2022-09-19 01:00:00,DASH/BTC,0.00209026,0.00209314,0.00206888,0.00209314,0.0222710096,10.64
1663545600000,2022-09-19 00:00:00,DASH/BTC,0.00207655,0.00209207,0.00206295,0.00208894,0.0711097790028864,34.04108256
1663542000000,2022-09-18 23:00:00,DASH/BTC,0.00208077,0.00208759,0.00206544,0.00207523,0.07589116109999999,36.57
1663538400000,2022-09-18 22:00:00,DASH/BTC,0.00209358,0.00210829,0.0020643,0.00207977,0.09220285940559539,44.33320002
1663534800000,2022-09-18 21:00:00,DASH/BTC,0.0021519,0.0021537,0.00205804,0.00210169,0.12127335975446168,57.70278193
1663531200000,2022-09-18 20:00:00,DASH/BTC,0.00216531,0.00216659,0.00215134,0.00215253,0.08757032400368552,40.68251035
1663527600000,2022-09-18 19:00:00,DASH/BTC,0.00217387,0.00217692,0.00216576,0.00216576,0.08525117951400961,39.36317021
1663524000000,2022-09-18 18:00:00,DASH/BTC,0.00217232,0.00217637,0.00217006,0.00217462,0.079790118224026,36.6915223
1663520400000,2022-09-18 17:00:00,DASH/BTC,0.00217883,0.0021846,0.00217066,0.00217385,0.0833960505096145,38.36329577
1663516800000,2022-09-18 16:00:00,DASH/BTC,0.00218622,0.00218737,0.00217432,0.00217836,0.0807300216,37.06
1663513200000,2022-09-18 15:00:00,DASH/BTC,0.00218688,0.00219171,0.00218386,0.00218686,0.07820221025921201,35.7600442
1663509600000,2022-09-18 14:00:00,DASH/BTC,0.00219082,0.00219574,0.00218619,0.00218844,0.1122801068418048,51.30600192
1663506000000,2022-09-18 13:00:00,DASH/BTC,0.00218865,0.00219245,0.00218636,0.0021922,0.083172068,37.94
1663502400000,2022-09-18 12:00:00,DASH/BTC,0.00219204,0.00219204,0.00218496,0.00218729,0.0802516701,36.69
