https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DG,Volume USDT
1663459200,2022-09-18 00:00:00,DG/USDT,0.05644,0.05649,0.05633,0.05637,148975.4163,8398.870256869
1663372800,2022-09-17 00:00:00,DG/USDT,0.05513,0.05759,0.05459,0.05685,5184595.8471,288911.3974607
1663286400,2022-09-16 00:00:00,DG/USDT,0.05805,0.05807,0.05458,0.05507,2209903.6916,123693.213778406
1663200000,2022-09-15 00:00:00,DG/USDT,0.06152,0.06188,0.05598,0.05804,4201085.0623,252311.388568575
1663113600,2022-09-14 00:00:00,DG/USDT,0.06088,0.06292,0.0573,0.06136,4400604.5847,264680.62316082
1663027200,2022-09-13 00:00:00,DG/USDT,0.06507,0.06592,0.06038,0.06087,3495867.2297,222874.094121366
1662940800,2022-09-12 00:00:00,DG/USDT,0.06197,0.06557,0.06084,0.06513,4811269.4471,300541.926799085
1662854400,2022-09-11 00:00:00,DG/USDT,0.06191,0.06385,0.06046,0.06154,1758462.9558,110620.842763605
1662768000,2022-09-10 00:00:00,DG/USDT,0.06,0.06262,0.05926,0.06255,3094908.9202,186490.893379082
1662681600,2022-09-09 00:00:00,DG/USDT,0.05759,0.06146,0.05757,0.06,2840391.8728,167275.349397821
1662595200,2022-09-08 00:00:00,DG/USDT,0.05744,0.05824,0.05631,0.05776,5243547.8658,300392.711890792
1662508800,2022-09-07 00:00:00,DG/USDT,0.05709,0.05844,0.04941,0.05746,3390825.9038,187455.710092642
1662422400,2022-09-06 00:00:00,DG/USDT,0.0551,0.06525,0.05481,0.05741,4079580.0418,233431.02888028
1662336000,2022-09-05 00:00:00,DG/USDT,0.05515,0.0552,0.05347,0.0549,4435233.1697,242228.090246439
1662249600,2022-09-04 00:00:00,DG/USDT,0.05415,0.05545,0.05301,0.05489,2566002.3458,139257.705995782
1662163200,2022-09-03 00:00:00,DG/USDT,0.05414,0.05504,0.05309,0.05387,3361011.0506,182119.185880363
1662076800,2022-09-02 00:00:00,DG/USDT,0.05373,0.05594,0.05278,0.05424,2775534.6257,150564.429845637
1661990400,2022-09-01 00:00:00,DG/USDT,0.05663,0.05672,0.05134,0.05421,2709448.2465,144891.948109955
1661904000,2022-08-31 00:00:00,DG/USDT,0.05669,0.05956,0.05416,0.05688,2506129.5487,144683.042785292
1661817600,2022-08-30 00:00:00,DG/USDT,0.05689,0.05904,0.0549,0.05662,2210936.98,127582.783231326
1661731200,2022-08-29 00:00:00,DG/USDT,0.05239,0.06036,0.0513,0.05661,4140497.9372,219932.320974088
1661644800,2022-08-28 00:00:00,DG/USDT,0.0532,0.05445,0.05207,0.05273,4520305.7544,243407.70237133
1661558400,2022-08-27 00:00:00,DG/USDT,0.05331,0.05369,0.05228,0.05295,3223467.4588,171519.617633083
1661472000,2022-08-26 00:00:00,DG/USDT,0.06141,0.06207,0.05331,0.05331,3609104.7869,212592.663596114
1661385600,2022-08-25 00:00:00,DG/USDT,0.06076,0.06299,0.06044,0.0621,3330166.0018,204121.28499087
1661299200,2022-08-24 00:00:00,DG/USDT,0.06136,0.0626,0.05938,0.06075,2831436.3768,172558.884034052
1661212800,2022-08-23 00:00:00,DG/USDT,0.05959,0.06153,0.05925,0.06146,4329247.1533,263144.167411053
1661126400,2022-08-22 00:00:00,DG/USDT,0.06045,0.06049,0.05717,0.05978,5442205.5954,323454.509854585
1661040000,2022-08-21 00:00:00,DG/USDT,0.05891,0.06107,0.05862,0.06041,3715804.9752,222225.408178617
1660953600,2022-08-20 00:00:00,DG/USDT,0.06018,0.06244,0.05751,0.05899,4049681.8346,245994.798724473
1660867200,2022-08-19 00:00:00,DG/USDT,0.07061,0.07067,0.05962,0.06028,3959667.4835,257417.662807136
1660780800,2022-08-18 00:00:00,DG/USDT,0.07087,0.07417,0.07046,0.07061,4087492.0206,294988.631320374
1660694400,2022-08-17 00:00:00,DG/USDT,0.07242,0.07427,0.06921,0.07074,4490904.7787,323873.433302334
1660608000,2022-08-16 00:00:00,DG/USDT,0.07704,0.07704,0.07205,0.07231,3257774.5639,240770.426673179
1660521600,2022-08-15 00:00:00,DG/USDT,0.07348,0.07766,0.06749,0.07703,4871128.2138,353692.349042368
1660435200,2022-08-14 00:00:00,DG/USDT,0.0767,0.07781,0.07306,0.07348,3162437.3835,239822.25967012
1660348800,2022-08-13 00:00:00,DG/USDT,0.07535,0.0781,0.07535,0.07671,2664150.7378,205260.122470123
1660262400,2022-08-12 00:00:00,DG/USDT,0.07487,0.07647,0.07388,0.07537,3258932.7731,243666.402308645
1660176000,2022-08-11 00:00:00,DG/USDT,0.07696,0.07853,0.07448,0.07522,3169678.7926,241279.198135852
1660089600,2022-08-10 00:00:00,DG/USDT,0.07226,0.07889,0.07108,0.07694,3669112.3931,270279.854383627
1660003200,2022-08-09 00:00:00,DG/USDT,0.0795,0.08015,0.07222,0.07248,3439445.0502,262889.281989926
1659916800,2022-08-08 00:00:00,DG/USDT,0.07795,0.08186,0.07784,0.0795,3485352.5263,278058.24275592
1659830400,2022-08-07 00:00:00,DG/USDT,0.0793,0.07973,0.07574,0.078,3532608.5117,273178.359543189
1659744000,2022-08-06 00:00:00,DG/USDT,0.079,0.08099,0.079,0.079,3246629.5955,258933.754744612
1659657600,2022-08-05 00:00:00,DG/USDT,0.07284,0.07965,0.0723,0.079,3200851.0355,242593.285552124
1659571200,2022-08-04 00:00:00,DG/USDT,0.07431,0.07711,0.07187,0.07286,3102202.0231,230950.984732554
1659484800,2022-08-03 00:00:00,DG/USDT,0.0815,0.0841,0.07427,0.07437,3844200.3212,309982.522091263
1659398400,2022-08-02 00:00:00,DG/USDT,0.07661,0.0838,0.07391,0.08177,6318411.5987,492197.556119921
1659312000,2022-08-01 00:00:00,DG/USDT,0.07702,0.07915,0.07342,0.07668,3941895.1646,299248.73630205
