https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROOK,Volume USDT
1663545600000.0,2022-09-19 00:00:00,ROOK/USDT,33.15,33.2,33.1,33.15,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,ROOK/USDT,35.55,35.55,32.55,33.15,44.288102564102566,1468.1506
1663372800000.0,2022-09-17 00:00:00,ROOK/USDT,34.35,35.55,34.3,35.55,7.212526019690578,256.4053
1663286400000.0,2022-09-16 00:00:00,ROOK/USDT,35.85,36.0,34.1,34.35,36.24309315866085,1244.95025
1663200000000.0,2022-09-15 00:00:00,ROOK/USDT,38.55,39.3,35.4,35.85,21.99852440725244,788.6471
1663113600000.0,2022-09-14 00:00:00,ROOK/USDT,38.65,39.45,36.7,38.55,75.34370817120623,2904.49995
1663027200000.0,2022-09-13 00:00:00,ROOK/USDT,40.2,41.05,38.05,38.65,54.487455368693404,2105.94015
1662940800000.0,2022-09-12 00:00:00,ROOK/USDT,43.65,43.9,40.15,40.2,428.37387686567166,17220.62985
1662854400000.0,2022-09-11 00:00:00,ROOK/USDT,44.1,44.5,42.95,43.65,21.7825372279496,950.80775
1662768000000.0,2022-09-10 00:00:00,ROOK/USDT,44.35,45.15,44.0,44.1,14.870543083900225,655.79095
1662681600000.0,2022-09-09 00:00:00,ROOK/USDT,44.4,45.75,43.55,44.35,78.05626832018038,3461.7955
1662595200000.0,2022-09-08 00:00:00,ROOK/USDT,44.0,44.6,42.7,44.4,119.32128490990992,5297.86505
1662508800000.0,2022-09-07 00:00:00,ROOK/USDT,42.7,44.4,40.5,44.0,262.9690147727273,11570.63665
1662422400000.0,2022-09-06 00:00:00,ROOK/USDT,47.5,48.35,42.7,42.7,388.3624672131147,16583.07735
1662336000000.0,2022-09-05 00:00:00,ROOK/USDT,46.85,48.4,45.85,47.5,174.19701263157893,8274.3581
1662249600000.0,2022-09-04 00:00:00,ROOK/USDT,46.25,47.3,45.55,46.85,10.080005336179296,472.24825
1662163200000.0,2022-09-03 00:00:00,ROOK/USDT,45.8,46.8,44.3,46.25,152.68823891891893,7061.83105
1662076800000.0,2022-09-02 00:00:00,ROOK/USDT,46.85,50.7,44.7,45.8,269.2802325327511,12333.03465
1661990400000.0,2022-09-01 00:00:00,ROOK/USDT,44.65,46.9,42.4,46.85,170.02345891141943,7965.59905
1661904000000.0,2022-08-31 00:00:00,ROOK/USDT,43.25,53.8,43.25,44.65,933.5449182530795,41682.7806
1661817600000.0,2022-08-30 00:00:00,ROOK/USDT,36.85,43.45,36.65,43.45,417.09090103567314,18122.59965
1661731200000.0,2022-08-29 00:00:00,ROOK/USDT,35.0,37.7,33.35,36.85,205.6322157394844,7577.54715
1661644800000.0,2022-08-28 00:00:00,ROOK/USDT,35.45,36.9,34.25,35.0,30.955747142857145,1083.45115
1661558400000.0,2022-08-27 00:00:00,ROOK/USDT,35.35,36.05,34.05,35.45,41.855830747531726,1483.7892
1661472000000.0,2022-08-26 00:00:00,ROOK/USDT,38.9,39.7,34.3,35.35,180.39294059405938,6376.89045
1661385600000.0,2022-08-25 00:00:00,ROOK/USDT,36.85,40.05,36.65,38.9,113.36972107969153,4410.08215
1661299200000.0,2022-08-24 00:00:00,ROOK/USDT,36.8,38.9,34.3,36.85,67.01091451831749,2469.3522
1661212800000.0,2022-08-23 00:00:00,ROOK/USDT,34.25,37.95,33.4,36.8,52.09142527173913,1916.96445
1661126400000.0,2022-08-22 00:00:00,ROOK/USDT,35.3,35.3,32.05,34.25,93.66095328467154,3207.88765
1661040000000.0,2022-08-21 00:00:00,ROOK/USDT,33.9,35.6,33.8,35.3,30.716552407932014,1084.2943
1660953600000.0,2022-08-20 00:00:00,ROOK/USDT,33.1,35.0,31.8,33.9,82.23679351032449,2787.8273
1660867200000.0,2022-08-19 00:00:00,ROOK/USDT,38.95,39.45,32.0,33.1,186.08631117824774,6159.4569
1660780800000.0,2022-08-18 00:00:00,ROOK/USDT,38.25,40.25,37.75,38.95,26.47913863928113,1031.36245
1660694400000.0,2022-08-17 00:00:00,ROOK/USDT,38.45,40.5,37.75,38.25,89.75930849673202,3433.29355
