https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLK,Volume USDT
1663462800,2022-09-18 01:00:00,MLK/USDT,0.34317,0.34317,0.34317,0.34317,1887.5131,647.737870527
1663459200,2022-09-18 00:00:00,MLK/USDT,0.34301,0.34343,0.34133,0.34343,8604.6129,2951.378781975
1663455600,2022-09-17 23:00:00,MLK/USDT,0.3428,0.34301,0.34267,0.34301,8937.0735,3063.870303438
1663452000,2022-09-17 22:00:00,MLK/USDT,0.34351,0.34376,0.34255,0.3426,9466.0163,3245.377706266
1663448400,2022-09-17 21:00:00,MLK/USDT,0.34249,0.34351,0.34234,0.34286,8338.113,2856.478932004
1663444800,2022-09-17 20:00:00,MLK/USDT,0.34212,0.34246,0.34197,0.34197,10807.3361,3698.190486083
1663441200,2022-09-17 19:00:00,MLK/USDT,0.34227,0.34227,0.34042,0.34215,7381.1492,2525.316962141
1663437600,2022-09-17 18:00:00,MLK/USDT,0.34208,0.3423,0.34155,0.3423,8590.1072,2937.222031728
1663434000,2022-09-17 17:00:00,MLK/USDT,0.34176,0.34271,0.34097,0.34209,10798.9908,3694.334313916
1663430400,2022-09-17 16:00:00,MLK/USDT,0.34039,0.3425,0.33983,0.34151,5704.6798,1946.484555179
1663426800,2022-09-17 15:00:00,MLK/USDT,0.34029,0.34112,0.33909,0.34035,8928.951,3036.176432976
1663423200,2022-09-17 14:00:00,MLK/USDT,0.3391,0.3404,0.3391,0.3404,9742.2275,3314.398921482
1663419600,2022-09-17 13:00:00,MLK/USDT,0.33819,0.3385,0.33819,0.3385,12083.6363,4088.959327892
1663416000,2022-09-17 12:00:00,MLK/USDT,0.33802,0.33853,0.33713,0.33853,7889.4669,2669.365524257
1663412400,2022-09-17 11:00:00,MLK/USDT,0.33818,0.33952,0.33812,0.33831,10958.4264,3707.370247339
1663408800,2022-09-17 10:00:00,MLK/USDT,0.33814,0.3384,0.3371,0.33839,9291.0354,3143.383998624
1663405200,2022-09-17 09:00:00,MLK/USDT,0.3382,0.33848,0.33812,0.33848,7523.5043,2545.190621433
1663401600,2022-09-17 08:00:00,MLK/USDT,0.33778,0.33952,0.3377,0.33829,10508.2697,3552.813865607
1663398000,2022-09-17 07:00:00,MLK/USDT,0.33766,0.33786,0.33766,0.33774,7189.6968,2428.498809732
1663394400,2022-09-17 06:00:00,MLK/USDT,0.3377,0.33788,0.33708,0.33773,10045.1951,3392.778467629
1663390800,2022-09-17 05:00:00,MLK/USDT,0.33742,0.33748,0.33635,0.33726,7496.9525,2527.466192827
1663387200,2022-09-17 04:00:00,MLK/USDT,0.33745,0.33783,0.33706,0.33706,8955.5512,3021.93583032
1663383600,2022-09-17 03:00:00,MLK/USDT,0.3372,0.33742,0.33713,0.33713,6972.368,2351.286136513
1663380000,2022-09-17 02:00:00,MLK/USDT,0.33722,0.33722,0.33599,0.33704,10696.9251,3606.305987603
1663376400,2022-09-17 01:00:00,MLK/USDT,0.33671,0.33754,0.33671,0.33745,8293.2088,2796.881378952
1663372800,2022-09-17 00:00:00,MLK/USDT,0.33595,0.33714,0.33546,0.33714,10869.2826,3656.614290161
1663369200,2022-09-16 23:00:00,MLK/USDT,0.33605,0.33708,0.3359,0.3361,9801.3932,3293.795880768
1663365600,2022-09-16 22:00:00,MLK/USDT,0.33587,0.33609,0.3357,0.33609,8563.7344,2876.294377731
1663362000,2022-09-16 21:00:00,MLK/USDT,0.33508,0.33602,0.33508,0.33578,8451.3268,2837.292677946
1663358400,2022-09-16 20:00:00,MLK/USDT,0.33534,0.33674,0.33377,0.33537,10119.521,3395.084031521
1663354800,2022-09-16 19:00:00,MLK/USDT,0.33451,0.33535,0.33451,0.33535,6605.9273,2210.688040042
1663351200,2022-09-16 18:00:00,MLK/USDT,0.33433,0.33702,0.33416,0.33481,10600.4653,3546.517588015
1663347600,2022-09-16 17:00:00,MLK/USDT,0.33398,0.33407,0.3332,0.33401,6471.2198,2161.343637731
1663344000,2022-09-16 16:00:00,MLK/USDT,0.33539,0.33539,0.33419,0.33441,10081.3848,3374.33326885
1663340400,2022-09-16 15:00:00,MLK/USDT,0.335,0.33699,0.33455,0.33518,6868.7494,2303.039809734
1663336800,2022-09-16 14:00:00,MLK/USDT,0.33389,0.33597,0.33389,0.33515,5362.8103,1796.545402921
1663333200,2022-09-16 13:00:00,MLK/USDT,0.33534,0.33551,0.33442,0.33442,10196.8604,3416.316472135
