https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPHA,Volume USDT
1663459200,2022-09-18 00:00:00,ALPHA/USDT,0.116,0.116,0.1148,0.1152,2321.46976801,266.924007906166
1663372800,2022-09-17 00:00:00,ALPHA/USDT,0.113,0.116,0.1119,0.116,30492.34978798,3500.029880836258
1663286400,2022-09-16 00:00:00,ALPHA/USDT,0.1113,0.1128,0.1096,0.1125,125904.15397165,13986.742094907779
1663200000,2022-09-15 00:00:00,ALPHA/USDT,0.1186,0.1187,0.11,0.1116,709411.40197367,79377.940197518206
1663113600,2022-09-14 00:00:00,ALPHA/USDT,0.1162,0.1195,0.1153,0.1186,53551.07795466,6300.749477932552
1663027200,2022-09-13 00:00:00,ALPHA/USDT,0.1271,0.1278,0.116,0.1165,330985.56282073,39609.579677620174
1662940800,2022-09-12 00:00:00,ALPHA/USDT,0.1289,0.1332,0.1244,0.1281,160375.50691853,20841.432545926398
1662854400,2022-09-11 00:00:00,ALPHA/USDT,0.1297,0.1318,0.1262,0.13,166474.99500661,21601.118194623058
1662768000,2022-09-10 00:00:00,ALPHA/USDT,0.1293,0.132,0.126,0.1292,465692.69916546,59663.662003230421
1662681600,2022-09-09 00:00:00,ALPHA/USDT,0.1183,0.1313,0.1183,0.129,580061.09910211,73785.061312329393
1662595200,2022-09-08 00:00:00,ALPHA/USDT,0.1166,0.1192,0.1137,0.1183,209444.63839801,24503.325056221903
1662508800,2022-09-07 00:00:00,ALPHA/USDT,0.1073,0.1196,0.1069,0.1166,324328.23455339,35999.88894938343
1662422400,2022-09-06 00:00:00,ALPHA/USDT,0.1193,0.128,0.107,0.107,647072.13932087,77313.382630071776
1662336000,2022-09-05 00:00:00,ALPHA/USDT,0.1196,0.1204,0.1158,0.1186,73363.83695442,8599.899480059809
1662249600,2022-09-04 00:00:00,ALPHA/USDT,0.1184,0.1201,0.1165,0.1195,81876.52385533,9700.858516212142
1662163200,2022-09-03 00:00:00,ALPHA/USDT,0.1211,0.1216,0.1172,0.1183,25233.78046701,3000.782173329438
1662076800,2022-09-02 00:00:00,ALPHA/USDT,0.1225,0.1253,0.1197,0.1204,150002.7960507,18383.65027094498
1661990400,2022-09-01 00:00:00,ALPHA/USDT,0.1221,0.1236,0.1177,0.122,213608.08873399,25808.881370941294
1661904000,2022-08-31 00:00:00,ALPHA/USDT,0.122,0.1265,0.1213,0.1221,166985.38881841,20779.637163783593
1661817600,2022-08-30 00:00:00,ALPHA/USDT,0.1259,0.1278,0.1181,0.1211,200783.12480727,24569.39618094769
