https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROAR,Volume USDT
1663459200,2022-09-18 00:00:00,ROAR/USDT,0.01322,0.01388,0.01251,0.01362,2224843.3523,29394.153229897
1663372800,2022-09-17 00:00:00,ROAR/USDT,0.01183,0.01678,0.01143,0.01307,19371200.2232,263972.719470609
1663286400,2022-09-16 00:00:00,ROAR/USDT,0.01329,0.01334,0.01109,0.01183,10920962.6766,132379.803548063
1663200000,2022-09-15 00:00:00,ROAR/USDT,0.0139,0.01404,0.01204,0.01329,6884162.7351,91907.139459636
1663113600,2022-09-14 00:00:00,ROAR/USDT,0.01461,0.01531,0.0135,0.0139,4373676.9084,62264.519836358
1663027200,2022-09-13 00:00:00,ROAR/USDT,0.01523,0.01608,0.01378,0.0147,12141911.9335,181970.022150645
1662940800,2022-09-12 00:00:00,ROAR/USDT,0.01524,0.01557,0.0147,0.01511,5140106.1471,78637.785691323
1662854400,2022-09-11 00:00:00,ROAR/USDT,0.01474,0.01584,0.01472,0.01524,5397097.6016,82388.194088
1662768000,2022-09-10 00:00:00,ROAR/USDT,0.01647,0.01648,0.01433,0.01474,5480655.5167,83927.06126742
1662681600,2022-09-09 00:00:00,ROAR/USDT,0.01518,0.01703,0.0147,0.01647,9065330.6474,143664.515094002
1662595200,2022-09-08 00:00:00,ROAR/USDT,0.01429,0.01756,0.01328,0.01518,13971027.4934,210930.514795748
1662508800,2022-09-07 00:00:00,ROAR/USDT,0.01337,0.0149,0.0124,0.01431,10128500.1166,136148.724733873
1662422400,2022-09-06 00:00:00,ROAR/USDT,0.01501,0.01512,0.01336,0.01337,5910392.2868,85297.621369497
1662336000,2022-09-05 00:00:00,ROAR/USDT,0.0143,0.01517,0.014,0.01501,6793414.9755,99004.005083355
1662249600,2022-09-04 00:00:00,ROAR/USDT,0.01511,0.01555,0.0143,0.01432,5576619.7453,82927.511938693
1662163200,2022-09-03 00:00:00,ROAR/USDT,0.01517,0.01585,0.01467,0.01511,5797944.0467,88072.929675868
1662076800,2022-09-02 00:00:00,ROAR/USDT,0.01548,0.01578,0.015,0.01533,6977417.8691,107832.609582213
1661990400,2022-09-01 00:00:00,ROAR/USDT,0.01552,0.01655,0.01511,0.01547,8362123.8543,129811.532746247
1661904000,2022-08-31 00:00:00,ROAR/USDT,0.01607,0.01632,0.01536,0.01551,6366922.1243,100726.794276726
1661817600,2022-08-30 00:00:00,ROAR/USDT,0.01562,0.01751,0.01561,0.01606,7710335.9085,127384.227335938
1661731200,2022-08-29 00:00:00,ROAR/USDT,0.01586,0.0164,0.01528,0.01562,9398130.651,149049.089191667
1661644800,2022-08-28 00:00:00,ROAR/USDT,0.01706,0.0175,0.01582,0.01586,6875409.7025,115546.193569604
