https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR,tradecount
1663545600000,2022-09-19 00:00:00,BTC/EUR,19391.16000000,19424.31000000,19362.01000000,19389.43000000,18.57070000,360116.16449970,1329
1663542000000,2022-09-18 23:00:00,BTC/EUR,19423.77000000,19514.42000000,19351.49000000,19391.19000000,68.59046000,1332988.57711240,2995
1663538400000,2022-09-18 22:00:00,BTC/EUR,19453.72000000,19476.17000000,19343.00000000,19428.01000000,189.73266000,3680556.19722480,6515
1663534800000,2022-09-18 21:00:00,BTC/EUR,19709.31000000,19714.28000000,19406.74000000,19453.71000000,166.46383000,3246661.65511060,6809
1663531200000,2022-09-18 20:00:00,BTC/EUR,19715.42000000,19745.00000000,19664.23000000,19709.58000000,57.37471000,1131026.10680140,2440
1663527600000,2022-09-18 19:00:00,BTC/EUR,19617.77000000,19738.02000000,19578.90000000,19720.00000000,67.95853000,1337505.07189390,3088
1663524000000,2022-09-18 18:00:00,BTC/EUR,19621.56000000,19704.97000000,19551.04000000,19618.28000000,110.82199000,2175536.25604830,4695
1663520400000,2022-09-18 17:00:00,BTC/EUR,19732.53000000,19751.04000000,19597.97000000,19622.78000000,127.15641000,2502510.45317280,4853
1663516800000,2022-09-18 16:00:00,BTC/EUR,19804.65000000,19867.26000000,19650.00000000,19735.94000000,166.13012000,3277307.48963180,6519
1663513200000,2022-09-18 15:00:00,BTC/EUR,19795.12000000,19863.60000000,19763.14000000,19798.79000000,81.44129000,1613733.03204880,2823
1663509600000,2022-09-18 14:00:00,BTC/EUR,19950.00000000,19953.04000000,19722.50000000,19800.19000000,98.94780000,1962652.82019730,4528
1663506000000,2022-09-18 13:00:00,BTC/EUR,19974.46000000,20003.93000000,19930.00000000,19950.00000000,35.19149000,702841.82676980,1938
1663502400000,2022-09-18 12:00:00,BTC/EUR,19910.00000000,20015.00000000,19851.42000000,19975.63000000,51.96080000,1036179.88213190,2481
1663498800000,2022-09-18 11:00:00,BTC/EUR,19909.91000000,19942.32000000,19871.25000000,19910.44000000,48.01685000,956065.54930710,2587
1663495200000,2022-09-18 10:00:00,BTC/EUR,19825.91000000,20037.72000000,19764.54000000,19908.51000000,127.17592000,2530855.56682410,6400
1663491600000,2022-09-18 09:00:00,BTC/EUR,20050.00000000,20072.29000000,19815.00000000,19830.44000000,89.44856000,1782713.33474510,4402
1663488000000,2022-09-18 08:00:00,BTC/EUR,20051.67000000,20095.52000000,20017.61000000,20045.54000000,31.67194000,635340.61715480,2111
1663484400000,2022-09-18 07:00:00,BTC/EUR,20037.92000000,20084.55000000,20029.08000000,20049.49000000,25.11311000,503700.03057050,2074
1663480800000,2022-09-18 06:00:00,BTC/EUR,20065.44000000,20093.58000000,20026.76000000,20035.23000000,31.89693000,639778.56424840,1976
1663477200000,2022-09-18 05:00:00,BTC/EUR,20008.30000000,20081.01000000,19990.68000000,20066.54000000,21.52291000,431287.40956440,1443
1663473600000,2022-09-18 04:00:00,BTC/EUR,19995.17000000,20029.53000000,19950.00000000,20006.73000000,29.15173000,582939.93834070,1843
1663470000000,2022-09-18 03:00:00,BTC/EUR,20027.96000000,20031.35000000,19937.42000000,19994.73000000,31.47527000,629140.44889050,1476
1663466400000,2022-09-18 02:00:00,BTC/EUR,19995.62000000,20040.68000000,19990.85000000,20027.66000000,12.89533000,258138.43054090,968
