https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CREAM,Volume BTC
1663462800,2022-09-18 01:00:00,CREAM/BTC,0.0008709,0.0008805,0.0008709,0.0008805,3.4288,0.00300600739
1663459200,2022-09-18 00:00:00,CREAM/BTC,0.000902,0.000902,0.0008709,0.0008709,3.5199,0.00311327378
1663455600,2022-09-17 23:00:00,CREAM/BTC,0.0008971,0.0009099,0.0008845,0.0009021,3.9298,0.00353656585
1663452000,2022-09-17 22:00:00,CREAM/BTC,0.0008677,0.0009034,0.0008655,0.0009034,5.1692,0.00459543541
1663448400,2022-09-17 21:00:00,CREAM/BTC,0.0008677,0.0008758,0.0008673,0.0008683,2.3524,0.00205674236
1663444800,2022-09-17 20:00:00,CREAM/BTC,0.0008628,0.0008628,0.0008628,0.0008628,0,0
1663441200,2022-09-17 19:00:00,CREAM/BTC,0.0008683,0.00087,0.0008628,0.0008628,18.8734,0.01638569885
1663437600,2022-09-17 18:00:00,CREAM/BTC,0.0008638,0.0008638,0.0008635,0.0008635,1.8402,0.00158955998
1663434000,2022-09-17 17:00:00,CREAM/BTC,0.0008689,0.0008689,0.0008689,0.0008689,0.0118,0.00001025302
1663430400,2022-09-17 16:00:00,CREAM/BTC,0.0008683,0.0008686,0.0008683,0.0008686,0.012,0.0000104217
1663426800,2022-09-17 15:00:00,CREAM/BTC,0.0008646,0.0008646,0.0008629,0.0008629,0.6819,0.00058857105
1663423200,2022-09-17 14:00:00,CREAM/BTC,0.0008663,0.0008681,0.0008646,0.0008646,11.6178,0.01007140268
1663419600,2022-09-17 13:00:00,CREAM/BTC,0.0008771,0.0008771,0.0008589,0.0008673,1.3432,0.00116646696
1663416000,2022-09-17 12:00:00,CREAM/BTC,0.000858,0.0008859,0.000858,0.0008774,2.4588,0.00215247292
1663412400,2022-09-17 11:00:00,CREAM/BTC,0.0008613,0.0008631,0.0008499,0.000858,1.5531,0.00132954845
1663408800,2022-09-17 10:00:00,CREAM/BTC,0.0008827,0.0008971,0.0008624,0.0008624,3.8593,0.00339467041
1663405200,2022-09-17 09:00:00,CREAM/BTC,0.0008533,0.0008893,0.00084,0.0008829,16.5515,0.01444443898
1663401600,2022-09-17 08:00:00,CREAM/BTC,0.000837,0.0008589,0.000837,0.0008539,1.57,0.00133629791
1663398000,2022-09-17 07:00:00,CREAM/BTC,0.0008327,0.0008452,0.0008299,0.0008314,1.4371,0.0012034602
1663394400,2022-09-17 06:00:00,CREAM/BTC,0.0008281,0.0008373,0.0008267,0.0008373,13.1206,0.01088763561
1663390800,2022-09-17 05:00:00,CREAM/BTC,0.0008278,0.000833,0.0008278,0.000833,0.3039,0.00025244933
1663387200,2022-09-17 04:00:00,CREAM/BTC,0.0008255,0.0008263,0.0008255,0.0008263,0.2648,0.00021859617
1663383600,2022-09-17 03:00:00,CREAM/BTC,0.0008211,0.0008211,0.0008211,0.0008211,0,0
1663380000,2022-09-17 02:00:00,CREAM/BTC,0.000826,0.000826,0.0008211,0.0008211,0.1039,0.00008547009
1663376400,2022-09-17 01:00:00,CREAM/BTC,0.0008258,0.00083,0.0008258,0.00083,0.1026,0.00008499111
1663372800,2022-09-17 00:00:00,CREAM/BTC,0.0008205,0.0008254,0.0008157,0.0008254,39.1736,0.03222889877
1663369200,2022-09-16 23:00:00,CREAM/BTC,0.000826,0.0008301,0.0008213,0.0008213,0.2222,0.0001836396
1663365600,2022-09-16 22:00:00,CREAM/BTC,0.0008249,0.0008249,0.0008249,0.0008249,0.0473,0.00003901777
1663362000,2022-09-16 21:00:00,CREAM/BTC,0.0008249,0.0008249,0.0008249,0.0008249,0.0457,0.00003769793
1663358400,2022-09-16 20:00:00,CREAM/BTC,0.0008231,0.0008231,0.0008213,0.0008213,0.7173,0.00058945604
1663354800,2022-09-16 19:00:00,CREAM/BTC,0.0008254,0.0008254,0.0008232,0.0008232,0.07,0.0000576667
1663351200,2022-09-16 18:00:00,CREAM/BTC,0.0008261,0.0008261,0.0008254,0.0008254,0.272,0.00022468567
