https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USDT
1663459200,2022-09-18 00:00:00,AMP/USDT,0.00545,0.00545,0.00537,0.00537,704119.8154,3782.994465243
1663372800,2022-09-17 00:00:00,AMP/USDT,0.00531,0.00565,0.00527,0.00544,4416129.2259,23979.835645427
1663286400,2022-09-16 00:00:00,AMP/USDT,0.00541,0.0058,0.00513,0.0053,9650822.2742,51795.692817013
1663200000,2022-09-15 00:00:00,AMP/USDT,0.00563,0.00627,0.00529,0.0054,19576890.7881,112814.003607302
1663113600,2022-09-14 00:00:00,AMP/USDT,0.00562,0.00588,0.00542,0.00561,12686859.5517,71204.337822027
1663027200,2022-09-13 00:00:00,AMP/USDT,0.00619,0.00619,0.00538,0.00561,14499199.0389,84393.534627192
1662940800,2022-09-12 00:00:00,AMP/USDT,0.00658,0.00696,0.00587,0.0062,19451893.7647,121029.667892425
1662854400,2022-09-11 00:00:00,AMP/USDT,0.00591,0.00917,0.00591,0.00658,78907966.2646,564222.979663295
1662768000,2022-09-10 00:00:00,AMP/USDT,0.00585,0.00594,0.00575,0.00591,4087295.8406,23752.544859214
1662681600,2022-09-09 00:00:00,AMP/USDT,0.00567,0.00589,0.00552,0.00584,3651138.2459,21055.911875587
1662595200,2022-09-08 00:00:00,AMP/USDT,0.00559,0.00594,0.00544,0.00565,3305758.8664,18641.334216404
1662508800,2022-09-07 00:00:00,AMP/USDT,0.00552,0.00576,0.00542,0.00559,3353337.2909,18588.274441513
1662422400,2022-09-06 00:00:00,AMP/USDT,0.00599,0.00606,0.00548,0.00552,3758924.4412,21752.896344128
1662336000,2022-09-05 00:00:00,AMP/USDT,0.00607,0.00608,0.00593,0.00599,1207819.1661,7245.769284451
1662249600,2022-09-04 00:00:00,AMP/USDT,0.006,0.00607,0.00598,0.00607,1343279.4125,8112.610163239
1662163200,2022-09-03 00:00:00,AMP/USDT,0.00603,0.0061,0.00599,0.006,552861.214,3327.269921051
1662076800,2022-09-02 00:00:00,AMP/USDT,0.00618,0.00652,0.00599,0.00604,4869503.9311,29532.640799247
1661990400,2022-09-01 00:00:00,AMP/USDT,0.0062,0.00661,0.00603,0.00619,6083973.708,37415.543407262
1661904000,2022-08-31 00:00:00,AMP/USDT,0.0062,0.00661,0.00615,0.00617,6195490.8177,39490.757887303
1661817600,2022-08-30 00:00:00,AMP/USDT,0.00648,0.00649,0.00608,0.00618,1447479.346,9105.707465118
1661731200,2022-08-29 00:00:00,AMP/USDT,0.00642,0.00649,0.00623,0.00648,4532007.6117,28626.435652185
1661644800,2022-08-28 00:00:00,AMP/USDT,0.0066,0.0066,0.00639,0.00643,1215183.7704,7877.566925916
1661558400,2022-08-27 00:00:00,AMP/USDT,0.00656,0.00671,0.00652,0.00661,702176.8235,4617.114307843
1661472000,2022-08-26 00:00:00,AMP/USDT,0.00703,0.00703,0.00654,0.00654,2588492.5335,17433.637468257
1661385600,2022-08-25 00:00:00,AMP/USDT,0.00701,0.00717,0.00693,0.00701,1857973.8437,13100.206744679
1661299200,2022-08-24 00:00:00,AMP/USDT,0.00709,0.00771,0.00691,0.00702,7132224.7909,51513.455714383
1661212800,2022-08-23 00:00:00,AMP/USDT,0.00698,0.00745,0.00682,0.00706,4695386.5868,33093.21710107
1661126400,2022-08-22 00:00:00,AMP/USDT,0.00717,0.00717,0.00678,0.00697,1925329.6871,13514.413926031
1661040000,2022-08-21 00:00:00,AMP/USDT,0.00712,0.00732,0.00708,0.00719,1607802.9614,11548.15576888
1660953600,2022-08-20 00:00:00,AMP/USDT,0.00705,0.00739,0.00704,0.00709,2131249.8809,15366.959601218
1660867200,2022-08-19 00:00:00,AMP/USDT,0.00763,0.00763,0.007,0.007,4286532.6468,31472.615038703
1660780800,2022-08-18 00:00:00,AMP/USDT,0.00795,0.00805,0.00749,0.00763,3129953.1391,24448.022751281
1660694400,2022-08-17 00:00:00,AMP/USDT,0.00825,0.00828,0.00791,0.00791,3779298.3562,30623.670191871
1660608000,2022-08-16 00:00:00,AMP/USDT,0.00824,0.00834,0.00811,0.00827,4871672.2771,39966.631217892
1660521600,2022-08-15 00:00:00,AMP/USDT,0.00824,0.00832,0.00812,0.00824,2466074.2921,20266.168157664
1660435200,2022-08-14 00:00:00,AMP/USDT,0.00829,0.00853,0.00819,0.00824,3569994.0105,29872.857025747
1660348800,2022-08-13 00:00:00,AMP/USDT,0.00836,0.00922,0.00824,0.0083,6602385.8406,56000.154945244
1660262400,2022-08-12 00:00:00,AMP/USDT,0.00834,0.00876,0.00826,0.00836,5306487.0176,44971.479449575
1660176000,2022-08-11 00:00:00,AMP/USDT,0.00836,0.00854,0.00826,0.00834,4872768.1756,40999.568575342
1660089600,2022-08-10 00:00:00,AMP/USDT,0.00823,0.00843,0.00806,0.00833,3157128.8545,26129.429659354
1660003200,2022-08-09 00:00:00,AMP/USDT,0.00839,0.00848,0.00791,0.00823,3582683.2758,29230.267550406
1659916800,2022-08-08 00:00:00,AMP/USDT,0.00835,0.00851,0.00833,0.00838,1540983.5004,12955.40822115
1659830400,2022-08-07 00:00:00,AMP/USDT,0.00832,0.0085,0.00822,0.00835,2849788.9384,23758.653078769
1659744000,2022-08-06 00:00:00,AMP/USDT,0.00843,0.00846,0.00831,0.00832,3077034.8843,25837.286893165
1659657600,2022-08-05 00:00:00,AMP/USDT,0.00818,0.00922,0.00794,0.00842,5021515.0999,42243.023150008
1659571200,2022-08-04 00:00:00,AMP/USDT,0.0082,0.00839,0.00811,0.00818,1482605.597,12208.951106025
1659484800,2022-08-03 00:00:00,AMP/USDT,0.00838,0.0085,0.00791,0.0082,4574313.191,37831.838841582
1659398400,2022-08-02 00:00:00,AMP/USDT,0.00844,0.00854,0.00807,0.00838,20120104.5688,166804.919896967
