https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMPBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,COMPBEAR/USDT,3.4e-07,3.5e-07,3.3e-07,3.4e-07,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,COMPBEAR/USDT,3.4e-07,3.5e-07,3.4e-07,3.4e-07,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,COMPBEAR/USDT,3.5e-07,3.5e-07,3.4e-07,3.4e-07,0.0,0.0
1663534800000.0,2022-09-18 21:00:00,COMPBEAR/USDT,3.2e-07,3.9e-07,3.2e-07,3.5e-07,0.0,0.0
1663531200000.0,2022-09-18 20:00:00,COMPBEAR/USDT,3.2e-07,3.2e-07,3.2e-07,3.2e-07,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,COMPBEAR/USDT,3.2e-07,3.2e-07,3.2e-07,3.2e-07,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,COMPBEAR/USDT,3.2e-07,3.2e-07,3.2e-07,3.2e-07,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,COMPBEAR/USDT,3.1e-07,3.2e-07,3.1e-07,3.2e-07,28999999.999999996,9.28
1663516800000.0,2022-09-18 16:00:00,COMPBEAR/USDT,3.1e-07,3.2e-07,3.1e-07,3.1e-07,0.0,0.0
1663513200000.0,2022-09-18 15:00:00,COMPBEAR/USDT,3.1e-07,3.1e-07,3.1e-07,3.1e-07,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,COMPBEAR/USDT,3.1e-07,3.1e-07,3.1e-07,3.1e-07,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,COMPBEAR/USDT,2.8e-07,3.1e-07,2.8e-07,3.1e-07,29000000.0,8.99
1663502400000.0,2022-09-18 12:00:00,COMPBEAR/USDT,2.9e-07,2.9e-07,2.8e-07,2.8e-07,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,COMPBEAR/USDT,2.9e-07,2.9e-07,2.8e-07,2.9e-07,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,COMPBEAR/USDT,2.9e-07,2.9e-07,2.8e-07,2.9e-07,0.0,0.0
1663491600000.0,2022-09-18 09:00:00,COMPBEAR/USDT,2.7e-07,2.9e-07,2.7e-07,2.9e-07,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,COMPBEAR/USDT,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0,0.0
