https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume BTC
1663545600000.0,2022-09-19 00:00:00,YFI/BTC,0.4295,0.4305,0.42925,0.42925,0.009,0.00386325
1663459200000.0,2022-09-18 00:00:00,YFI/BTC,0.46475,0.467,0.41125,0.4295,5.027561117578579,2.1593375
1663372800000.0,2022-09-17 00:00:00,YFI/BTC,0.43825,0.46575,0.4365,0.46475,5.6477310381925765,2.624783
1663286400000.0,2022-09-16 00:00:00,YFI/BTC,0.43325,0.44425,0.429,0.43825,2.8980667427267544,1.27007775
1663200000000.0,2022-09-15 00:00:00,YFI/BTC,0.45475,0.45475,0.42975,0.43325,3.78003115983843,1.6376985
1663113600000.0,2022-09-14 00:00:00,YFI/BTC,0.44775,0.459,0.445,0.45475,2.781180868609126,1.264742
1663027200000.0,2022-09-13 00:00:00,YFI/BTC,0.436,0.458,0.42925,0.44775,3.616318816303741,1.61920675
1662940800000.0,2022-09-12 00:00:00,YFI/BTC,0.46625,0.471,0.436,0.436,2.059894495412844,0.898114
1662854400000.0,2022-09-11 00:00:00,YFI/BTC,0.4805,0.4895,0.46125,0.46625,3.4853753351206436,1.62505625
1662768000000.0,2022-09-10 00:00:00,YFI/BTC,0.4885,0.4895,0.47625,0.4805,1.8618537981269512,0.89462075
1662681600000.0,2022-09-09 00:00:00,YFI/BTC,0.479,0.5425,0.457,0.4885,2.6198485158648923,1.279796
1662595200000.0,2022-09-08 00:00:00,YFI/BTC,0.4845,0.494,0.474,0.479,0.6371377870563675,0.305189
1662508800000.0,2022-09-07 00:00:00,YFI/BTC,0.4595,0.50375,0.4555,0.4845,1.4335959752321983,0.69457725
1662422400000.0,2022-09-06 00:00:00,YFI/BTC,0.48125,0.49,0.454,0.4595,1.16042274211099,0.53321425
1662336000000.0,2022-09-05 00:00:00,YFI/BTC,0.4705,0.4835,0.4705,0.48125,1.5338223376623377,0.738152
1662249600000.0,2022-09-04 00:00:00,YFI/BTC,0.49375,0.49675,0.4705,0.4705,0.2121950053134963,0.09983775
1662163200000.0,2022-09-03 00:00:00,YFI/BTC,0.505,0.505,0.47525,0.49375,0.38669113924050635,0.19092875
1662076800000.0,2022-09-02 00:00:00,YFI/BTC,0.458,0.523,0.45425,0.505,1.8009668316831684,0.90948825
1661990400000.0,2022-09-01 00:00:00,YFI/BTC,0.45025,0.46575,0.443,0.458,0.4795485807860262,0.21963325
1661904000000.0,2022-08-31 00:00:00,YFI/BTC,0.44775,0.4595,0.44525,0.45025,0.45893725707940036,0.2066365
1661817600000.0,2022-08-30 00:00:00,YFI/BTC,0.44725,0.45575,0.438,0.44775,1.248460636515913,0.55899825
1661731200000.0,2022-08-29 00:00:00,YFI/BTC,0.433,0.44775,0.43,0.44725,0.2993722750139743,0.13389425
1661644800000.0,2022-08-28 00:00:00,YFI/BTC,0.439,0.4465,0.4315,0.433,0.14339896073903002,0.06209175
1661558400000.0,2022-08-27 00:00:00,YFI/BTC,0.4435,0.45225,0.43325,0.439,0.2534265375854214,0.11125425
1661472000000.0,2022-08-26 00:00:00,YFI/BTC,0.45425,0.45575,0.436,0.442,0.7790904977375566,0.344358
1661385600000.0,2022-08-25 00:00:00,YFI/BTC,0.43625,0.471,0.43625,0.45425,2.4389895432030824,1.107911
1661299200000.0,2022-08-24 00:00:00,YFI/BTC,0.42875,0.4395,0.4255,0.43625,2.6159484240687676,1.1412075
1661212800000.0,2022-08-23 00:00:00,YFI/BTC,0.41725,0.435,0.41725,0.42875,3.631598250728863,1.55704775
1661126400000.0,2022-08-22 00:00:00,YFI/BTC,0.40525,0.41725,0.394,0.41725,0.838787896944278,0.34998425
1661040000000.0,2022-08-21 00:00:00,YFI/BTC,0.40325,0.411,0.40325,0.40525,0.09679025293028995,0.03922425
1660953600000.0,2022-08-20 00:00:00,YFI/BTC,0.41325,0.4265,0.39625,0.40325,0.4290979541227526,0.17303375
1660867200000.0,2022-08-19 00:00:00,YFI/BTC,0.441,0.444,0.41275,0.41325,1.0071494252873563,0.4162045
1660780800000.0,2022-08-18 00:00:00,YFI/BTC,0.477,0.48175,0.43,0.44125,0.7128657223796034,0.314552
1660694400000.0,2022-08-17 00:00:00,YFI/BTC,0.46175,0.4885,0.46175,0.477,1.3531210691823898,0.64543875
1660608000000.0,2022-08-16 00:00:00,YFI/BTC,0.46025,0.46625,0.45425,0.46175,0.2410319436924743,0.1112965
1660521600000.0,2022-08-15 00:00:00,YFI/BTC,0.46075,0.47175,0.45375,0.46025,1.1664611624117327,0.53686375
1660435200000.0,2022-08-14 00:00:00,YFI/BTC,0.4665,0.4755,0.4535,0.46075,0.7336413456321216,0.33802525
1660348800000.0,2022-08-13 00:00:00,YFI/BTC,0.472,0.49275,0.46475,0.4665,1.8492620578778134,0.86268075
1660262400000.0,2022-08-12 00:00:00,YFI/BTC,0.471,0.4815,0.46475,0.472,0.3304809322033898,0.155987
1660176000000.0,2022-08-11 00:00:00,YFI/BTC,0.47975,0.4845,0.464,0.471,1.108917728237792,0.52230025
1660089600000.0,2022-08-10 00:00:00,YFI/BTC,0.4845,0.49225,0.474,0.47975,0.8975742574257426,0.43061125
1660003200000.0,2022-08-09 00:00:00,YFI/BTC,0.48,0.49525,0.46775,0.4845,1.708795665634675,0.8279115
1659916800000.0,2022-08-08 00:00:00,YFI/BTC,0.49225,0.49625,0.47675,0.48,0.56205,0.269784
1659830400000.0,2022-08-07 00:00:00,YFI/BTC,0.512,0.512,0.4905,0.49225,1.0950025393600813,0.539015
1659744000000.0,2022-08-06 00:00:00,YFI/BTC,0.5275,0.5275,0.5015,0.512,1.02265087890625,0.52359725
1659657600000.0,2022-08-05 00:00:00,YFI/BTC,0.471,0.5285,0.4685,0.5275,2.0783203791469194,1.096314
1659571200000.0,2022-08-04 00:00:00,YFI/BTC,0.471,0.48375,0.46175,0.471,0.8065504246284502,0.37988525
1659484800000.0,2022-08-03 00:00:00,YFI/BTC,0.46675,0.48025,0.457,0.471,1.4219315286624206,0.66972975
1659398400000.0,2022-08-02 00:00:00,YFI/BTC,0.49975,0.50875,0.4655,0.46675,1.6704600964113552,0.77968725
1659312000000.0,2022-08-01 00:00:00,YFI/BTC,0.46625,0.5195,0.46475,0.49975,2.7523981990995496,1.375511
1659225600000.0,2022-07-31 00:00:00,YFI/BTC,0.497,0.5225,0.46125,0.46625,3.359217694369973,1.56623525
1659139200000.0,2022-07-30 00:00:00,YFI/BTC,0.458,0.57775,0.4465,0.497,7.791292756539235,3.8722725
1659052800000.0,2022-07-29 00:00:00,YFI/BTC,0.3845,0.4805,0.3645,0.458,8.65146288209607,3.96237
1658966400000.0,2022-07-28 00:00:00,YFI/BTC,0.31275,0.41125,0.30975,0.3845,9.950774382314693,3.82607275
1658880000000.0,2022-07-27 00:00:00,YFI/BTC,0.32275,0.323,0.30975,0.31275,3.693417266187051,1.15511625
1658793600000.0,2022-07-26 00:00:00,YFI/BTC,0.29425,0.32425,0.29425,0.32275,2.761243996901627,0.8911915
1658707200000.0,2022-07-25 00:00:00,YFI/BTC,0.30875,0.31375,0.29125,0.29425,12.078949022939677,3.55423075
1658620800000.0,2022-07-24 00:00:00,YFI/BTC,0.28925,0.329,0.289,0.30875,4.065183805668015,1.2551255
1658534400000.0,2022-07-23 00:00:00,YFI/BTC,0.2895,0.29725,0.28575,0.28925,0.7340769230769231,0.21233175
1658448000000.0,2022-07-22 00:00:00,YFI/BTC,0.2905,0.29225,0.281,0.2895,0.6891485319516408,0.1995085
1658361600000.0,2022-07-21 00:00:00,YFI/BTC,0.27925,0.2955,0.27475,0.2905,2.0356265060240966,0.5913495
1658275200000.0,2022-07-20 00:00:00,YFI/BTC,0.2885,0.29325,0.27725,0.27925,0.9682202327663384,0.2703755
1658188800000.0,2022-07-19 00:00:00,YFI/BTC,0.2935,0.3035,0.2875,0.2885,1.9165597920277297,0.5529275
1658102400000.0,2022-07-18 00:00:00,YFI/BTC,0.29275,0.29925,0.28925,0.2935,0.6612206132879046,0.19406825
1658016000000.0,2022-07-17 00:00:00,YFI/BTC,0.296,0.2965,0.28625,0.29275,0.43746883005977794,0.128069
1657929600000.0,2022-07-16 00:00:00,YFI/BTC,0.29575,0.30025,0.28875,0.296,1.6503547297297299,0.488505
1657843200000.0,2022-07-15 00:00:00,YFI/BTC,0.29225,0.30025,0.29025,0.29575,0.28766356720202874,0.0850765
1657756800000.0,2022-07-14 00:00:00,YFI/BTC,0.291,0.2955,0.28575,0.29225,0.7947519247219846,0.23226625
1657670400000.0,2022-07-13 00:00:00,YFI/BTC,0.282,0.2935,0.27925,0.291,1.7434579037800688,0.50734625
1657584000000.0,2022-07-12 00:00:00,YFI/BTC,0.275,0.288,0.27475,0.28175,0.19749334516415262,0.05564375
