https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CBC,Volume USDT
1663459200,2022-09-18 00:00:00,CBC/USDT,0.009272,0.00929,0.008919,0.009007,2254985.2776,20905.465599152
1663455600,2022-09-17 23:00:00,CBC/USDT,0.009249,0.009335,0.009067,0.00924,108996.1516,1009.9289786298
1663452000,2022-09-17 22:00:00,CBC/USDT,0.009199,0.009319,0.009043,0.009319,150148.2788,1392.2482267617
1663448400,2022-09-17 21:00:00,CBC/USDT,0.009189,0.009261,0.008913,0.00918,73437.1711,666.0168264598
1663444800,2022-09-17 20:00:00,CBC/USDT,0.008989,0.009273,0.008989,0.009189,82915.5761,762.6008604772
1663441200,2022-09-17 19:00:00,CBC/USDT,0.00916,0.009186,0.008916,0.008989,9409.3755,84.9337742889
1663437600,2022-09-17 18:00:00,CBC/USDT,0.009156,0.009165,0.009096,0.009096,2290751.2596,20978.5604186532
1663434000,2022-09-17 17:00:00,CBC/USDT,0.009187,0.009187,0.009,0.009187,24647.7449,222.4421609225
1663430400,2022-09-17 16:00:00,CBC/USDT,0.009001,0.009259,0.009001,0.009259,20942.7446,190.6619715911
1663426800,2022-09-17 15:00:00,CBC/USDT,0.009018,0.009252,0.008931,0.009001,103138.9182,940.0144228442
1663423200,2022-09-17 14:00:00,CBC/USDT,0.008944,0.009017,0.008934,0.009017,75750.5539,677.887751495
1663419600,2022-09-17 13:00:00,CBC/USDT,0.008999,0.009,0.008917,0.008944,179683.6062,1604.4683798552
1663416000,2022-09-17 12:00:00,CBC/USDT,0.008816,0.008997,0.008816,0.008958,23871.0161,213.2420078837
1663412400,2022-09-17 11:00:00,CBC/USDT,0.008815,0.009162,0.008815,0.008817,50765.9786,455.6607310674
1663408800,2022-09-17 10:00:00,CBC/USDT,0.009028,0.009028,0.008695,0.008781,92591.5461,814.3187883494
1663405200,2022-09-17 09:00:00,CBC/USDT,0.009096,0.009218,0.008888,0.009028,270394.0628,2489.6657282754
1663401600,2022-09-17 08:00:00,CBC/USDT,0.009001,0.009171,0.008745,0.009096,77751.2994,689.0156969414
1663398000,2022-09-17 07:00:00,CBC/USDT,0.008999,0.009294,0.008812,0.009001,322537.7782,2863.8510062803
1663394400,2022-09-17 06:00:00,CBC/USDT,0.008924,0.009253,0.0087,0.008931,227989.3124,2080.2774097007
1663390800,2022-09-17 05:00:00,CBC/USDT,0.00914,0.00914,0.008856,0.008939,135915.5382,1226.1656728427
1663387200,2022-09-17 04:00:00,CBC/USDT,0.009002,0.00914,0.009002,0.00914,82241.64,749.9314537068
