https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAS,Volume USDT
1663459200,2022-09-18 00:00:00,GAS/USDT,2.6851,2.6851,2.6037,2.6232,2198.8863,5856.92133786
1663372800,2022-09-17 00:00:00,GAS/USDT,2.8329,2.9624,2.5906,2.6879,16555.4364,45095.28666063
1663286400,2022-09-16 00:00:00,GAS/USDT,3.4098,3.8299,2.7537,2.8311,119796.1925,378293.49799468
1663200000,2022-09-15 00:00:00,GAS/USDT,2.3749,5.8833,2.3467,3.4043,283517.058,978021.74612826
1663113600,2022-09-14 00:00:00,GAS/USDT,2.3361,2.4554,2.2749,2.3811,8925.7362,21108.86914206
1663027200,2022-09-13 00:00:00,GAS/USDT,2.51,2.5842,2.3252,2.3334,2605.0266,6384.42050973
1662940800,2022-09-12 00:00:00,GAS/USDT,2.4995,2.5398,2.4733,2.505,3622.1306,9076.96335627
1662854400,2022-09-11 00:00:00,GAS/USDT,2.4886,2.5257,2.4604,2.5097,846.6651,2117.47757218
1662768000,2022-09-10 00:00:00,GAS/USDT,2.5137,2.6037,2.4622,2.4906,1774.8917,4502.43960123
1662681600,2022-09-09 00:00:00,GAS/USDT,2.4275,2.5179,2.4179,2.5016,1724.4556,4251.7304854
1662595200,2022-09-08 00:00:00,GAS/USDT,2.3541,2.534,2.3538,2.4077,1911.3296,4630.0311303
1662508800,2022-09-07 00:00:00,GAS/USDT,2.2969,2.3736,2.2333,2.3736,1440.8089,3296.34642842
1662422400,2022-09-06 00:00:00,GAS/USDT,2.4207,2.4568,2.3,2.3249,1056.8284,2531.73698847
1662336000,2022-09-05 00:00:00,GAS/USDT,2.4465,2.4467,2.3928,2.4267,640.3608,1556.55543656
1662249600,2022-09-04 00:00:00,GAS/USDT,2.4371,2.4465,2.4049,2.4465,356.2099,867.23717222
1662163200,2022-09-03 00:00:00,GAS/USDT,2.4479,2.4691,2.3807,2.4339,258.2037,626.4919944
1662076800,2022-09-02 00:00:00,GAS/USDT,2.46,2.5029,2.43,2.4306,233.088,574.9728704
1661990400,2022-09-01 00:00:00,GAS/USDT,2.5113,2.5246,2.4092,2.4798,464.2365,1133.05770259
1661904000,2022-08-31 00:00:00,GAS/USDT,2.5561,2.5805,2.5083,2.5437,2012.1376,5101.54667962
1661817600,2022-08-30 00:00:00,GAS/USDT,2.4933,2.9289,2.462,2.5618,10417.7417,27589.86571903
1661731200,2022-08-29 00:00:00,GAS/USDT,2.4282,2.4885,2.37,2.4879,596.9694,1453.53443884
1661644800,2022-08-28 00:00:00,GAS/USDT,2.4644,2.5119,2.4271,2.4369,397.4082,983.55209324
1661558400,2022-08-27 00:00:00,GAS/USDT,2.4732,2.6745,2.4131,2.4289,2537.6553,6401.87620039
1661472000,2022-08-26 00:00:00,GAS/USDT,2.6483,2.6664,2.4732,2.4734,1560.0778,3963.91183869
1661385600,2022-08-25 00:00:00,GAS/USDT,2.5656,2.8466,2.5656,2.6477,2757.5936,7220.60166363
1661299200,2022-08-24 00:00:00,GAS/USDT,2.5475,2.6054,2.523,2.5754,955.5255,2465.0507747
1661212800,2022-08-23 00:00:00,GAS/USDT,2.5671,2.6125,2.4924,2.5974,775.4698,1979.34999358
1661126400,2022-08-22 00:00:00,GAS/USDT,2.6274,2.642,2.4775,2.5468,679.4145,1722.16008034
1661040000,2022-08-21 00:00:00,GAS/USDT,2.6032,2.6378,2.5568,2.6274,1031.1842,2690.65167346
1660953600,2022-08-20 00:00:00,GAS/USDT,2.5791,2.643,2.5307,2.5704,2890.8653,7498.91426468
1660867200,2022-08-19 00:00:00,GAS/USDT,2.8455,2.8455,2.5475,2.5791,599.5574,1581.68825988
1660780800,2022-08-18 00:00:00,GAS/USDT,2.9256,2.96,2.8633,2.8735,1277.5935,3712.65333285
1660694400,2022-08-17 00:00:00,GAS/USDT,3.0183,3.0938,2.9028,2.9253,1369.1639,4071.96550787
