https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAND,Volume USDT
1663459200,2022-09-18 00:00:00,BAND/USDT,1.2968,1.302,1.2924,1.2928,95.25736603,123.548252228417
1663372800,2022-09-17 00:00:00,BAND/USDT,1.236,1.3086,1.236,1.2969,22837.26969585,29177.841998789621
1663286400,2022-09-16 00:00:00,BAND/USDT,1.2005,1.2436,1.1879,1.2342,38645.51813038,47202.052295670351
1663200000,2022-09-15 00:00:00,BAND/USDT,1.2565,1.2652,1.195,1.2085,23566.41050087,28937.460207992046
1663113600,2022-09-14 00:00:00,BAND/USDT,1.2415,1.2644,1.2176,1.2595,17303.87697342,21502.546244189232
1663027200,2022-09-13 00:00:00,BAND/USDT,1.3482,1.3741,1.17,1.2457,43869.77389144,57226.139083159182
1662940800,2022-09-12 00:00:00,BAND/USDT,1.3691,1.4187,1.3177,1.3511,32997.12096803,45420.80469992359
1662854400,2022-09-11 00:00:00,BAND/USDT,1.3779,1.4063,1.3361,1.3692,17748.20538932,24440.556772291323
1662768000,2022-09-10 00:00:00,BAND/USDT,1.3827,1.4279,1.3512,1.3725,25630.10029027,35588.927806143319
1662681600,2022-09-09 00:00:00,BAND/USDT,1.2759,1.3899,1.2759,1.3756,26694.81671523,36181.294114794104
1662595200,2022-09-08 00:00:00,BAND/USDT,1.2785,1.3171,1.2365,1.276,24283.5714319,31160.236302779644
1662508800,2022-09-07 00:00:00,BAND/USDT,1.1843,1.2856,1.1689,1.2763,35813.64008822,43641.126353710001
1662422400,2022-09-06 00:00:00,BAND/USDT,1.3109,1.3342,1.1831,1.1837,116828.3288335,149846.287743675362
1662336000,2022-09-05 00:00:00,BAND/USDT,1.3346,1.3516,1.2745,1.3086,11012.98188701,14311.679721454299
1662249600,2022-09-04 00:00:00,BAND/USDT,1.325,1.3459,1.3034,1.3362,7792.47588149,10306.879380105077
1662163200,2022-09-03 00:00:00,BAND/USDT,1.31,1.3672,1.2925,1.3238,20143.75310964,26646.429633052155
1662076800,2022-09-02 00:00:00,BAND/USDT,1.292,1.3491,1.2729,1.3097,17703.30459265,23117.902186827867
1661990400,2022-09-01 00:00:00,BAND/USDT,1.2751,1.2961,1.2294,1.2895,20868.60019113,26333.164539008832
1661904000,2022-08-31 00:00:00,BAND/USDT,1.2427,1.3417,1.2427,1.275,44117.46978415,56835.974910918025
1661817600,2022-08-30 00:00:00,BAND/USDT,1.2658,1.2859,1.2032,1.2341,14168.43511629,17698.201128442295
1661731200,2022-08-29 00:00:00,BAND/USDT,1.193,1.2701,1.1666,1.2633,51229.13266461,61971.803179178745
1661644800,2022-08-28 00:00:00,BAND/USDT,1.2206,1.2457,1.1668,1.1843,41265.45016608,50465.081840232328
1661558400,2022-08-27 00:00:00,BAND/USDT,1.2213,1.2551,1.2016,1.2177,29113.61622323,35737.565801776943
1661472000,2022-08-26 00:00:00,BAND/USDT,1.3862,1.3892,1.2125,1.2229,75939.8371721,98979.375967821384
1661385600,2022-08-25 00:00:00,BAND/USDT,1.3691,1.4214,1.3691,1.3875,31429.9220044,43741.782986296162
1661299200,2022-08-24 00:00:00,BAND/USDT,1.3803,1.4012,1.3333,1.368,29631.02938027,40612.23575081377
1661212800,2022-08-23 00:00:00,BAND/USDT,1.353,1.4303,1.3415,1.3734,58225.72787852,80182.479238900106
1661126400,2022-08-22 00:00:00,BAND/USDT,1.3485,1.3536,1.2701,1.3521,43796.36738427,57472.266937672239
1661040000,2022-08-21 00:00:00,BAND/USDT,1.2967,1.3699,1.2901,1.3507,27782.69484908,37109.775629797092
1660953600,2022-08-20 00:00:00,BAND/USDT,1.3294,1.353,1.2536,1.3002,54474.25873908,71043.169449455115
1660867200,2022-08-19 00:00:00,BAND/USDT,1.477,1.477,1.2997,1.3271,90577.92717979,122989.875808457873
1660780800,2022-08-18 00:00:00,BAND/USDT,1.5653,1.61,1.4291,1.48,49158.92523793,76138.714266403294
1660694400,2022-08-17 00:00:00,BAND/USDT,1.6736,1.727,1.5482,1.5527,104995.49043661,171604.358245553525
1660608000,2022-08-16 00:00:00,BAND/USDT,1.7,1.7281,1.6581,1.6748,32161.07923439,54535.021831574411
1660521600,2022-08-15 00:00:00,BAND/USDT,1.7243,1.7729,1.6708,1.7025,42241.50595021,72671.290942266709
1660435200,2022-08-14 00:00:00,BAND/USDT,1.8214,1.853,1.676,1.7251,63838.53608618,113616.027116428292
1660348800,2022-08-13 00:00:00,BAND/USDT,1.8063,1.8615,1.7952,1.8201,62476.46108955,114215.430870596424
1660262400,2022-08-12 00:00:00,BAND/USDT,1.7693,1.8222,1.7318,1.8061,66729.74954335,119703.525867461261
