https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REVU,Volume USDT
1663459200,2022-09-18 00:00:00,REVU/USDT,0.03257,0.0329,0.03257,0.0329,53.0395,1.72849955
1663372800,2022-09-17 00:00:00,REVU/USDT,0.03007,0.0332,0.02979,0.0329,315660.3568,9903.10478352
1663286400,2022-09-16 00:00:00,REVU/USDT,0.0316,0.0316,0.0295,0.03007,153253.4136,4641.085269805
1663200000,2022-09-15 00:00:00,REVU/USDT,0.03046,0.033,0.03023,0.03127,500539.6615,15830.517575772
1663113600,2022-09-14 00:00:00,REVU/USDT,0.0292,0.037,0.0292,0.03059,2002984.634,64413.823357157
1663027200,2022-09-13 00:00:00,REVU/USDT,0.03039,0.0424,0.027,0.0292,4595655.3039,156729.418420053
1662940800,2022-09-12 00:00:00,REVU/USDT,0.02571,0.04,0.02552,0.03039,2141339.3335,64509.092501579
1662854400,2022-09-11 00:00:00,REVU/USDT,0.0254,0.0264,0.02482,0.026,209238.3377,5370.2068046
1662768000,2022-09-10 00:00:00,REVU/USDT,0.02444,0.0254,0.02436,0.0254,1698447.2736,41806.083691696
1662681600,2022-09-09 00:00:00,REVU/USDT,0.02397,0.02469,0.02392,0.02444,4481984.4133,109018.389861932
1662595200,2022-09-08 00:00:00,REVU/USDT,0.02447,0.02456,0.02358,0.02395,4492298.7682,108509.217310585
1662508800,2022-09-07 00:00:00,REVU/USDT,0.02485,0.02515,0.02432,0.02453,4262234.4863,105574.003561501
1662422400,2022-09-06 00:00:00,REVU/USDT,0.02478,0.02569,0.02453,0.02488,4503632.4941,111835.660349206
1662336000,2022-09-05 00:00:00,REVU/USDT,0.02432,0.0251,0.02432,0.02478,3992949.2472,98237.321415178
1662249600,2022-09-04 00:00:00,REVU/USDT,0.02363,0.02466,0.02343,0.02446,4350053.236,103701.965647778
1662163200,2022-09-03 00:00:00,REVU/USDT,0.02313,0.024,0.02302,0.02384,4544450.8396,105290.002988211
1662076800,2022-09-02 00:00:00,REVU/USDT,0.02619,0.02619,0.0224,0.02304,3578893.1644,83337.638177159
1661990400,2022-09-01 00:00:00,REVU/USDT,0.02187,0.0281,0.02167,0.02601,7523262.5214,171640.204527319
1661904000,2022-08-31 00:00:00,REVU/USDT,0.022,0.02222,0.02161,0.02192,6558753.261,142920.555110217
1661817600,2022-08-30 00:00:00,REVU/USDT,0.02199,0.02278,0.02164,0.022,6326306.1992,140062.078865569
1661731200,2022-08-29 00:00:00,REVU/USDT,0.02283,0.0232,0.02145,0.02202,6570454.5999,146895.446134398
1661644800,2022-08-28 00:00:00,REVU/USDT,0.02456,0.02478,0.0224,0.02283,6520651.1999,151183.372671105
1661558400,2022-08-27 00:00:00,REVU/USDT,0.02839,0.03099,0.02353,0.02458,9195474.2831,237771.905891312
1661472000,2022-08-26 00:00:00,REVU/USDT,0.02514,0.0325,0.02492,0.02864,13936569.6064,385004.034355274
1661385600,2022-08-25 00:00:00,REVU/USDT,0.02558,0.02562,0.02476,0.02503,6359554.2516,160430.422006347
1661299200,2022-08-24 00:00:00,REVU/USDT,0.02523,0.02614,0.02462,0.02561,7220665.5231,183584.133300686
1661212800,2022-08-23 00:00:00,REVU/USDT,0.0258,0.02653,0.02503,0.02522,7026956.3138,181076.777771151
1661126400,2022-08-22 00:00:00,REVU/USDT,0.0277,0.02799,0.02532,0.02583,8526446.5437,226660.683912097
1661040000,2022-08-21 00:00:00,REVU/USDT,0.0285,0.0499,0.02611,0.0279,17404647.5155,538986.777712924
1660953600,2022-08-20 00:00:00,REVU/USDT,0.02733,0.05319,0.02702,0.0285,9596915.5301,283196.15698629
1660867200,2022-08-19 00:00:00,REVU/USDT,0.03128,0.0313,0.027,0.02727,6842895.0971,200194.011517732
1660780800,2022-08-18 00:00:00,REVU/USDT,0.03321,0.0333,0.031,0.03118,7023159.4435,225781.48077621
1660694400,2022-08-17 00:00:00,REVU/USDT,0.03317,0.0339,0.03163,0.03323,7100024.0964,233266.028491625
1660608000,2022-08-16 00:00:00,REVU/USDT,0.03304,0.0339,0.033,0.03306,5871954.7935,195993.503099285
1660521600,2022-08-15 00:00:00,REVU/USDT,0.03476,0.035,0.033,0.03308,6986490.2877,238415.450296771
1660435200,2022-08-14 00:00:00,REVU/USDT,0.03404,0.03689,0.03345,0.03481,6859524.8138,236508.005174456
1660348800,2022-08-13 00:00:00,REVU/USDT,0.03357,0.03458,0.03345,0.03404,6440623.6127,218497.253996513
1660262400,2022-08-12 00:00:00,REVU/USDT,0.03364,0.03379,0.03313,0.03349,6505870.11,218701.313334477
1660176000,2022-08-11 00:00:00,REVU/USDT,0.03365,0.0341,0.03303,0.03362,6508355.5057,219236.270836889
1660089600,2022-08-10 00:00:00,REVU/USDT,0.03497,0.03549,0.03312,0.03369,6659232.4538,229948.412998998
1660003200,2022-08-09 00:00:00,REVU/USDT,0.03522,0.03835,0.03475,0.03497,7129520.6895,254645.676217681
1659916800,2022-08-08 00:00:00,REVU/USDT,0.0356,0.0363,0.03489,0.03538,6672306.0141,237173.785641039
1659830400,2022-08-07 00:00:00,REVU/USDT,0.03457,0.0387,0.03451,0.03558,6946161.5373,250672.953824844
1659744000,2022-08-06 00:00:00,REVU/USDT,0.03551,0.03558,0.0345,0.03455,6626182.6807,232231.638569735
1659657600,2022-08-05 00:00:00,REVU/USDT,0.03547,0.03565,0.0345,0.03551,6567586.971,231662.515690743
