https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1659225600,2022-07-31 00:00:00,DOGE/BTC,2.95e-06,2.95e-06,2.94e-06,2.94e-06,0.09158374,31149.00885788
1659139200,2022-07-30 00:00:00,DOGE/BTC,2.9e-06,3.1e-06,2.88e-06,2.94e-06,1.31339485,441070.06373815
1659052800,2022-07-29 00:00:00,DOGE/BTC,2.9e-06,3e-06,2.86e-06,2.89e-06,1.6680266,573097.10903843
1658966400,2022-07-28 00:00:00,DOGE/BTC,2.93e-06,2.94e-06,2.86e-06,2.9e-06,0.71274028,246096.30875787
1658880000,2022-07-27 00:00:00,DOGE/BTC,2.95e-06,2.97e-06,2.86e-06,2.91e-06,1.44999253,494046.68911188
1658793600,2022-07-26 00:00:00,DOGE/BTC,2.91e-06,2.95e-06,2.89e-06,2.94e-06,0.83779774,287619.48632011
1658707200,2022-07-25 00:00:00,DOGE/BTC,3e-06,3e-06,2.91e-06,2.93e-06,0.89325697,302994.65167404
1658620800,2022-07-24 00:00:00,DOGE/BTC,3.04e-06,3.05e-06,2.99e-06,3e-06,0.4807917,159661.41198656
1658534400,2022-07-23 00:00:00,DOGE/BTC,2.98e-06,3.04e-06,2.91e-06,3.03e-06,0.6687297,222281.26520178
1658448000,2022-07-22 00:00:00,DOGE/BTC,3.03e-06,3.04e-06,2.94e-06,2.98e-06,0.84470921,283650.8893061
1658361600,2022-07-21 00:00:00,DOGE/BTC,3.03e-06,3.03e-06,2.96e-06,3.02e-06,0.67194227,223647.61491168
1658275200,2022-07-20 00:00:00,DOGE/BTC,2.95e-06,3.27e-06,2.94e-06,3.01e-06,5.67007255,1820758.40161397
1658188800,2022-07-19 00:00:00,DOGE/BTC,3.01e-06,3.08e-06,2.94e-06,2.95e-06,1.68482015,563088.73159822
1658102400,2022-07-18 00:00:00,DOGE/BTC,3.04e-06,3.1e-06,2.96e-06,3.01e-06,0.83374074,274348.14446991
1658016000,2022-07-17 00:00:00,DOGE/BTC,3.04e-06,3.06e-06,2.99e-06,3.04e-06,0.41652592,137553.23773057
