https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IBVOL,Volume BTC
1652832000000.0,2022-05-18 00:00:00,IBVOL/BTC,0.0584,0.0584,0.0584,0.0584,0.0,0.0
1652745600000.0,2022-05-17 00:00:00,IBVOL/BTC,0.05675,0.0584,0.05625,0.0584,0.024433904109589042,0.00142694
1652659200000.0,2022-05-16 00:00:00,IBVOL/BTC,0.058,0.05975,0.05675,0.05675,0.025205638766519822,0.00143042
1652572800000.0,2022-05-15 00:00:00,IBVOL/BTC,0.0574,0.05955,0.05645,0.058,0.08864741379310344,0.00514155
1652486400000.0,2022-05-14 00:00:00,IBVOL/BTC,0.061,0.061,0.054,0.0574,1.5533234320557492,0.089160765
1652400000000.0,2022-05-13 00:00:00,IBVOL/BTC,0.05425,0.061,0.05425,0.061,0.13230409836065574,0.00807055
1652313600000.0,2022-05-12 00:00:00,IBVOL/BTC,0.05745,0.05795,0.05155,0.05425,0.10848138248847926,0.005885115
1652227200000.0,2022-05-11 00:00:00,IBVOL/BTC,0.0708,0.0714,0.0557,0.05745,0.21505596170583116,0.012354965
1652140800000.0,2022-05-10 00:00:00,IBVOL/BTC,0.0698,0.0737,0.0675,0.0708,0.07222669491525424,0.00511365
1652054400000.0,2022-05-09 00:00:00,IBVOL/BTC,0.0788,0.07985,0.06785,0.0698,0.2867542979942693,0.02001545
1651968000000.0,2022-05-08 00:00:00,IBVOL/BTC,0.07845,0.0797,0.0772,0.0788,0.27399530456852794,0.02159083
1651881600000.0,2022-05-07 00:00:00,IBVOL/BTC,0.08,0.08,0.07845,0.07845,0.014980433397068196,0.001175215
1651795200000.0,2022-05-06 00:00:00,IBVOL/BTC,0.07585,0.08,0.07585,0.08,0.20382725,0.01630618
1651708800000.0,2022-05-05 00:00:00,IBVOL/BTC,0.07165,0.07795,0.07165,0.07585,0.19143520105471323,0.01452036
1651622400000.0,2022-05-04 00:00:00,IBVOL/BTC,0.0754,0.0754,0.07165,0.07165,1.9908595254710397,0.142645085
1651536000000.0,2022-05-03 00:00:00,IBVOL/BTC,0.07415,0.0754,0.0717,0.0754,7.950198541114059,0.59944497
1651449600000.0,2022-05-02 00:00:00,IBVOL/BTC,0.0755,0.0757,0.0736,0.07415,0.0387137559002023,0.002870625
1651363200000.0,2022-05-01 00:00:00,IBVOL/BTC,0.07625,0.07675,0.07345,0.0755,0.04454192052980133,0.003362915
1651276800000.0,2022-04-30 00:00:00,IBVOL/BTC,0.074,0.07635,0.074,0.07625,0.8046358688524591,0.061353485
1651190400000.0,2022-04-29 00:00:00,IBVOL/BTC,0.07035,0.0742,0.07035,0.074,0.05403195945945947,0.003998365
1651104000000.0,2022-04-28 00:00:00,IBVOL/BTC,0.0701,0.0722,0.07005,0.07035,0.056025373134328364,0.003941385
1651017600000.0,2022-04-27 00:00:00,IBVOL/BTC,0.0721,0.0721,0.0699,0.0701,0.8468385164051356,0.05936338
1650931200000.0,2022-04-26 00:00:00,IBVOL/BTC,0.07115,0.0741,0.06975,0.0721,0.04525651872399445,0.003262995
1650844800000.0,2022-04-25 00:00:00,IBVOL/BTC,0.073,0.07425,0.07105,0.07115,0.032438791286015456,0.00230802
1650758400000.0,2022-04-24 00:00:00,IBVOL/BTC,0.0763,0.0763,0.0726,0.073,0.036356095890410965,0.002653995
1650672000000.0,2022-04-23 00:00:00,IBVOL/BTC,0.07705,0.0782,0.0756,0.0763,4.84214868938401,0.369455945
1650585600000.0,2022-04-22 00:00:00,IBVOL/BTC,0.0715,0.0771,0.0711,0.07705,0.0904689162881246,0.00697063
1650499200000.0,2022-04-21 00:00:00,IBVOL/BTC,0.0707,0.0715,0.06935,0.0715,0.01728853146853147,0.00123613
1650412800000.0,2022-04-20 00:00:00,IBVOL/BTC,0.0708,0.0709,0.0693,0.0707,0.02771973125884017,0.001959785
1650326400000.0,2022-04-19 00:00:00,IBVOL/BTC,0.0692,0.0713,0.0692,0.0708,0.018962641242937853,0.001342555
1650240000000.0,2022-04-18 00:00:00,IBVOL/BTC,0.0729,0.0729,0.0692,0.0692,0.08679494219653179,0.00600621
1650153600000.0,2022-04-17 00:00:00,IBVOL/BTC,0.0782,0.0782,0.0729,0.0729,0.09733662551440328,0.00709584
1650067200000.0,2022-04-16 00:00:00,IBVOL/BTC,0.06925,0.08,0.06925,0.0782,0.21199833759590792,0.01657827
1649980800000.0,2022-04-15 00:00:00,IBVOL/BTC,0.0689,0.06975,0.06845,0.06925,0.2709719133574007,0.018764805
1649894400000.0,2022-04-14 00:00:00,IBVOL/BTC,0.06485,0.0689,0.06455,0.0689,0.06170965166908563,0.004251795
1649808000000.0,2022-04-13 00:00:00,IBVOL/BTC,0.0656,0.06755,0.06435,0.06485,0.12229830377794909,0.007931045
1649721600000.0,2022-04-12 00:00:00,IBVOL/BTC,0.0671,0.0671,0.06435,0.0656,0.054791082317073164,0.003594295
1649635200000.0,2022-04-11 00:00:00,IBVOL/BTC,0.06625,0.06755,0.066,0.0671,0.025225707898658717,0.001692645
1649548800000.0,2022-04-10 00:00:00,IBVOL/BTC,0.06445,0.0682,0.06445,0.06625,0.0474931320754717,0.00314642
1649462400000.0,2022-04-09 00:00:00,IBVOL/BTC,0.06365,0.0659,0.06365,0.06445,0.02322451512800621,0.00149682
