https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KCS,Volume USDT
1663462800,2022-09-18 01:00:00,KCS/USDT,9.198,9.205,9.196,9.202,38.46608451,353.90302108176
1663459200,2022-09-18 00:00:00,KCS/USDT,9.254,9.259,9.184,9.198,2390.1404546,22001.06202583689
1663455600,2022-09-17 23:00:00,KCS/USDT,9.239,9.262,9.175,9.254,2333.11321624,21510.70416878658
1663452000,2022-09-17 22:00:00,KCS/USDT,9.197,9.249,9.193,9.239,2546.23447783,23477.72785927522
1663448400,2022-09-17 21:00:00,KCS/USDT,9.205,9.206,9.187,9.198,1450.43354023,13343.62213466518
1663444800,2022-09-17 20:00:00,KCS/USDT,9.214,9.214,9.194,9.205,2120.25862903,19513.06083238076
1663441200,2022-09-17 19:00:00,KCS/USDT,9.234,9.234,9.207,9.215,1690.11495722,15577.11708939519
1663437600,2022-09-17 18:00:00,KCS/USDT,9.238,9.259,9.225,9.232,1662.5267019,15359.99358423129
1663434000,2022-09-17 17:00:00,KCS/USDT,9.25,9.27,9.201,9.239,3104.86271052,28681.09188462298
1663430400,2022-09-17 16:00:00,KCS/USDT,9.186,9.253,9.183,9.25,3646.82050208,33663.18214443827
1663426800,2022-09-17 15:00:00,KCS/USDT,9.181,9.199,9.162,9.186,3590.25006445,32953.6342728864
1663423200,2022-09-17 14:00:00,KCS/USDT,9.148,9.194,9.147,9.18,3596.76214048,32997.75594416602
1663419600,2022-09-17 13:00:00,KCS/USDT,9.159,9.177,9.13,9.148,2934.38941532,26874.94055446088
1663416000,2022-09-17 12:00:00,KCS/USDT,9.139,9.164,9.104,9.156,2462.54591814,22493.86650406206
1663412400,2022-09-17 11:00:00,KCS/USDT,9.174,9.18,9.138,9.14,2204.00564272,20195.43195874928
1663408800,2022-09-17 10:00:00,KCS/USDT,9.194,9.201,9.142,9.174,2158.00239145,19792.80072525686
1663405200,2022-09-17 09:00:00,KCS/USDT,9.17,9.197,9.16,9.193,1933.50128054,17749.57713825588
1663401600,2022-09-17 08:00:00,KCS/USDT,9.17,9.185,9.152,9.169,1954.21177821,17918.79666102693
1663398000,2022-09-17 07:00:00,KCS/USDT,9.164,9.172,9.145,9.17,1754.246127,16060.47083193984
1663394400,2022-09-17 06:00:00,KCS/USDT,9.148,9.172,9.13,9.163,1797.50972687,16438.06178786369
1663390800,2022-09-17 05:00:00,KCS/USDT,9.2,9.2,9.12,9.148,2529.58132828,23180.90025216185
1663387200,2022-09-17 04:00:00,KCS/USDT,9.158,9.211,9.158,9.2,3202.6718831,29444.12011039242
1663383600,2022-09-17 03:00:00,KCS/USDT,9.138,9.171,9.119,9.158,2143.63726207,19611.85963946405
1663380000,2022-09-17 02:00:00,KCS/USDT,9.193,9.197,9.138,9.14,2286.57995008,20941.39322425039
1663376400,2022-09-17 01:00:00,KCS/USDT,9.179,9.205,9.175,9.196,1674.82929317,15397.11415035153
1663372800,2022-09-17 00:00:00,KCS/USDT,9.137,9.215,9.116,9.179,5050.62887986,46341.16192150844
1663369200,2022-09-16 23:00:00,KCS/USDT,9.152,9.164,9.06,9.137,4717.69320009,43000.60390068894
1663365600,2022-09-16 22:00:00,KCS/USDT,9.144,9.167,9.135,9.153,1918.05016748,17558.9002359001
1663362000,2022-09-16 21:00:00,KCS/USDT,9.155,9.173,9.103,9.144,2623.29102705,24003.86035102554
1663358400,2022-09-16 20:00:00,KCS/USDT,9.124,9.16,9.123,9.155,3093.96209606,28292.35573736195
1663354800,2022-09-16 19:00:00,KCS/USDT,9.1,9.132,9.093,9.125,2153.02496991,19624.82414684476
1663351200,2022-09-16 18:00:00,KCS/USDT,9.06,9.104,9.031,9.099,2018.25326181,18306.91912016686
1663347600,2022-09-16 17:00:00,KCS/USDT,9.083,9.09,9.012,9.06,6915.83811396,62582.06204923431
1663344000,2022-09-16 16:00:00,KCS/USDT,9.133,9.133,9.04,9.081,6461.16144417,58628.01548174224
1663340400,2022-09-16 15:00:00,KCS/USDT,9.138,9.168,9.108,9.134,2681.22116773,24503.20741006451
1663336800,2022-09-16 14:00:00,KCS/USDT,9.089,9.177,9.063,9.14,5187.98878223,47383.16965694443
1663333200,2022-09-16 13:00:00,KCS/USDT,9.142,9.168,9.058,9.08,6294.23167634,57279.21938311603
1663329600,2022-09-16 12:00:00,KCS/USDT,9.206,9.207,9.13,9.14,2750.71453339,25250.04750778032
1663326000,2022-09-16 11:00:00,KCS/USDT,9.164,9.207,9.14,9.206,3381.77325628,31036.58464685246
1663322400,2022-09-16 10:00:00,KCS/USDT,9.14,9.174,9.12,9.163,3462.89175582,31670.12773894846
1663318800,2022-09-16 09:00:00,KCS/USDT,9.09,9.151,9.087,9.14,3404.19330427,31071.50642937711
1663315200,2022-09-16 08:00:00,KCS/USDT,9.154,9.155,9.05,9.092,8293.36677078,75425.49637671853
1663311600,2022-09-16 07:00:00,KCS/USDT,9.157,9.189,9.132,9.156,2251.51825386,20645.69809664845
1663308000,2022-09-16 06:00:00,KCS/USDT,9.222,9.223,9.084,9.157,7587.17825215,69416.93434827819
1663304400,2022-09-16 05:00:00,KCS/USDT,9.22,9.233,9.217,9.223,1971.97907513,18194.65343398843
1663300800,2022-09-16 04:00:00,KCS/USDT,9.204,9.227,9.202,9.22,3166.95152962,29182.24001588546
1663297200,2022-09-16 03:00:00,KCS/USDT,9.183,9.206,9.159,9.205,3217.6281339,29573.31070305103
1663293600,2022-09-16 02:00:00,KCS/USDT,9.085,9.203,9.027,9.183,23784.40907323,217277.21346392231
1663290000,2022-09-16 01:00:00,KCS/USDT,9.171,9.171,9.069,9.086,5934.81002917,54062.35133091835
1663286400,2022-09-16 00:00:00,KCS/USDT,9.11,9.17,9.05,9.169,6112.10348892,55648.09958375525
1663282800,2022-09-15 23:00:00,KCS/USDT,9.114,9.16,9.091,9.109,3742.27195213,34111.40640037195
1663279200,2022-09-15 22:00:00,KCS/USDT,9.178,9.178,9.076,9.115,7457.54706643,67988.22163112806
1663275600,2022-09-15 21:00:00,KCS/USDT,9.186,9.199,9.141,9.177,2063.53795154,18935.10907438155
1663272000,2022-09-15 20:00:00,KCS/USDT,9.153,9.198,9.15,9.186,1808.94061732,16586.14045095284
1663268400,2022-09-15 19:00:00,KCS/USDT,9.134,9.172,9.114,9.151,2538.54584315,23195.68350157254
1663264800,2022-09-15 18:00:00,KCS/USDT,9.159,9.166,9.122,9.135,2357.30634367,21555.36692677573
1663261200,2022-09-15 17:00:00,KCS/USDT,9.18,9.201,9.141,9.161,4290.96940519,39373.87889310369
1663257600,2022-09-15 16:00:00,KCS/USDT,9.125,9.196,9.094,9.177,3972.47203618,36368.41240421739
1663254000,2022-09-15 15:00:00,KCS/USDT,9.104,9.165,9.041,9.125,14187.60011163,129133.17550854972
1663250400,2022-09-15 14:00:00,KCS/USDT,9.338,9.349,9.09,9.105,18287.17780358,167861.1976885069
1663246800,2022-09-15 13:00:00,KCS/USDT,9.329,9.348,9.279,9.337,2328.90755232,21708.38458206506
1663243200,2022-09-15 12:00:00,KCS/USDT,9.314,9.336,9.272,9.329,3354.28015785,31232.68112281379
1663239600,2022-09-15 11:00:00,KCS/USDT,9.296,9.322,9.275,9.314,3056.32954534,28439.28408929945
1663236000,2022-09-15 10:00:00,KCS/USDT,9.326,9.349,9.271,9.297,4712.96706788,43904.19825395266
1663232400,2022-09-15 09:00:00,KCS/USDT,9.357,9.36,9.275,9.326,4756.87919213,44305.67208858329
1663228800,2022-09-15 08:00:00,KCS/USDT,9.418,9.418,9.318,9.357,6296.49663715,58971.46232972265
1663225200,2022-09-15 07:00:00,KCS/USDT,9.332,9.447,9.314,9.414,6903.18943994,64975.12646743976
1663221600,2022-09-15 06:00:00,KCS/USDT,9.314,9.397,9.2,9.332,14394.14444785,133714.96274406115
1663218000,2022-09-15 05:00:00,KCS/USDT,9.262,9.316,9.244,9.312,5563.71330688,51602.64925425161
1663214400,2022-09-15 04:00:00,KCS/USDT,9.274,9.288,9.244,9.262,2684.22403733,24870.48854365143
