https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT
1663459200,2022-09-18 00:00:00,LINK/USDT,8.0933,8.1425,7.9707,8.0043,58205.1060042,470927.491734614555
1663372800,2022-09-17 00:00:00,LINK/USDT,7.6568,8.148,7.6507,8.0913,654330.92672061,5200872.505664648038
1663286400,2022-09-16 00:00:00,LINK/USDT,7.5639,7.8031,7.4165,7.6557,676272.49623316,5153732.57030641798
1663200000,2022-09-15 00:00:00,LINK/USDT,7.455,7.6092,7.0174,7.565,786824.71106643,5750109.51901697595
1663113600,2022-09-14 00:00:00,LINK/USDT,7.0246,7.5429,6.9827,7.4575,615551.67602744,4513373.36599678584
1663027200,2022-09-13 00:00:00,LINK/USDT,7.7616,7.9578,7.0216,7.0296,981062.5615932,7309158.801025638441
1662940800,2022-09-12 00:00:00,LINK/USDT,8.0299,8.3035,7.6098,7.756,856304.69971785,6814067.472889376312
1662854400,2022-09-11 00:00:00,LINK/USDT,7.9046,8.1775,7.7335,8.0304,422748.48551131,3356473.871379331728
1662768000,2022-09-10 00:00:00,LINK/USDT,7.7435,8.0299,7.6177,7.9037,471621.88901866,3696368.661326510928
1662681600,2022-09-09 00:00:00,LINK/USDT,7.4051,8.1059,7.3919,7.7399,1129109.87641654,8833303.546794522033
1662595200,2022-09-08 00:00:00,LINK/USDT,7.0863,7.5061,7.0089,7.3993,843958.49317055,6164751.419016909064
1662508800,2022-09-07 00:00:00,LINK/USDT,6.6553,7.1492,6.5753,7.0852,543721.00473964,3685092.894988807252
1662422400,2022-09-06 00:00:00,LINK/USDT,7.3791,7.561,6.5747,6.6572,985253.4118382,6930621.86881500458
1662336000,2022-09-05 00:00:00,LINK/USDT,7.1548,7.4315,7.0934,7.3738,513203.38592451,3716020.577725550633
1662249600,2022-09-04 00:00:00,LINK/USDT,6.861,7.28,6.7903,7.152,402422.44459736,2853683.962883322555
1662163200,2022-09-03 00:00:00,LINK/USDT,6.9261,6.9686,6.7227,6.8613,207110.72478479,1423168.692976721684
1662076800,2022-09-02 00:00:00,LINK/USDT,6.9266,7.2488,6.7872,6.9261,508102.58288737,3550745.310146663055
1661990400,2022-09-01 00:00:00,LINK/USDT,6.6292,6.961,6.4466,6.9263,327742.11024933,2175866.760568015662
1661904000,2022-08-31 00:00:00,LINK/USDT,6.5582,6.8965,6.5469,6.6275,491342.44184146,3301651.727330021642
1661817600,2022-08-30 00:00:00,LINK/USDT,6.6993,6.8305,6.366,6.5571,374609.82712537,2475477.845338986839
1661731200,2022-08-29 00:00:00,LINK/USDT,6.2555,6.734,6.1841,6.7032,426621.30495528,2780315.949921047102
1661644800,2022-08-28 00:00:00,LINK/USDT,6.5272,6.6326,6.226,6.2548,277299.29698231,1791405.290723029523
1661558400,2022-08-27 00:00:00,LINK/USDT,6.5,6.6193,6.415,6.5233,347837.86652036,2269122.661090850209
1661472000,2022-08-26 00:00:00,LINK/USDT,7.1205,7.1941,6.4001,6.5053,660862.78232136,4507226.528614666772
1661385600,2022-08-25 00:00:00,LINK/USDT,7.1245,7.3745,7.0025,7.1251,270445.61960314,1943575.991375608505
1661299200,2022-08-24 00:00:00,LINK/USDT,7.2425,7.3762,7.0134,7.1228,310408.11194395,2226516.090683926599
1661212800,2022-08-23 00:00:00,LINK/USDT,7.0439,7.3542,6.7711,7.2395,466847.94236013,3315202.497551877089
1661126400,2022-08-22 00:00:00,LINK/USDT,7.0839,7.0864,6.6758,7.0471,444577.97796794,3057211.850166488833
1661040000,2022-08-21 00:00:00,LINK/USDT,6.9018,7.1732,6.8784,7.0827,442174.07890072,3108730.32639890224
1660953600,2022-08-20 00:00:00,LINK/USDT,6.8987,7.207,6.6693,6.9019,714206.40148793,4967488.433199095262
1660867200,2022-08-19 00:00:00,LINK/USDT,7.648,7.6993,6.75,6.8954,1123708.05924284,8078192.999109854389
1660780800,2022-08-18 00:00:00,LINK/USDT,8.0613,8.2398,7.6158,7.6483,573476.47813685,4596922.227583871898
1660694400,2022-08-17 00:00:00,LINK/USDT,8.4495,8.7427,7.9855,8.0537,682700.07531709,5680991.630765584457
1660608000,2022-08-16 00:00:00,LINK/USDT,8.6473,8.8254,8.3754,8.4501,624033.18288958,5355778.736002294937
1660521600,2022-08-15 00:00:00,LINK/USDT,8.7697,9.0568,8.495,8.6506,848316.81732429,7391606.858582198839
1660435200,2022-08-14 00:00:00,LINK/USDT,9.1494,9.3671,8.6641,8.7645,807855.01863989,7263572.742729109209
1660348800,2022-08-13 00:00:00,LINK/USDT,9.323,9.4836,9.0562,9.1471,684044.2002442,6318550.279659747247
1660262400,2022-08-12 00:00:00,LINK/USDT,8.9567,9.5098,8.8019,9.3215,997266.16460355,9151898.281255538813
1660176000,2022-08-11 00:00:00,LINK/USDT,9.0584,9.2276,8.8246,8.9574,977673.26352243,8849714.424728142084
1660089600,2022-08-10 00:00:00,LINK/USDT,8.7431,9.2995,8.2955,9.0582,1402734.7712316,12465001.08400424944
1660003200,2022-08-09 00:00:00,LINK/USDT,8.6045,8.9508,8.27,8.743,1658132.22220331,14323248.920885030822
1659916800,2022-08-08 00:00:00,LINK/USDT,8.3471,8.79,8.2259,8.6044,1568040.07658768,13429609.685298917472
1659830400,2022-08-07 00:00:00,LINK/USDT,7.7925,8.3829,7.6551,8.3442,643574.93731304,5167383.104505110855
1659744000,2022-08-06 00:00:00,LINK/USDT,7.8838,8.1132,7.7328,7.7929,444099.38840628,3500409.2009838999
1659657600,2022-08-05 00:00:00,LINK/USDT,7.3645,7.8957,7.3478,7.88,929340.14634645,7146812.662427941172
1659571200,2022-08-04 00:00:00,LINK/USDT,7.2861,7.5383,7.175,7.3571,653360.46582817,4808852.403382876252
1659484800,2022-08-03 00:00:00,LINK/USDT,7.1792,7.6359,7.055,7.2863,692024.77053657,5109626.904082545468
1659398400,2022-08-02 00:00:00,LINK/USDT,7.5689,7.6637,7.0207,7.1753,1077679.65558433,7821920.424555872133
1659312000,2022-08-01 00:00:00,LINK/USDT,7.6531,7.881,7.408,7.5716,824955.07318939,6286525.508236839435
1659225600,2022-07-31 00:00:00,LINK/USDT,7.821,8.0891,7.5784,7.6535,986763.00276321,7759361.032813062182
1659139200,2022-07-30 00:00:00,LINK/USDT,7.8858,8.2085,7.6681,7.8206,965059.77440997,7617043.533077804404
1659052800,2022-07-29 00:00:00,LINK/USDT,7.2216,8.1158,7.1119,7.8735,2086191.72129307,16105616.308060115696
1658966400,2022-07-28 00:00:00,LINK/USDT,6.8574,7.2956,6.6764,7.2202,1375304.68428725,9597141.014253339993
