https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CWS,Volume USDT
1663459200,2022-09-18 00:00:00,CWS/USDT,0.538,0.54,0.525,0.531,3231.0268,1723.2938317
1663372800,2022-09-17 00:00:00,CWS/USDT,0.499,0.556,0.499,0.534,113127.2941,59747.6915429
1663286400,2022-09-16 00:00:00,CWS/USDT,0.494,0.515,0.475,0.503,103565.5413,50926.243996
1663200000,2022-09-15 00:00:00,CWS/USDT,0.509,0.531,0.487,0.493,112510.0526,56790.4192342
1663113600,2022-09-14 00:00:00,CWS/USDT,0.508,0.528,0.501,0.507,93673.9669,47740.1473174
1663027200,2022-09-13 00:00:00,CWS/USDT,0.535,0.554,0.493,0.508,119271.0216,62186.8360466
1662940800,2022-09-12 00:00:00,CWS/USDT,0.528,0.587,0.526,0.534,113502.1083,62095.7426543
1662854400,2022-09-11 00:00:00,CWS/USDT,0.544,0.555,0.511,0.528,108381.0325,57986.2045219
1662768000,2022-09-10 00:00:00,CWS/USDT,0.56,0.587,0.527,0.545,131278.5288,71510.6781342
1662681600,2022-09-09 00:00:00,CWS/USDT,0.511,0.578,0.497,0.559,157680.2275,84948.2531984
1662595200,2022-09-08 00:00:00,CWS/USDT,0.507,0.538,0.496,0.51,140174.8725,72389.690966
1662508800,2022-09-07 00:00:00,CWS/USDT,0.493,0.526,0.46,0.505,176538.2326,85291.6145447
1662422400,2022-09-06 00:00:00,CWS/USDT,0.516,0.531,0.49,0.49,134473.9793,68254.4538547
1662336000,2022-09-05 00:00:00,CWS/USDT,0.504,0.52,0.5,0.514,107857.2625,54884.9723966
1662249600,2022-09-04 00:00:00,CWS/USDT,0.503,0.526,0.492,0.506,113387.6041,57548.7148294
1662163200,2022-09-03 00:00:00,CWS/USDT,0.504,0.518,0.49,0.504,142160.9016,70896.3870442
1662076800,2022-09-02 00:00:00,CWS/USDT,0.505,0.531,0.497,0.502,108248.9857,55474.9959697
1661990400,2022-09-01 00:00:00,CWS/USDT,0.516,0.519,0.483,0.503,142305.4179,71693.420903
1661904000,2022-08-31 00:00:00,CWS/USDT,0.541,0.565,0.498,0.515,159484.2624,83670.5141317
1661817600,2022-08-30 00:00:00,CWS/USDT,0.549,0.57,0.524,0.54,144844.7359,79415.9652316
1661731200,2022-08-29 00:00:00,CWS/USDT,0.542,0.56,0.529,0.547,146890.5827,79927.4679003
1661644800,2022-08-28 00:00:00,CWS/USDT,0.536,0.568,0.523,0.536,157610.9337,85361.4243319
1661558400,2022-08-27 00:00:00,CWS/USDT,0.585,0.587,0.529,0.536,186397.5795,102233.1633115
1661472000,2022-08-26 00:00:00,CWS/USDT,0.617,0.645,0.581,0.587,122691.378,74795.1083141
1661385600,2022-08-25 00:00:00,CWS/USDT,0.634,0.696,0.615,0.617,114851.3375,72845.0876943
1661299200,2022-08-24 00:00:00,CWS/USDT,0.633,0.66,0.626,0.634,105931.9382,67307.1553813
1661212800,2022-08-23 00:00:00,CWS/USDT,0.622,0.655,0.603,0.629,123278.4861,76480.6279517
1661126400,2022-08-22 00:00:00,CWS/USDT,0.648,0.655,0.61,0.622,116840.5229,72990.210928
1661040000,2022-08-21 00:00:00,CWS/USDT,0.638,0.663,0.626,0.649,137376.5927,88841.0623706
1660953600,2022-08-20 00:00:00,CWS/USDT,0.607,0.653,0.6,0.639,144853.5637,90488.4192266
1660867200,2022-08-19 00:00:00,CWS/USDT,0.675,0.696,0.6,0.607,176021.0461,110181.8760748
1660780800,2022-08-18 00:00:00,CWS/USDT,0.685,0.733,0.657,0.678,153482.984,105440.8330554
1660694400,2022-08-17 00:00:00,CWS/USDT,0.738,0.751,0.681,0.684,98114.7984,69486.1192828
1660608000,2022-08-16 00:00:00,CWS/USDT,0.76,0.79,0.717,0.742,79097.5079,59612.3323196
1660521600,2022-08-15 00:00:00,CWS/USDT,0.72,0.833,0.718,0.763,161529.1782,123358.0842958
1660435200,2022-08-14 00:00:00,CWS/USDT,0.746,0.774,0.72,0.72,222276.9191,166573.8199447
1660348800,2022-08-13 00:00:00,CWS/USDT,0.786,0.839,0.749,0.749,187343.0646,149197.2719732
1660262400,2022-08-12 00:00:00,CWS/USDT,0.76,0.813,0.735,0.785,186859.5785,143264.0389523
1660176000,2022-08-11 00:00:00,CWS/USDT,0.795,0.826,0.72,0.759,310478.9582,240620.1152005
1660089600,2022-08-10 00:00:00,CWS/USDT,0.784,0.863,0.74,0.801,208716.1654,167705.2850016
1660003200,2022-08-09 00:00:00,CWS/USDT,0.831,0.854,0.767,0.784,186613.2578,150360.7931172
1659916800,2022-08-08 00:00:00,CWS/USDT,0.891,0.928,0.815,0.83,236988.7108,206335.4888806
