https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/USD,21470.0,21596.54,21446.91,21595.45,131377.566080199,6.08357622
1663459200000,2022-09-18 00:00:00,BTC/USD,22138.26,22144.03,21448.32,21463.04,2593955.2072908804,120.85684075
1663372800000,2022-09-17 00:00:00,BTC/USD,21815.94,22224.86,21815.36,22174.21,2526939.2951837885,113.95848128
1663286400000,2022-09-16 00:00:00,BTC/USD,21734.92,21950.0,21327.22,21819.87,2616198.4411290637,119.89981797
1663200000000,2022-09-15 00:00:00,BTC/USD,22218.92,22394.33,21605.86,21751.27,2667726.133685348,122.64691366
1663113600000,2022-09-14 00:00:00,BTC/USD,22118.19,22489.51,21600.0,22214.96,2313936.631414818,104.16118829
1663027200000,2022-09-13 00:00:00,BTC/USD,24260.4,24609.99,21870.35,22113.86,3629558.480556907,164.13048109
1662940800000,2022-09-12 00:00:00,BTC/USD,23668.0,24332.49,23355.4,24255.98,3120893.815726166,128.66492369
1662854400000,2022-09-11 00:00:00,BTC/USD,23565.1,23667.99,23237.68,23667.99,2631744.5636801496,111.19425704
1662768000000,2022-09-10 00:00:00,BTC/USD,23392.01,23676.96,23045.45,23569.97,2625512.253066266,111.39226113
1662681600000,2022-09-09 00:00:00,BTC/USD,21283.11,23563.44,21283.11,23409.2,3002402.458108696,128.25737138
1662595200000,2022-09-08 00:00:00,BTC/USD,21313.83,21430.7,21051.59,21291.0,2656293.75083226,124.76134286
1662508800000,2022-09-07 00:00:00,BTC/USD,20746.53,21499.0,20513.19,21303.28,2727359.9305540686,128.02535246
1662422400000,2022-09-06 00:00:00,BTC/USD,21850.74,22210.83,20622.55,20750.51,2743884.270764615,132.2321365
1662336000000,2022-09-05 00:00:00,BTC/USD,22033.11,22068.75,21718.29,21828.47,2566586.7880870495,117.57978402
1662249600000,2022-09-04 00:00:00,BTC/USD,21881.47,22033.04,21650.03,22027.76,2506398.786097453,113.78364328
1662163200000,2022-09-03 00:00:00,BTC/USD,21994.66,22097.7,21727.58,21882.73,2396660.1790627614,109.52290592
1662076800000,2022-09-02 00:00:00,BTC/USD,22193.75,22477.0,21783.25,22009.95,2625738.353172491,119.29778819
1661990400000,2022-09-01 00:00:00,BTC/USD,22262.11,22503.89,21675.0,22204.25,2670590.8015045878,120.27385755
1661904000000,2022-08-31 00:00:00,BTC/USD,21925.2,22589.21,21920.69,22273.39,2361077.017501772,106.00438539
1661817600000,2022-08-30 00:00:00,BTC/USD,22415.62,22685.0,21700.44,21908.49,2501170.9015652784,114.16445869
1661731200000,2022-08-29 00:00:00,BTC/USD,21661.04,22521.4,21659.07,22412.28,2665491.022652238,118.92993585
1661644800000,2022-08-28 00:00:00,BTC/USD,22137.94,22239.53,21639.23,21639.23,2470015.662004865,114.14526589
1661558400000,2022-08-27 00:00:00,BTC/USD,22353.93,22501.93,21900.01,22138.54,2596344.6330584455,117.27713901
1661472000000,2022-08-26 00:00:00,BTC/USD,23739.76,24025.41,22274.28,22369.89,2881512.251981157,128.81208857
1661385600000,2022-08-25 00:00:00,BTC/USD,23536.78,23992.11,23500.0,23764.55,2732953.216622259,115.00126098
1661299200000,2022-08-24 00:00:00,BTC/USD,23683.11,24015.19,23343.62,23542.34,2633690.4950509323,111.87037886
1661212800000,2022-08-23 00:00:00,BTC/USD,23569.43,23973.0,23076.4,23690.24,2754652.6213334017,116.27795334
1661126400000,2022-08-22 00:00:00,BTC/USD,23650.07,23650.07,23511.1,23522.77,132800.7727244942,5.64562646
1661040000000,2022-08-21 00:00:00,BTC/USD,23337.03,23870.05,22745.61,23657.6,4347210.201230624,183.75533449
1660953600000,2022-08-20 00:00:00,BTC/USD,22950.53,23629.16,22935.54,23343.25,2550133.8600349324,109.24502201
1660867200000,2022-08-19 00:00:00,BTC/USD,25178.65,25178.65,22903.0,22928.37,3227093.581850168,140.74675094
1660780800000,2022-08-18 00:00:00,BTC/USD,25281.01,25544.16,25113.58,25177.08,2803448.0967616793,111.34921511
1660694400000,2022-08-17 00:00:00,BTC/USD,25652.41,26223.04,25160.2,25279.39,3018945.887243823,119.42320947
1660608000000,2022-08-16 00:00:00,BTC/USD,25725.19,25877.0,25450.01,25652.47,2819573.163523965,109.91429533
1660521600000,2022-08-15 00:00:00,BTC/USD,25805.69,26659.28,25417.5,25724.0,3137136.59962824,121.95368526
1660435200000,2022-08-14 00:00:00,BTC/USD,25927.31,26500.04,25651.99,25821.29,2949952.919974411,114.24498621
1660348800000,2022-08-13 00:00:00,BTC/USD,25873.45,26315.68,25750.0,25919.9,2918160.310150035,112.58377965
1660262400000,2022-08-12 00:00:00,BTC/USD,25391.09,25901.61,25018.1,25878.49,3153123.6779018086,121.84341814
1660176000000,2022-08-11 00:00:00,BTC/USD,25594.82,26400.0,25341.9,25392.03,3196687.0740272566,125.89332456
1660089600000,2022-08-10 00:00:00,BTC/USD,24815.0,25820.98,24550.0,25593.43,2850255.0704187574,111.3666699
1660003200000,2022-08-09 00:00:00,BTC/USD,25296.55,25343.44,25274.36,25301.36,147852.4527746224,5.84365634
1659916800000,2022-08-08 00:00:00,BTC/USD,24623.76,25751.1,24623.27,25309.16,3255627.9059908027,128.63437214
1659830400000,2022-08-07 00:00:00,BTC/USD,24493.52,24838.32,24376.13,24631.79,2721028.156719087,110.4681453
1659744000000,2022-08-06 00:00:00,BTC/USD,24964.81,24999.99,24490.4,24494.05,2738018.223365757,111.78299315
1659657600000,2022-08-05 00:00:00,BTC/USD,24305.69,25127.0,24294.01,24961.11,2969631.1451595933,118.97031603
1659571200000,2022-08-04 00:00:00,BTC/USD,24403.83,24787.54,24159.24,24308.11,2813820.9809343466,115.75646897
