https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PYR,Volume USDT
1663462800,2022-09-18 01:00:00,PYR/USDT,3.4613,3.4643,3.4579,3.4633,122.53473052,423.832017648902
1663459200,2022-09-18 00:00:00,PYR/USDT,3.5214,3.5214,3.4521,3.4608,7842.66129368,27227.107084603674
1663455600,2022-09-17 23:00:00,PYR/USDT,3.5233,3.5388,3.51,3.5174,6056.43139061,21330.101004798688
1663452000,2022-09-17 22:00:00,PYR/USDT,3.5187,3.5335,3.5101,3.5241,3695.50237074,13033.798076240085
1663448400,2022-09-17 21:00:00,PYR/USDT,3.5069,3.5261,3.4978,3.5151,4015.98788734,14084.586730100327
1663444800,2022-09-17 20:00:00,PYR/USDT,3.4876,3.57,3.4741,3.5069,11816.49405697,41548.530282540112
1663441200,2022-09-17 19:00:00,PYR/USDT,3.5587,3.565,3.4718,3.4876,12708.90214778,44584.446637545699
1663437600,2022-09-17 18:00:00,PYR/USDT,3.5876,3.5915,3.5506,3.5636,14340.46176837,51189.00246322695
1663434000,2022-09-17 17:00:00,PYR/USDT,3.5455,3.6108,3.5401,3.5913,18331.86734753,65617.657139884942
1663430400,2022-09-17 16:00:00,PYR/USDT,3.564,3.5915,3.5221,3.5469,20148.54476459,71809.192461672923
1663426800,2022-09-17 15:00:00,PYR/USDT,3.441,3.567,3.4263,3.5614,37218.34395595,130305.064900477292
1663423200,2022-09-17 14:00:00,PYR/USDT,3.403,3.4536,3.403,3.4425,16163.24710179,55538.814472090776
1663419600,2022-09-17 13:00:00,PYR/USDT,3.4138,3.415,3.392,3.403,8446.67440657,28720.395693564575
1663416000,2022-09-17 12:00:00,PYR/USDT,3.4201,3.4221,3.3883,3.4146,13848.55059121,47188.781124818632
1663412400,2022-09-17 11:00:00,PYR/USDT,3.4257,3.4311,3.4169,3.4241,3888.86060037,13307.515511168648
1663408800,2022-09-17 10:00:00,PYR/USDT,3.4382,3.4452,3.4209,3.4267,3981.17261565,13665.646667490306
1663405200,2022-09-17 09:00:00,PYR/USDT,3.422,3.4426,3.4217,3.4398,4222.53109205,14495.084120420678
1663401600,2022-09-17 08:00:00,PYR/USDT,3.3973,3.4223,3.3972,3.421,5938.19672821,20269.300127393657
1663398000,2022-09-17 07:00:00,PYR/USDT,3.3974,3.405,3.383,3.4004,5956.68352078,20203.830548119899
1663394400,2022-09-17 06:00:00,PYR/USDT,3.4069,3.4108,3.386,3.4007,5775.62866764,19610.339434460857
1663390800,2022-09-17 05:00:00,PYR/USDT,3.3942,3.4122,3.3841,3.4021,4968.68249773,16891.570834431806
1663387200,2022-09-17 04:00:00,PYR/USDT,3.3905,3.4274,3.3866,3.3964,7223.42602891,24628.967721857946
1663383600,2022-09-17 03:00:00,PYR/USDT,3.3805,3.3971,3.3695,3.3971,2677.83549963,9064.725169411213
1663380000,2022-09-17 02:00:00,PYR/USDT,3.3934,3.3934,3.3711,3.3772,1774.01515757,5996.008347355238
1663376400,2022-09-17 01:00:00,PYR/USDT,3.3742,3.4098,3.362,3.3869,6758.82636498,22909.912970828215
1663372800,2022-09-17 00:00:00,PYR/USDT,3.3377,3.425,3.3325,3.3781,12146.65753613,41035.249659071399
1663369200,2022-09-16 23:00:00,PYR/USDT,3.3536,3.3583,3.3199,3.339,5803.85010293,19337.622824134677
1663365600,2022-09-16 22:00:00,PYR/USDT,3.3836,3.4005,3.3512,3.3533,4479.62789404,15107.15385898299
1663362000,2022-09-16 21:00:00,PYR/USDT,3.3572,3.4249,3.3401,3.3994,42031.14620768,142400.637930679638
