https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT
1663459200,2022-09-18 00:00:00,AAVE/USDT,81.392,81.462,80.673,80.944,73.90062192,5982.17371630188
1663372800,2022-09-17 00:00:00,AAVE/USDT,79.386,81.743,79.108,81.406,2706.17517637,217011.75472317068
1663286400,2022-09-16 00:00:00,AAVE/USDT,78.634,80.484,77.161,79.366,8835.55192205,695792.84676025709
1663200000,2022-09-15 00:00:00,AAVE/USDT,83.618,84.245,77.762,78.515,17202.53644845,1391187.90078783126
1663113600,2022-09-14 00:00:00,AAVE/USDT,82.972,85.946,81.13,83.663,10737.10339973,895444.19933462886
1663027200,2022-09-13 00:00:00,AAVE/USDT,91.037,93.55,82.301,82.971,27876.77344791,2452070.09450308589
1662940800,2022-09-12 00:00:00,AAVE/USDT,91.585,97,89.426,90.989,16334.55661267,1510672.14895746193
1662854400,2022-09-11 00:00:00,AAVE/USDT,92.699,94.48,89.256,91.642,8931.7909741,819818.0651286017
1662768000,2022-09-10 00:00:00,AAVE/USDT,91.247,93.91,89.804,92.699,10256.25415526,940965.52177736954
1662681600,2022-09-09 00:00:00,AAVE/USDT,88.282,94.088,88.176,91.128,13415.31235303,1222384.27682398761
1662595200,2022-09-08 00:00:00,AAVE/USDT,87.539,89.981,85.531,88.24,12725.91753625,1117002.31634706401
1662508800,2022-09-07 00:00:00,AAVE/USDT,83.539,89.213,82.006,87.519,16642.84477967,1410629.72562512402
1662422400,2022-09-06 00:00:00,AAVE/USDT,91.119,93.674,83.071,83.492,18230.96165893,1624989.24642188749
1662336000,2022-09-05 00:00:00,AAVE/USDT,88.831,91.8,86.752,91.076,11253.93109868,1001956.1237560294
1662249600,2022-09-04 00:00:00,AAVE/USDT,87.149,88.993,85.808,88.836,10507.83116458,920901.60873963888
1662163200,2022-09-03 00:00:00,AAVE/USDT,88.438,88.81,85.698,87.091,8220.17567545,715332.2150230851
1662076800,2022-09-02 00:00:00,AAVE/USDT,86.546,92.09,84.85,88.463,18501.29034727,1633494.30219055189
1661990400,2022-09-01 00:00:00,AAVE/USDT,84.832,87,82.003,86.425,10818.95318059,912841.95120301561
1661904000,2022-08-31 00:00:00,AAVE/USDT,84.389,88.82,84.274,84.878,15310.91061329,1326235.05201073273
1661817600,2022-08-30 00:00:00,AAVE/USDT,85.771,88.032,81.429,84.415,22217.65867177,1891497.81629708409
1661731200,2022-08-29 00:00:00,AAVE/USDT,78.635,86.271,77.921,85.743,21044.37554387,1730454.70872232482
1661644800,2022-08-28 00:00:00,AAVE/USDT,82.15,83.56,78.233,78.669,16720.88688213,1362524.64353208036
1661558400,2022-08-27 00:00:00,AAVE/USDT,82.709,83.51,80.385,82.052,22264.36418262,1826127.65672898762
1661472000,2022-08-26 00:00:00,AAVE/USDT,93.272,94.12,81.751,82.729,29423.90683858,2620264.81629212541
1661385600,2022-08-25 00:00:00,AAVE/USDT,88.472,95.76,87.698,93.25,18245.05283108,1664874.3331587708
1661299200,2022-08-24 00:00:00,AAVE/USDT,89.467,91.894,86.873,88.403,17784.86603915,1591382.22162573471
1661212800,2022-08-23 00:00:00,AAVE/USDT,88.52,91.2,85.142,89.408,20060.73421745,1778282.39795806857
1661126400,2022-08-22 00:00:00,AAVE/USDT,85.991,88.66,81.924,88.49,21971.6265795,1864831.1566022719
1661040000,2022-08-21 00:00:00,AAVE/USDT,82.825,87.037,81.614,85.967,16321.32770905,1379724.771998925
1660953600,2022-08-20 00:00:00,AAVE/USDT,83.371,86.872,79.886,82.825,23175.90181825,1938077.68884535986
1660867200,2022-08-19 00:00:00,AAVE/USDT,94.894,95.275,82.752,83.345,29454.9842065,2600754.495962322
1660780800,2022-08-18 00:00:00,AAVE/USDT,100.25,101.669,94.001,94.851,13713.950351,1353277.38906719559
1660694400,2022-08-17 00:00:00,AAVE/USDT,109.821,112.329,99.327,100.17,18213.88382855,1923040.59985905259
1660608000,2022-08-16 00:00:00,AAVE/USDT,107.058,110.456,105.539,109.831,14170.2714834,1530560.45471949337
1660521600,2022-08-15 00:00:00,AAVE/USDT,107.496,112.4,103.613,107.011,20828.93406232,2249221.25326805851
1660435200,2022-08-14 00:00:00,AAVE/USDT,110.494,113.18,105.888,107.259,14166.93736628,1548028.51209621544
1660348800,2022-08-13 00:00:00,AAVE/USDT,114.57,115.75,109.459,110.421,16287.39889853,1831988.55999601182
1660262400,2022-08-12 00:00:00,AAVE/USDT,107.587,115.711,105.54,114.552,16516.6535993,1827787.3378375306
1660176000,2022-08-11 00:00:00,AAVE/USDT,111.061,113.936,106.271,107.537,19402.04380925,2138350.39537631563
1660089600,2022-08-10 00:00:00,AAVE/USDT,97.866,113.008,95.358,111.047,25890.82823759,2777016.70798206401
1660003200,2022-08-09 00:00:00,AAVE/USDT,102.486,103.375,95.372,97.867,12988.21471983,1290595.49430982759
1659916800,2022-08-08 00:00:00,AAVE/USDT,101.322,106.896,101,102.487,16238.04140331,1684668.14300671234
1659830400,2022-08-07 00:00:00,AAVE/USDT,99.014,104.573,97,101.43,17217.63372113,1743505.97855958451
1659744000,2022-08-06 00:00:00,AAVE/USDT,102.866,103.434,98.772,99.051,13686.44225418,1380020.75628190392
1659657600,2022-08-05 00:00:00,AAVE/USDT,96.326,103.758,96.326,102.862,27289.14409622,2754676.93282524534
1659571200,2022-08-04 00:00:00,AAVE/USDT,94.907,99.583,93.378,96.347,25927.49317122,2491256.01180009158
