https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOUL,Volume USDT
1663459200,2022-09-18 00:00:00,SOUL/USDT,0.2495,0.2514,0.2473,0.2511,15870.981,3953.69234952
1663372800,2022-09-17 00:00:00,SOUL/USDT,0.25,0.2528,0.2449,0.2499,834596.026,208742.90440419
1663286400,2022-09-16 00:00:00,SOUL/USDT,0.2429,0.2552,0.2394,0.2499,833864.5479,207962.7462033
1663200000,2022-09-15 00:00:00,SOUL/USDT,0.2535,0.2584,0.2394,0.2426,886561.7204,219993.91172166
1663113600,2022-09-14 00:00:00,SOUL/USDT,0.2545,0.2648,0.2511,0.2534,879464.7942,228238.94658876
1663027200,2022-09-13 00:00:00,SOUL/USDT,0.28,0.2842,0.2513,0.2545,566582.9145,152455.72305569
1662940800,2022-09-12 00:00:00,SOUL/USDT,0.2646,0.299,0.2599,0.2801,823988.153,227140.92391356
1662854400,2022-09-11 00:00:00,SOUL/USDT,0.2802,0.2849,0.26,0.2642,758424.8276,207118.28353495
1662768000,2022-09-10 00:00:00,SOUL/USDT,0.2812,0.2878,0.2734,0.28,638160.0659,178876.57497774
1662681600,2022-09-09 00:00:00,SOUL/USDT,0.2633,0.2949,0.2622,0.2817,827920.8896,231009.72966289
1662595200,2022-09-08 00:00:00,SOUL/USDT,0.2613,0.2688,0.2513,0.2637,761593.4737,198398.90221007
1662508800,2022-09-07 00:00:00,SOUL/USDT,0.2391,0.2677,0.2349,0.2614,964129.8594,236153.37193078
1662422400,2022-09-06 00:00:00,SOUL/USDT,0.25,0.26,0.2301,0.239,947811.1016,235258.33508126
1662336000,2022-09-05 00:00:00,SOUL/USDT,0.2502,0.2577,0.2482,0.25,831931.4864,208626.5162409
1662249600,2022-09-04 00:00:00,SOUL/USDT,0.2403,0.2518,0.2367,0.2502,865892.4737,209337.65807646
1662163200,2022-09-03 00:00:00,SOUL/USDT,0.2398,0.2441,0.237,0.2404,870221.9052,209301.01053796
1662076800,2022-09-02 00:00:00,SOUL/USDT,0.2434,0.2487,0.2346,0.2399,859140.7989,207208.20213611
1661990400,2022-09-01 00:00:00,SOUL/USDT,0.2499,0.2539,0.2401,0.2432,846659.5914,209619.01789832
1661904000,2022-08-31 00:00:00,SOUL/USDT,0.2603,0.2647,0.2483,0.2502,807352.4439,208742.65107891
1661817600,2022-08-30 00:00:00,SOUL/USDT,0.2703,0.2741,0.2538,0.2607,765091.7869,203495.59182514
1661731200,2022-08-29 00:00:00,SOUL/USDT,0.2755,0.2771,0.2681,0.2708,747881.8515,203888.30704564
1661644800,2022-08-28 00:00:00,SOUL/USDT,0.28,0.2879,0.2713,0.2755,738580.1438,206788.72471433
1661558400,2022-08-27 00:00:00,SOUL/USDT,0.27,0.282,0.264,0.2801,759857.3071,205529.24030054
1661472000,2022-08-26 00:00:00,SOUL/USDT,0.2842,0.2875,0.2653,0.27,751502.445,207787.77401467
