https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume EUR
1663545600,2022-09-19 00:00:00,GRT/EUR,0.09962,0.09962,0.09962,0.09962,1149.02022695,114.465395008759
1663459200,2022-09-18 00:00:00,GRT/EUR,0.10850,0.10907,0.09644,0.10100,173624.71962588,17536.096682213883
1663372800,2022-09-17 00:00:00,GRT/EUR,0.10650,0.10844,0.10650,0.10742,114992.86992494,12352.534087337055
1663286400,2022-09-16 00:00:00,GRT/EUR,0.10893,0.10998,0.10435,0.10544,480669.68634721,50681.81172844983
1663200000,2022-09-15 00:00:00,GRT/EUR,0.11195,0.11546,0.10773,0.10836,84948.25515105,9204.992928167778
1663113600,2022-09-14 00:00:00,GRT/EUR,0.10821,0.11319,0.10799,0.11267,161565.82098079,18203.62104990561
1663027200,2022-09-13 00:00:00,GRT/EUR,0.12477,0.12477,0.10852,0.10858,258227.66444477,28038.359805413125
1662940800,2022-09-12 00:00:00,GRT/EUR,0.11575,0.13177,0.11393,0.12658,502944.96335697,63662.773461725264
1662854400,2022-09-11 00:00:00,GRT/EUR,0.11658,0.11870,0.11478,0.11535,390462.42763052,45039.84102718048
1662768000,2022-09-10 00:00:00,GRT/EUR,0.11197,0.11688,0.11197,0.11677,263486.71469500,30767.343674935146
1662681600,2022-09-09 00:00:00,GRT/EUR,0.10399,0.11246,0.10399,0.11099,217649.64570395,24156.93417668141
1662595200,2022-09-08 00:00:00,GRT/EUR,0.10409,0.10495,0.10150,0.10378,213075.30039914,22112.95467542275
1662508800,2022-09-07 00:00:00,GRT/EUR,0.09717,0.10500,0.09717,0.10444,194591.48725147,20323.134928543528
1662422400,2022-09-06 00:00:00,GRT/EUR,0.10479,0.10862,0.09858,0.09938,455245.28416895,45242.27634071025
1662336000,2022-09-05 00:00:00,GRT/EUR,0.10529,0.10556,0.10190,0.10325,377911.48512113,39019.36083875667
1662249600,2022-09-04 00:00:00,GRT/EUR,0.10246,0.10433,0.10246,0.10428,79741.02572147,8315.39416223489
1662163200,2022-09-03 00:00:00,GRT/EUR,0.10385,0.10385,0.10155,0.10202,42640.50373866,4350.184191418093
1662076800,2022-09-02 00:00:00,GRT/EUR,0.10473,0.10645,0.10233,0.10344,87215.28566304,9021.54914898486
1661990400,2022-09-01 00:00:00,GRT/EUR,0.10169,0.10327,0.10086,0.10239,29297.32423810,2999.7530287390587
1661904000,2022-08-31 00:00:00,GRT/EUR,0.10360,0.10588,0.10308,0.10381,21378.03484451,2219.253797208583
1661817600,2022-08-30 00:00:00,GRT/EUR,0.10765,0.10765,0.10060,0.10338,95005.76033204,9821.695503126295
1661731200,2022-08-29 00:00:00,GRT/EUR,0.10194,0.10505,0.10136,0.10455,45587.71655379,4766.195765698744
1661644800,2022-08-28 00:00:00,GRT/EUR,0.10350,0.10486,0.09991,0.09991,92195.45415783,9211.247824908794
1661558400,2022-08-27 00:00:00,GRT/EUR,0.10282,0.10490,0.10152,0.10315,33325.08226928,3437.4822360762323
1661472000,2022-08-26 00:00:00,GRT/EUR,0.11509,0.11633,0.10253,0.10285,285825.18756618,29397.120541181615
1661385600,2022-08-25 00:00:00,GRT/EUR,0.11760,0.12024,0.11522,0.11696,68479.28126056,8009.336736235098
1661299200,2022-08-24 00:00:00,GRT/EUR,0.11301,0.11863,0.11191,0.11560,164385.82104037,19003.000912266773
1661212800,2022-08-23 00:00:00,GRT/EUR,0.11143,0.11380,0.10967,0.11376,89720.28215791,10206.579298283841
1661126400,2022-08-22 00:00:00,GRT/EUR,0.10663,0.11143,0.10040,0.11143,162449.43294559,18101.740313127095
1661040000,2022-08-21 00:00:00,GRT/EUR,0.10376,0.11002,0.10285,0.10837,247250.14915944,26794.49866440851
1660953600,2022-08-20 00:00:00,GRT/EUR,0.10632,0.10891,0.09991,0.10060,137137.64379040,13796.046965314239
1660867200,2022-08-19 00:00:00,GRT/EUR,0.11131,0.11214,0.10209,0.10534,289827.70996246,30530.450967445537
1660780800,2022-08-18 00:00:00,GRT/EUR,0.12303,0.12303,0.11358,0.11393,96028.79441400,10940.560547587022
