https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume USDT
1663459200,2022-09-18 00:00:00,DERO/USDT,3.90499,3.91039,3.89889,3.91039,63.8768,249.457894522
1663455600,2022-09-17 23:00:00,DERO/USDT,3.91679,3.91679,3.90415,3.91419,2.577,10.08273578
1663452000,2022-09-17 22:00:00,DERO/USDT,3.92,3.92001,3.8939,3.91679,416.056,1630.390082862
1663448400,2022-09-17 21:00:00,DERO/USDT,3.91467,3.9287,3.89621,3.92,38.3093,150.230593854
1663444800,2022-09-17 20:00:00,DERO/USDT,3.90579,3.9451,3.892,3.8939,162.9756,638.67903751
1663441200,2022-09-17 19:00:00,DERO/USDT,3.88563,3.90477,3.87421,3.87435,21.496,83.434252724
1663437600,2022-09-17 18:00:00,DERO/USDT,3.87179,3.9114,3.86933,3.88563,261.164,1017.412142546
1663434000,2022-09-17 17:00:00,DERO/USDT,3.88404,3.93379,3.84013,3.85953,661.8211,2586.06415773
1663430400,2022-09-17 16:00:00,DERO/USDT,3.86349,3.88524,3.84101,3.85949,99.9572,386.484043715
1663426800,2022-09-17 15:00:00,DERO/USDT,3.86171,3.86273,3.85023,3.85023,0.8979,3.460526365
1663423200,2022-09-17 14:00:00,DERO/USDT,3.86864,3.90469,3.8336,3.84771,364.0508,1408.713342613
1663419600,2022-09-17 13:00:00,DERO/USDT,3.8308,3.86865,3.8308,3.86865,146.8777,565.643476381
1663416000,2022-09-17 12:00:00,DERO/USDT,3.84964,3.85893,3.82682,3.85893,267.3849,1030.733101148
1663412400,2022-09-17 11:00:00,DERO/USDT,3.82682,3.82682,3.8257,3.8257,0.2831,1.08323711
1663408800,2022-09-17 10:00:00,DERO/USDT,3.85892,3.85892,3.82684,3.82684,4.1406,15.973733704
1663405200,2022-09-17 09:00:00,DERO/USDT,3.83076,3.86553,3.83065,3.83065,255.8775,984.858066878
1663401600,2022-09-17 08:00:00,DERO/USDT,3.85893,3.85893,3.85893,3.85893,8.5759,33.093797787
1663398000,2022-09-17 07:00:00,DERO/USDT,3.8587,3.8587,3.83065,3.85868,11.489,44.308500549
1663394400,2022-09-17 06:00:00,DERO/USDT,3.84281,3.8587,3.83065,3.83065,159.208,614.312759663
1663390800,2022-09-17 05:00:00,DERO/USDT,3.8492,3.84964,3.8492,3.84964,0.2935,1.12981148
1663387200,2022-09-17 04:00:00,DERO/USDT,3.87759,3.87759,3.78351,3.84666,1344.941,5105.341887997
1663383600,2022-09-17 03:00:00,DERO/USDT,3.87271,3.87849,3.87271,3.87779,67.6237,261.894038303
1663380000,2022-09-17 02:00:00,DERO/USDT,3.89929,3.8993,3.89929,3.8993,0.4472,1.743765592
1663376400,2022-09-17 01:00:00,DERO/USDT,3.86273,3.9097,3.86273,3.8745,85.5047,332.849012313
1663372800,2022-09-17 00:00:00,DERO/USDT,3.82276,3.87858,3.7714,3.86171,991.6525,3800.094004331
1663369200,2022-09-16 23:00:00,DERO/USDT,3.83262,3.9102,3.7701,3.82276,611.7939,2343.802820404
1663365600,2022-09-16 22:00:00,DERO/USDT,3.83591,3.91028,3.79352,3.82055,511.9811,1969.311969656
1663362000,2022-09-16 21:00:00,DERO/USDT,3.80737,3.83581,3.80641,3.83581,25.6404,97.623578724
