https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CAKE,Volume USDT
1663459200,2022-09-18 00:00:00,CAKE/USDT,4.371,4.374,4.321,4.321,1620.14365794,7022.01386185889
1663372800,2022-09-17 00:00:00,CAKE/USDT,4.172,4.375,4.172,4.37,53859.87436488,231652.85683685387
1663286400,2022-09-16 00:00:00,CAKE/USDT,4.056,4.19,4.016,4.172,92826.94522266,383479.29765754421
1663200000,2022-09-15 00:00:00,CAKE/USDT,4.165,4.183,4.016,4.059,97017.72275512,397778.14704637428
1663113600,2022-09-14 00:00:00,CAKE/USDT,4.131,4.234,4.1,4.166,74457.29483692,309985.78492929158
1663027200,2022-09-13 00:00:00,CAKE/USDT,4.407,4.454,4.116,4.134,120707.49642203,518625.95167936852
1662940800,2022-09-12 00:00:00,CAKE/USDT,4.544,4.595,4.381,4.417,124934.47773695,562701.68279065057
1662854400,2022-09-11 00:00:00,CAKE/USDT,4.34,4.552,4.268,4.543,80550.80884005,356919.98432326595
1662768000,2022-09-10 00:00:00,CAKE/USDT,4.33,4.384,4.254,4.336,52277.72099619,225216.61381396106
1662681600,2022-09-09 00:00:00,CAKE/USDT,4.077,4.358,4.068,4.328,110548.77941737,469048.70510225183
1662595200,2022-09-08 00:00:00,CAKE/USDT,4.114,4.134,3.992,4.077,77787.18853787,315406.78616122635
1662508800,2022-09-07 00:00:00,CAKE/USDT,3.903,4.139,3.841,4.111,43650.68973086,173789.51433390628
1662422400,2022-09-06 00:00:00,CAKE/USDT,4.152,4.256,3.9,3.908,57743.83306934,236111.48989933012
1662336000,2022-09-05 00:00:00,CAKE/USDT,4.129,4.19,4.07,4.15,93338.67749702,385523.39397183658
1662249600,2022-09-04 00:00:00,CAKE/USDT,4.021,4.13,4.013,4.13,60173.67117882,244963.5958413484
1662163200,2022-09-03 00:00:00,CAKE/USDT,3.978,4.022,3.96,4.022,39854.49824874,158902.49738565592
1662076800,2022-09-02 00:00:00,CAKE/USDT,3.969,4.056,3.918,3.98,54782.27388025,218451.75978057647
1661990400,2022-09-01 00:00:00,CAKE/USDT,3.912,3.984,3.848,3.967,67450.36323599,264935.9431516832
1661904000,2022-08-31 00:00:00,CAKE/USDT,4.009,4.133,3.91,3.91,145819.6264948,582967.06701369546
1661817600,2022-08-30 00:00:00,CAKE/USDT,4.031,4.31,3.904,4,249937.37607876,1025973.4706802487
1661731200,2022-08-29 00:00:00,CAKE/USDT,3.8,4.036,3.79,4.031,52261.77072204,203709.14759391292
