https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume NEO
1652486400000,2022-05-14 00:00:00,NEO/ETH,0.0051191,0.0051191,0.0051191,0.0051191,0.0034930751677289995,0.68236119
1652400000000,2022-05-13 00:00:00,NEO/ETH,0.0049828,0.0053635,0.0049452,0.0050516,0.198477260391684,39.28997949
1652313600000,2022-05-12 00:00:00,NEO/ETH,0.0049996,0.0052802,0.0046209,0.0049043,3.8979093903001836,794.79423981
1652227200000,2022-05-11 00:00:00,NEO/ETH,0.005825,0.005825,0.0049489,0.005153,4.19530032614671,814.14716207
1652140800000,2022-05-10 00:00:00,NEO/ETH,0.0058866,0.0061473,0.0058866,0.0059189,0.6802863915694991,114.93459791000001
1652054400000,2022-05-09 00:00:00,NEO/ETH,0.0064315,0.0064315,0.0060132,0.0061158,8.458698846785618,1383.08951352
1651968000000,2022-05-08 00:00:00,NEO/ETH,0.0061845,0.0063702,0.0061845,0.0063493,1.8382289829378922,289.51679444
1651881600000,2022-05-07 00:00:00,NEO/ETH,0.0063176,0.0063176,0.0061959,0.0062093,0.071492590404204,11.51379228
1651795200000,2022-05-06 00:00:00,NEO/ETH,0.0062599,0.0062988,0.0061949,0.0062988,0.071093940900108,11.28690241
1651708800000,2022-05-05 00:00:00,NEO/ETH,0.0066121,0.0066152,0.0062291,0.0062291,0.05978213778432,9.5972352
1651622400000,2022-05-04 00:00:00,NEO/ETH,0.0063605,0.0065115,0.0063605,0.0064927,0.946681449831677,145.80705251
1651536000000,2022-05-03 00:00:00,NEO/ETH,0.0061619,0.0063584,0.00613,0.0062288,0.26015576575252797,41.76659481
1651449600000,2022-05-02 00:00:00,NEO/ETH,0.0062375,0.0062526,0.0060929,0.006117,0.68239749444588,111.55754364
1651363200000,2022-05-01 00:00:00,NEO/ETH,0.0060694,0.0062508,0.0060694,0.0062508,0.53974020321654,86.34738005
1651276800000,2022-04-30 00:00:00,NEO/ETH,0.0063613,0.0064414,0.0061188,0.0061375,0.9090957570071249,148.12150827
1651190400000,2022-04-29 00:00:00,NEO/ETH,0.0064332,0.0064379,0.0063243,0.0063243,0.072616013370891,11.48206337
1651104000000,2022-04-28 00:00:00,NEO/ETH,0.0065805,0.0065805,0.0064182,0.0064182,0.314533529660214,49.00650177
1651017600000,2022-04-27 00:00:00,NEO/ETH,0.0066108,0.0066458,0.0065467,0.0065846,0.011779306631422,1.78891757
1650931200000,2022-04-26 00:00:00,NEO/ETH,0.0066714,0.0066921,0.00661,0.00661,0.8367829092117001,126.59348097
1650844800000,2022-04-25 00:00:00,NEO/ETH,0.0068645,0.0068882,0.006664,0.006664,0.013446272871919998,2.01774803
1650758400000,2022-04-24 00:00:00,NEO/ETH,0.0071543,0.0071543,0.0069236,0.0069236,0.004410366640988,0.63700483
1650672000000,2022-04-23 00:00:00,NEO/ETH,0.0070796,0.0070796,0.0070796,0.0070796,0.0071434650716,1.009021
1650585600000,2022-04-22 00:00:00,NEO/ETH,0.0070387,0.0070837,0.00703,0.0070815,0.3001604841246,42.3865684
1650499200000,2022-04-21 00:00:00,NEO/ETH,0.007022,0.0071389,0.006973,0.006973,0.34683915199475,49.740305750000005
1650412800000,2022-04-20 00:00:00,NEO/ETH,0.0070575,0.0070659,0.0069433,0.0069433,0.26854530484190503,38.67689785
1650326400000,2022-04-19 00:00:00,NEO/ETH,0.0070835,0.0070835,0.0070835,0.0070835,0.000781090674005,0.11026903
1650240000000,2022-04-18 00:00:00,NEO/ETH,0.0069174,0.0070878,0.0068664,0.00697,0.1814827370077,26.03769541
