https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USDT
1663462800,2022-09-18 01:00:00,APE/USDT,5.5094,5.5377,5.4804,5.5115,29152.76729078,160516.028033926618
1663459200,2022-09-18 00:00:00,APE/USDT,5.6315,5.7219,5.5044,5.5096,142217.64315743,798628.570690811695
1663455600,2022-09-17 23:00:00,APE/USDT,5.6561,5.7465,5.5877,5.6274,112451.02369387,635866.345834134762
1663452000,2022-09-17 22:00:00,APE/USDT,5.64,5.713,5.5826,5.6602,135665.99270892,766563.723564856567
1663448400,2022-09-17 21:00:00,APE/USDT,5.2232,5.8033,5.221,5.64,294536.66357211,1624310.520042253864
1663444800,2022-09-17 20:00:00,APE/USDT,5.0734,5.2528,5.0431,5.2219,124402.45479785,641862.720569151365
1663441200,2022-09-17 19:00:00,APE/USDT,4.9827,5.0735,4.972,5.0712,116569.00666977,584831.265574758829
1663437600,2022-09-17 18:00:00,APE/USDT,4.9622,5.008,4.9532,4.9841,36265.95277816,180660.320027035947
1663434000,2022-09-17 17:00:00,APE/USDT,4.9402,4.9892,4.9357,4.9604,41023.32473085,203530.4619724668
1663430400,2022-09-17 16:00:00,APE/USDT,4.8361,4.9768,4.8336,4.9398,49452.36408415,243019.547524784743
1663426800,2022-09-17 15:00:00,APE/USDT,4.8499,4.8499,4.8105,4.8337,25886.76642639,125030.292992250135
1663423200,2022-09-17 14:00:00,APE/USDT,4.7873,4.852,4.7803,4.8493,41494.77851826,200063.453461599548
1663419600,2022-09-17 13:00:00,APE/USDT,4.7775,4.792,4.7511,4.7855,27108.87258506,129418.014598956769
1663416000,2022-09-17 12:00:00,APE/USDT,4.7225,4.7774,4.7195,4.7768,20303.05884967,96286.241633728237
1663412400,2022-09-17 11:00:00,APE/USDT,4.7246,4.7396,4.7175,4.7217,27090.31412931,128038.254018065383
1663408800,2022-09-17 10:00:00,APE/USDT,4.7605,4.7704,4.6887,4.7256,35331.47984593,166677.733392483765
1663405200,2022-09-17 09:00:00,APE/USDT,4.77,4.784,4.7458,4.7628,23318.30088909,111055.982476466244
1663401600,2022-09-17 08:00:00,APE/USDT,4.7875,4.8076,4.7681,4.78,25212.84222051,120667.352050901527
1663398000,2022-09-17 07:00:00,APE/USDT,4.7451,4.7906,4.7339,4.7906,9928.73916482,47312.428452121823
1663394400,2022-09-17 06:00:00,APE/USDT,4.7483,4.7531,4.7181,4.7441,4712.15584866,22320.023906970916
1663390800,2022-09-17 05:00:00,APE/USDT,4.8051,4.8059,4.7264,4.747,15230.82693875,72472.149470808353
1663387200,2022-09-17 04:00:00,APE/USDT,4.8068,4.8424,4.7925,4.8048,30749.25787278,148093.041020563837
1663383600,2022-09-17 03:00:00,APE/USDT,4.7571,4.8061,4.756,4.8061,12247.01088908,58484.743269659086
1663380000,2022-09-17 02:00:00,APE/USDT,4.8008,4.807,4.755,4.7564,19107.79323623,91399.050879033677
1663376400,2022-09-17 01:00:00,APE/USDT,4.7206,4.8192,4.7195,4.8009,23069.38996766,109968.415885394956
1663372800,2022-09-17 00:00:00,APE/USDT,4.6628,4.7799,4.6609,4.7217,184479.21541441,873678.307391286926
1663369200,2022-09-16 23:00:00,APE/USDT,4.6689,4.6771,4.6327,4.6629,19819.01563825,92210.655366663419
1663365600,2022-09-16 22:00:00,APE/USDT,4.6545,4.6875,4.649,4.6643,19624.81904544,91645.271001191395
1663362000,2022-09-16 21:00:00,APE/USDT,4.6656,4.6891,4.6489,4.6568,22473.46421481,105044.436421594528
1663358400,2022-09-16 20:00:00,APE/USDT,4.6233,4.6812,4.6233,4.6687,21687.47352255,100835.853567303744
1663354800,2022-09-16 19:00:00,APE/USDT,4.6197,4.6468,4.608,4.6205,40895.09609114,189235.464396689063
1663351200,2022-09-16 18:00:00,APE/USDT,4.6015,4.635,4.562,4.6136,31551.85774695,145382.495107576237
1663347600,2022-09-16 17:00:00,APE/USDT,4.6012,4.6411,4.5628,4.6009,79558.55393369,366699.700568870252
1663344000,2022-09-16 16:00:00,APE/USDT,4.7231,4.7235,4.5614,4.6018,91635.95241239,423709.226257098042
1663340400,2022-09-16 15:00:00,APE/USDT,4.7526,4.7605,4.696,4.7239,42230.60392719,199549.147767360816
1663336800,2022-09-16 14:00:00,APE/USDT,4.6969,4.7736,4.6831,4.7531,94792.36434435,449189.849501830916
1663333200,2022-09-16 13:00:00,APE/USDT,4.7975,4.8135,4.6501,4.6975,72745.5597714,344228.795553387512
1663329600,2022-09-16 12:00:00,APE/USDT,4.8781,4.8854,4.7829,4.7935,26210.41090488,126456.13254874698
1663326000,2022-09-16 11:00:00,APE/USDT,4.8314,4.881,4.8267,4.8739,15368.99929673,74527.591931107623
1663322400,2022-09-16 10:00:00,APE/USDT,4.7899,4.8498,4.7762,4.8321,27723.83938472,133652.669270035984
1663318800,2022-09-16 09:00:00,APE/USDT,4.7123,4.7946,4.7105,4.7891,23688.00485176,112522.744879065268
1663315200,2022-09-16 08:00:00,APE/USDT,4.8615,4.8615,4.7062,4.7119,79613.56216327,381341.79137536649
1663311600,2022-09-16 07:00:00,APE/USDT,4.9183,4.9299,4.8592,4.8606,9678.82811118,47341.29341518819
1663308000,2022-09-16 06:00:00,APE/USDT,4.9261,4.9794,4.911,4.9156,35167.67089976,174144.679628676329
1663304400,2022-09-16 05:00:00,APE/USDT,4.9118,4.9275,4.9071,4.9243,4545.03745914,22339.977265763488
1663300800,2022-09-16 04:00:00,APE/USDT,4.8971,4.9413,4.8971,4.9106,32678.34446731,160910.180424221095
1663297200,2022-09-16 03:00:00,APE/USDT,4.88,4.9016,4.8518,4.8974,33254.30989791,161837.898815709138
1663293600,2022-09-16 02:00:00,APE/USDT,4.9245,4.9266,4.8265,4.8797,31758.26039754,154324.144617514671
1663290000,2022-09-16 01:00:00,APE/USDT,4.9438,4.9595,4.9081,4.9218,13779.99561253,68003.855056918514
1663286400,2022-09-16 00:00:00,APE/USDT,4.9137,4.9506,4.8365,4.9506,90524.31693548,443214.776100578066
