https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DIA,Volume BTC
1663459200,2022-09-18 00:00:00,DIA/BTC,0.00001896,0.00001911,0.00001896,0.00001896,89.4519,0.001709351829
1663372800,2022-09-17 00:00:00,DIA/BTC,0.0000191,0.000024,0.00001886,0.00001896,31061.565,0.648047810754
1663286400,2022-09-16 00:00:00,DIA/BTC,0.00001861,0.00001931,0.00001851,0.00001894,1645.1351,0.031137627599
1663200000,2022-09-15 00:00:00,DIA/BTC,0.0000188,0.00001901,0.00001855,0.00001871,2606.8956,0.048878119573
1663113600,2022-09-14 00:00:00,DIA/BTC,0.00001884,0.0000197,0.00001863,0.00001877,5460.2261,0.104017971318
1663027200,2022-09-13 00:00:00,DIA/BTC,0.00001783,0.00001916,0.00001771,0.00001878,4396.6147,0.08026729241
1662940800,2022-09-12 00:00:00,DIA/BTC,0.00001855,0.00001879,0.00001781,0.00001781,3090.648,0.05671146403
1662854400,2022-09-11 00:00:00,DIA/BTC,0.00001853,0.00001963,0.00001838,0.00001875,3649.6377,0.06919577625
1662768000,2022-09-10 00:00:00,DIA/BTC,0.0000186,0.00001882,0.00001835,0.00001852,2090.5231,0.038747159436
1662681600,2022-09-09 00:00:00,DIA/BTC,0.00001962,0.00001983,0.00001847,0.0000186,15866.3783,0.297573763401
1662595200,2022-09-08 00:00:00,DIA/BTC,0.00001936,0.00002015,0.00001931,0.00001965,9271.5216,0.182141710674
1662508800,2022-09-07 00:00:00,DIA/BTC,0.00001932,0.00001971,0.00001926,0.0000194,2249.4517,0.043900999282
1662422400,2022-09-06 00:00:00,DIA/BTC,0.00001909,0.00001958,0.00001909,0.00001954,1797.4417,0.034905444791
1662336000,2022-09-05 00:00:00,DIA/BTC,0.00001937,0.00001951,0.00001905,0.00001927,1076.5725,0.020830684706
1662249600,2022-09-04 00:00:00,DIA/BTC,0.0000189,0.0000196,0.00001794,0.00001935,13616.7347,0.259575979312
1662163200,2022-09-03 00:00:00,DIA/BTC,0.00001921,0.00001941,0.00001885,0.00001923,812.9397,0.015573507402
1662076800,2022-09-02 00:00:00,DIA/BTC,0.00001873,0.00001924,0.00001866,0.00001924,484.2303,0.009153561217
1661990400,2022-09-01 00:00:00,DIA/BTC,0.00001879,0.0000205,0.00001835,0.0000187,11358.9252,0.219222472035
1661904000,2022-08-31 00:00:00,DIA/BTC,0.00001905,0.00001922,0.00001866,0.00001891,6674.065,0.126865463619
1661817600,2022-08-30 00:00:00,DIA/BTC,0.00001928,0.00001931,0.00001874,0.00001907,16572.497,0.314571112772
1661731200,2022-08-29 00:00:00,DIA/BTC,0.00001842,0.00002177,0.00001842,0.00001928,44465.2242,0.893501948303
1661644800,2022-08-28 00:00:00,DIA/BTC,0.00001827,0.00001865,0.00001824,0.00001842,2701.4808,0.049759240947
1661558400,2022-08-27 00:00:00,DIA/BTC,0.00001832,0.00001853,0.00001815,0.00001833,2908.8772,0.053371366024
1661472000,2022-08-26 00:00:00,DIA/BTC,0.000019,0.00001904,0.00001815,0.00001815,22250.094,0.412142035453
1661385600,2022-08-25 00:00:00,DIA/BTC,0.00001879,0.00001906,0.0000186,0.00001897,3197.9364,0.060246552861
