https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume EUR
1663545600,2022-09-19 00:00:00,AVAX/EUR,16.74874,16.74874,16.74874,16.74874,5.05200000,84.61463448
1663459200,2022-09-18 00:00:00,AVAX/EUR,18.38954,18.67814,16.49626,16.67326,758.64760167,12649.128711020343
1663372800,2022-09-17 00:00:00,AVAX/EUR,18.24516,18.48399,18.05810,18.48399,5826.01534019,107688.00928791854
1663286400,2022-09-16 00:00:00,AVAX/EUR,18.10000,18.31327,17.65454,18.09177,2846.36712356,51495.8193350091
1663200000,2022-09-15 00:00:00,AVAX/EUR,18.73000,19.33295,18.19978,18.19978,989.55795838,18009.737139765155
1663113600,2022-09-14 00:00:00,AVAX/EUR,18.95508,19.28959,18.56704,19.09043,2590.45184937,49452.839698768534
1663027200,2022-09-13 00:00:00,AVAX/EUR,20.65274,21.31777,18.91599,18.94898,1733.72778983,32852.37321493287
1662940800,2022-09-12 00:00:00,AVAX/EUR,20.02738,21.63467,19.95487,21.03891,1041.25441293,21906.857880737105
1662854400,2022-09-11 00:00:00,AVAX/EUR,20.31527,20.77960,19.86177,20.47383,2789.96265138,57121.22103070338
1662768000,2022-09-10 00:00:00,AVAX/EUR,20.22378,20.96788,20.00229,20.52627,694.74771330,14260.57914507839
1662681600,2022-09-09 00:00:00,AVAX/EUR,19.47424,20.49558,19.47424,20.49558,3367.36054716,69016.00748316155
1662595200,2022-09-08 00:00:00,AVAX/EUR,18.96629,19.17208,18.65993,19.06506,493.87584383,9415.77259516958
1662508800,2022-09-07 00:00:00,AVAX/EUR,18.33058,19.21193,18.09784,19.14775,2010.65390668,38499.49834163197
1662422400,2022-09-06 00:00:00,AVAX/EUR,19.66950,20.51762,18.42388,18.48430,8490.94144606,156949.10897140688
1662336000,2022-09-05 00:00:00,AVAX/EUR,19.27491,19.27491,18.60374,19.24016,4562.57104655,87784.59694698943
1662249600,2022-09-04 00:00:00,AVAX/EUR,18.98021,19.22457,18.90632,19.13840,2865.63952910,54843.75556372744
1662163200,2022-09-03 00:00:00,AVAX/EUR,18.93126,19.03300,18.68186,18.92915,335.38017904,6348.461716075016
1662076800,2022-09-02 00:00:00,AVAX/EUR,19.38854,19.55807,18.81399,18.92114,2765.78189189,52331.74638591556
1661990400,2022-09-01 00:00:00,AVAX/EUR,19.26370,19.55422,18.52857,19.40806,2462.00648604,47782.769601453474
1661904000,2022-08-31 00:00:00,AVAX/EUR,19.84428,19.90114,18.94977,19.03385,2711.23475868,51605.23571150132
1661817600,2022-08-30 00:00:00,AVAX/EUR,19.23256,20.45940,18.92850,19.22646,2599.57566713,49980.63758104826
1661731200,2022-08-29 00:00:00,AVAX/EUR,18.51335,19.37569,17.69821,19.36328,4335.26664684,83944.98195742404
