https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTG,Volume USDT
1663459200,2022-09-18 00:00:00,FTG/USDT,0.00803,0.00814,0.00803,0.00814,30261.6167,245.141289281
1663372800,2022-09-17 00:00:00,FTG/USDT,0.0078,0.00837,0.00769,0.00801,1449289.3887,11575.255704685
1663286400,2022-09-16 00:00:00,FTG/USDT,0.00875,0.00875,0.00752,0.0078,2293615.6433,18266.139464478
1663200000,2022-09-15 00:00:00,FTG/USDT,0.00876,0.00905,0.00864,0.00874,652783.7214,5796.845044095
1663113600,2022-09-14 00:00:00,FTG/USDT,0.00896,0.00896,0.00852,0.00877,1187019.7867,10310.66768132
1663027200,2022-09-13 00:00:00,FTG/USDT,0.01009,0.01051,0.00881,0.009,3088593.2685,28757.844033087
1662940800,2022-09-12 00:00:00,FTG/USDT,0.00888,0.01299,0.00881,0.01008,17367462.5994,191064.4534010586092
1662854400,2022-09-11 00:00:00,FTG/USDT,0.00948,0.00957,0.0085,0.00887,2051002.9223,18561.550058677
1662768000,2022-09-10 00:00:00,FTG/USDT,0.00985,0.01,0.00914,0.00949,2730993.5937,26144.786181232
1662681600,2022-09-09 00:00:00,FTG/USDT,0.00945,0.00985,0.00901,0.00985,2216867.6108,20643.904843533
1662595200,2022-09-08 00:00:00,FTG/USDT,0.00869,0.00982,0.00868,0.00946,3748443.3456,34342.232393487
1662508800,2022-09-07 00:00:00,FTG/USDT,0.0092,0.00957,0.0085,0.0087,2597373.6041,23089.395479587
1662422400,2022-09-06 00:00:00,FTG/USDT,0.01088,0.0111,0.009,0.00913,6960262.2383363,70461.45048473522
1662336000,2022-09-05 00:00:00,FTG/USDT,0.01104,0.0112,0.01062,0.01088,15086868.9257,164992.423533577
1662249600,2022-09-04 00:00:00,FTG/USDT,0.01143,0.01163,0.01066,0.01106,17119051.5713,190949.27746559
1662163200,2022-09-03 00:00:00,FTG/USDT,0.01114,0.01249,0.01057,0.01147,17648229.1129,203534.416677139
1662076800,2022-09-02 00:00:00,FTG/USDT,0.0117,0.01239,0.011,0.01114,15723770.9441,182141.742508395
1661990400,2022-09-01 00:00:00,FTG/USDT,0.01078,0.0125,0.0107,0.01168,19621108.2537,222089.51950465
1661904000,2022-08-31 00:00:00,FTG/USDT,0.01061,0.01127,0.01039,0.01074,7758527.81156726,83147.2524760999738
1661817600,2022-08-30 00:00:00,FTG/USDT,0.01137,0.01144,0.01011,0.01062,15406703.92057021,167080.7290875297784
1661731200,2022-08-29 00:00:00,FTG/USDT,0.01093,0.01144,0.01002,0.01139,15388035.94062585,166168.9421273479231
1661644800,2022-08-28 00:00:00,FTG/USDT,0.01134,0.0115,0.01085,0.01094,13863806.767941,154871.0350462412133
1661558400,2022-08-27 00:00:00,FTG/USDT,0.01097,0.0116,0.01074,0.01137,13899826.12162591,154497.0925297386196
1661472000,2022-08-26 00:00:00,FTG/USDT,0.01133,0.0132,0.01092,0.01093,15981114.23956862,183432.6054932362382
1661385600,2022-08-25 00:00:00,FTG/USDT,0.0113,0.01349,0.0109,0.01135,18545509.85716159,214550.2558967012607
1661299200,2022-08-24 00:00:00,FTG/USDT,0.01136,0.0118,0.01088,0.01128,15813236.44746517,178294.0303831447106
1661212800,2022-08-23 00:00:00,FTG/USDT,0.0116,0.0139,0.01106,0.01129,19337234.10960382,230965.3541940769395
1661126400,2022-08-22 00:00:00,FTG/USDT,0.01141,0.0122,0.01034,0.01162,16092363.01198877,179376.2477753456695
1661040000,2022-08-21 00:00:00,FTG/USDT,0.01143,0.01223,0.01104,0.01142,12750341.28796016,145067.9676224267008
1660953600,2022-08-20 00:00:00,FTG/USDT,0.0118,0.0118,0.01031,0.01143,13145276.98747129,149496.9516415960486
1660867200,2022-08-19 00:00:00,FTG/USDT,0.01385,0.01387,0.01156,0.01178,13962454.3747647,175033.5829830133353
1660780800,2022-08-18 00:00:00,FTG/USDT,0.01319,0.0145,0.01311,0.01381,13332165.92264254,183508.9561994709745
1660694400,2022-08-17 00:00:00,FTG/USDT,0.01349,0.0138,0.01305,0.01319,12423685.20777235,165640.4798678618634
1660608000,2022-08-16 00:00:00,FTG/USDT,0.01421,0.01479,0.01342,0.01349,11562209.73301717,162855.6514254907214
1660521600,2022-08-15 00:00:00,FTG/USDT,0.01451,0.01779,0.01411,0.01418,25423212.84872743,389468.8597957362261
1660435200,2022-08-14 00:00:00,FTG/USDT,0.01429,0.0147,0.01401,0.01451,13347777.44469954,191451.4828161184227
1660348800,2022-08-13 00:00:00,FTG/USDT,0.01478,0.01486,0.01402,0.01425,11805316.88704971,169404.0088407604815
1660262400,2022-08-12 00:00:00,FTG/USDT,0.01426,0.01498,0.01389,0.01476,12859333.77708093,182631.7242900128556
1660176000,2022-08-11 00:00:00,FTG/USDT,0.01454,0.0147,0.01423,0.01426,12088392.67904857,173613.182038023989
1660089600,2022-08-10 00:00:00,FTG/USDT,0.01399,0.01464,0.01296,0.01454,8990503.79637026,125787.5959619835982
