https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMPL,Volume BTC
1663459200,2022-09-18 00:00:00,AMPL/BTC,0.00004974,0.00004975,0.00004974,0.00004975,0.04,0.0000019898
1663372800,2022-09-17 00:00:00,AMPL/BTC,0.0000487,0.00005012,0.00004772,0.00004959,2299.94,0.1130583218
1663286400,2022-09-16 00:00:00,AMPL/BTC,0.00005041,0.00005127,0.00004759,0.00004869,9489.92,0.461311001
1663200000,2022-09-15 00:00:00,AMPL/BTC,0.00005313,0.00005368,0.00004815,0.0000509,8886.59,0.4487280849
1663113600,2022-09-14 00:00:00,AMPL/BTC,0.00005223,0.00005505,0.00005109,0.00005277,16999.71,0.9038198577
1663027200,2022-09-13 00:00:00,AMPL/BTC,0.00005636,0.00005721,0.00005056,0.00005274,11399.92,0.6110673813
1662940800,2022-09-12 00:00:00,AMPL/BTC,0.00005867,0.00005909,0.00005439,0.00005674,20103.86,1.1463207238
1662854400,2022-09-11 00:00:00,AMPL/BTC,0.00005302,0.00006248,0.00005277,0.00005866,14546.21,0.8607498723
1662768000,2022-09-10 00:00:00,AMPL/BTC,0.00004989,0.00005302,0.00004887,0.00005302,4460.47,0.2260396725
1662681600,2022-09-09 00:00:00,AMPL/BTC,0.00004992,0.00005102,0.00004874,0.00005011,2656.2,0.1316319889
1662595200,2022-09-08 00:00:00,AMPL/BTC,0.00004941,0.00005076,0.00004905,0.0000499,616.84,0.0309671857
1662508800,2022-09-07 00:00:00,AMPL/BTC,0.00004984,0.0000504,0.00004836,0.00004955,1272.51,0.0628093862
1662422400,2022-09-06 00:00:00,AMPL/BTC,0.00004989,0.0000504,0.00004836,0.00005013,2235.21,0.1110487275
1662336000,2022-09-05 00:00:00,AMPL/BTC,0.00004836,0.00005102,0.00004757,0.00004975,7286.04,0.3608283277
1662249600,2022-09-04 00:00:00,AMPL/BTC,0.00004536,0.00004964,0.00004275,0.0000484,7337.42,0.3431238585
1662163200,2022-09-03 00:00:00,AMPL/BTC,0.00004357,0.00004588,0.00004357,0.00004585,1126.32,0.0507289012
1662076800,2022-09-02 00:00:00,AMPL/BTC,0.00004535,0.00004939,0.00004371,0.00004411,7612.7,0.3502645669
1661990400,2022-09-01 00:00:00,AMPL/BTC,0.00004542,0.0000508,0.00004404,0.00004519,7794.83,0.3602275392
1661904000,2022-08-31 00:00:00,AMPL/BTC,0.00004426,0.00004896,0.00004415,0.00004577,3189.85,0.1472845955
1661817600,2022-08-30 00:00:00,AMPL/BTC,0.00004577,0.00004673,0.00004407,0.00004495,1983.1,0.0898592499
1661731200,2022-08-29 00:00:00,AMPL/BTC,0.00004436,0.00004661,0.00004212,0.00004661,3123.8,0.1378943571
1661644800,2022-08-28 00:00:00,AMPL/BTC,0.00004413,0.00004545,0.00004312,0.00004404,4530.95,0.2014054208
1661558400,2022-08-27 00:00:00,AMPL/BTC,0.00004576,0.00004643,0.0000431,0.00004445,7266.5,0.3228735187
1661472000,2022-08-26 00:00:00,AMPL/BTC,0.00004761,0.00004832,0.00004514,0.00004578,10047.98,0.4617373051
1661385600,2022-08-25 00:00:00,AMPL/BTC,0.00004989,0.00005011,0.00004746,0.00004833,1269.24,0.0617255324
1661299200,2022-08-24 00:00:00,AMPL/BTC,0.00004964,0.00005101,0.00004855,0.00005,1993.19,0.0995719251
1661212800,2022-08-23 00:00:00,AMPL/BTC,0.00004751,0.0000508,0.0000463,0.0000496,6464.63,0.3080798086
1661126400,2022-08-22 00:00:00,AMPL/BTC,0.00004821,0.00004888,0.00004612,0.0000475,1710.23,0.0809945625
1661040000,2022-08-21 00:00:00,AMPL/BTC,0.00004476,0.00005025,0.0000438,0.00004886,11288.29,0.5326608145
1660953600,2022-08-20 00:00:00,AMPL/BTC,0.00005,0.00005116,0.0000421,0.00004477,21323.48,1.0021492814
1660867200,2022-08-19 00:00:00,AMPL/BTC,0.00006007,0.00006049,0.0000493,0.00005,24119.74,1.3022556727
1660780800,2022-08-18 00:00:00,AMPL/BTC,0.00005655,0.00006266,0.00005568,0.00006051,11091.39,0.6648372263
1660694400,2022-08-17 00:00:00,AMPL/BTC,0.00005769,0.0000597,0.00005625,0.00005625,5369.21,0.3096015005
1660608000,2022-08-16 00:00:00,AMPL/BTC,0.0000613,0.00006297,0.00005653,0.00005818,16310.62,0.9761259082
