https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MBL,Volume USDT
1663459200,2022-09-18 00:00:00,MBL/USDT,0.003812,0.003844,0.003807,0.003814,149326.6957,571.2135554375
1663372800,2022-09-17 00:00:00,MBL/USDT,0.003768,0.003853,0.003743,0.003816,431516.1558,1639.2239195914
1663286400,2022-09-16 00:00:00,MBL/USDT,0.00376,0.003782,0.003712,0.003757,1254012.1603,4720.8478851655
1663200000,2022-09-15 00:00:00,MBL/USDT,0.003812,0.004075,0.003729,0.003729,3161209.2225,12179.2624997106
1663113600,2022-09-14 00:00:00,MBL/USDT,0.00376,0.003947,0.003736,0.003814,1426006.9743,5473.562623044
1663027200,2022-09-13 00:00:00,MBL/USDT,0.004107,0.004107,0.003759,0.003765,2634935.2562,10359.5615029649
1662940800,2022-09-12 00:00:00,MBL/USDT,0.004117,0.004302,0.003951,0.004107,2364729.0596,9730.133433868
1662854400,2022-09-11 00:00:00,MBL/USDT,0.003996,0.004419,0.00391,0.004116,4759126.376,19781.0026305281
1662768000,2022-09-10 00:00:00,MBL/USDT,0.004008,0.004059,0.003911,0.004005,2585204.9417,10277.7539414458
1662681600,2022-09-09 00:00:00,MBL/USDT,0.003835,0.004341,0.003822,0.003997,7352602.6771,29163.178460671
1662595200,2022-09-08 00:00:00,MBL/USDT,0.00378,0.00517,0.003708,0.00384,25072259.8215,108303.1724375348
1662508800,2022-09-07 00:00:00,MBL/USDT,0.0037,0.003799,0.003618,0.003791,2908180.2106,10826.4389090519
1662422400,2022-09-06 00:00:00,MBL/USDT,0.003874,0.003971,0.003713,0.003713,2849062.6183,10943.660695071
1662336000,2022-09-05 00:00:00,MBL/USDT,0.00389,0.004075,0.003802,0.003864,4374867.4643,16977.498666514
1662249600,2022-09-04 00:00:00,MBL/USDT,0.003854,0.0039,0.00383,0.003887,565943.1982,2192.4003757728
1662163200,2022-09-03 00:00:00,MBL/USDT,0.003879,0.003891,0.00383,0.003842,467883.7033,1796.478571649
1662076800,2022-09-02 00:00:00,MBL/USDT,0.003913,0.003923,0.003845,0.003875,4774956.7858,18567.3043940348
1661990400,2022-09-01 00:00:00,MBL/USDT,0.003903,0.004066,0.003802,0.003918,8784062.4652,34172.7353431677
1661904000,2022-08-31 00:00:00,MBL/USDT,0.003928,0.003976,0.003863,0.003907,3184405.7472,12570.0854688651
1661817600,2022-08-30 00:00:00,MBL/USDT,0.003893,0.004098,0.003826,0.00391,8527958.4879,33864.1423318581
1661731200,2022-08-29 00:00:00,MBL/USDT,0.003797,0.003903,0.003784,0.003901,5710611.6628,21817.0108529512
1661644800,2022-08-28 00:00:00,MBL/USDT,0.003859,0.004087,0.003762,0.003764,2282559.9734,8850.8006740603
1661558400,2022-08-27 00:00:00,MBL/USDT,0.003891,0.004008,0.003835,0.003853,1196233.9357,4657.4260732078
1661472000,2022-08-26 00:00:00,MBL/USDT,0.004085,0.004277,0.00386,0.00386,1258801.8844,5073.4824680757
1661385600,2022-08-25 00:00:00,MBL/USDT,0.00398,0.004134,0.00398,0.004085,2211841.0827,8987.9260889946
1661299200,2022-08-24 00:00:00,MBL/USDT,0.00397,0.00407,0.003889,0.004011,4735988.2139,18919.1193472187
1661212800,2022-08-23 00:00:00,MBL/USDT,0.003954,0.004015,0.003814,0.003991,30872169.085,121059.9993380342
1661126400,2022-08-22 00:00:00,MBL/USDT,0.004062,0.004198,0.00379,0.00397,18147223.4098,70923.6652267564
1661040000,2022-08-21 00:00:00,MBL/USDT,0.003975,0.004423,0.003967,0.004062,1615260.518,6542.6019898457
1660953600,2022-08-20 00:00:00,MBL/USDT,0.003969,0.004239,0.003959,0.004003,2198269.0713,8970.6008001748
1660867200,2022-08-19 00:00:00,MBL/USDT,0.004487,0.004639,0.003946,0.003957,2532691.4843,11024.3609427152
1660780800,2022-08-18 00:00:00,MBL/USDT,0.00455,0.004591,0.004487,0.004487,4669921.8615,21196.2323150696
1660694400,2022-08-17 00:00:00,MBL/USDT,0.004681,0.004735,0.004506,0.004544,33783383.5339,154681.0742706471
1660608000,2022-08-16 00:00:00,MBL/USDT,0.00478,0.004944,0.00466,0.004681,27460996.1444,129390.5275904934
1660521600,2022-08-15 00:00:00,MBL/USDT,0.004878,0.004929,0.00471,0.004752,15123551.5671,72645.3249977668
1660435200,2022-08-14 00:00:00,MBL/USDT,0.004911,0.00499,0.004856,0.004871,28184600.7056,138835.168053777
1660348800,2022-08-13 00:00:00,MBL/USDT,0.004927,0.004934,0.004876,0.004918,2722046.7459,13408.496405531
1660262400,2022-08-12 00:00:00,MBL/USDT,0.004878,0.004961,0.004792,0.004926,2058218.33,10040.2378441121
1660176000,2022-08-11 00:00:00,MBL/USDT,0.004856,0.005109,0.004683,0.00488,22404581.7718,109752.284548352
1660089600,2022-08-10 00:00:00,MBL/USDT,0.004542,0.005155,0.004483,0.004856,21374543.2567,102487.9802640736
1660003200,2022-08-09 00:00:00,MBL/USDT,0.0047,0.004717,0.004481,0.004542,30872809.6489,141310.8738641206
1659916800,2022-08-08 00:00:00,MBL/USDT,0.004675,0.004748,0.004668,0.004699,5635535.665,26382.3031429468
1659830400,2022-08-07 00:00:00,MBL/USDT,0.0047,0.004848,0.004604,0.004675,21704880.6036,101197.2384407862
1659744000,2022-08-06 00:00:00,MBL/USDT,0.004677,0.004718,0.004676,0.004692,21057051.9906,99076.7779489523
1659657600,2022-08-05 00:00:00,MBL/USDT,0.004568,0.00471,0.004568,0.004674,1309083.9904,6071.3089103395
1659571200,2022-08-04 00:00:00,MBL/USDT,0.004619,0.004635,0.004507,0.004536,403058.2016,1847.5120766329
1659484800,2022-08-03 00:00:00,MBL/USDT,0.00465,0.004672,0.004501,0.004593,677419.7941,3133.2493757172
1659398400,2022-08-02 00:00:00,MBL/USDT,0.004932,0.005064,0.0045,0.00469,2410453.5536,11295.0375912406
1659312000,2022-08-01 00:00:00,MBL/USDT,0.004728,0.005068,0.004715,0.004931,3396620.2438,16534.902640644
1659225600,2022-07-31 00:00:00,MBL/USDT,0.004712,0.00499,0.004671,0.004758,3015971.1735,14553.5644205705
1659139200,2022-07-30 00:00:00,MBL/USDT,0.00475,0.00482,0.004707,0.004742,431363.1434,2054.2359056984
1659052800,2022-07-29 00:00:00,MBL/USDT,0.004841,0.004841,0.004669,0.004728,1008961.3898,4792.0891910096
1658966400,2022-07-28 00:00:00,MBL/USDT,0.004761,0.00499,0.004677,0.00484,1917506.9544,9259.9635085096
1658880000,2022-07-27 00:00:00,MBL/USDT,0.004339,0.004966,0.004336,0.00476,7399163.4664,34804.376122119
1658793600,2022-07-26 00:00:00,MBL/USDT,0.004518,0.004518,0.00423,0.004364,1516576.1424,6554.098760225
1658707200,2022-07-25 00:00:00,MBL/USDT,0.004952,0.004952,0.004525,0.004525,2454245.5319,11324.3562230908
1658620800,2022-07-24 00:00:00,MBL/USDT,0.004973,0.005026,0.004903,0.00492,849585.9963,4196.9977686626
1658534400,2022-07-23 00:00:00,MBL/USDT,0.00504,0.005186,0.004864,0.004973,4664555.7665,23418.7144414065
1658448000,2022-07-22 00:00:00,MBL/USDT,0.005343,0.005513,0.004943,0.005024,8509104.7735,44129.7258610168
1658361600,2022-07-21 00:00:00,MBL/USDT,0.005208,0.005583,0.00482,0.005352,15442750.6585,80739.0593419894
