https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RANKER,Volume USDT
1663459200,2022-09-18 00:00:00,RANKER/USDT,0.00617,0.00618,0.00611,0.00615,60344.7387,370.214870619
1663372800,2022-09-17 00:00:00,RANKER/USDT,0.00576,0.00633,0.00562,0.00611,3711119.8079,22184.429735247
1663286400,2022-09-16 00:00:00,RANKER/USDT,0.00617,0.0063,0.00561,0.00578,4576667.9093,27285.949465069
1663200000,2022-09-15 00:00:00,RANKER/USDT,0.00634,0.0067,0.00606,0.00619,3436915.1275,21492.612453412
1663113600,2022-09-14 00:00:00,RANKER/USDT,0.00617,0.00689,0.00598,0.00639,7011562.9452,44750.202524696
1663027200,2022-09-13 00:00:00,RANKER/USDT,0.00683,0.00697,0.0061,0.00619,3258563.4909,21052.513315907
1662940800,2022-09-12 00:00:00,RANKER/USDT,0.00718,0.00729,0.0066,0.00685,3464574.8828,23941.092072903
1662854400,2022-09-11 00:00:00,RANKER/USDT,0.00696,0.00739,0.00684,0.00721,3207500.0528,22787.225437867
1662768000,2022-09-10 00:00:00,RANKER/USDT,0.0068,0.0073,0.00663,0.00696,4571674.5299,32167.440090405
1662681600,2022-09-09 00:00:00,RANKER/USDT,0.00667,0.00699,0.00651,0.00673,3498932.9631,23541.564615505
1662595200,2022-09-08 00:00:00,RANKER/USDT,0.00702,0.0073,0.0065,0.00669,4825304.7438,32990.286183193
1662508800,2022-09-07 00:00:00,RANKER/USDT,0.00744,0.00753,0.00649,0.00704,23926803.9938,172554.7173667665085
1662422400,2022-09-06 00:00:00,RANKER/USDT,0.00745,0.0079,0.00744,0.00744,3539669.1781,26711.904583573
1662336000,2022-09-05 00:00:00,RANKER/USDT,0.00773,0.0078,0.00745,0.00747,55509327.45490045,417310.9613737933885
1662249600,2022-09-04 00:00:00,RANKER/USDT,0.00776,0.00793,0.0077,0.00776,8868072.9707,68963.824342976
1662163200,2022-09-03 00:00:00,RANKER/USDT,0.00779,0.00793,0.0077,0.00776,4776357.5502,36954.226267814
1662076800,2022-09-02 00:00:00,RANKER/USDT,0.00771,0.00799,0.0077,0.00783,8147471.07,63709.020537023
1661990400,2022-09-01 00:00:00,RANKER/USDT,0.00794,0.00805,0.0077,0.00773,30940119.6886,240484.120110823
1661904000,2022-08-31 00:00:00,RANKER/USDT,0.00796,0.00836,0.00777,0.00793,8236652.207,66432.464665984
1661817600,2022-08-30 00:00:00,RANKER/USDT,0.00779,0.0084,0.00775,0.00795,10190483.3111,81618.736428995
1661731200,2022-08-29 00:00:00,RANKER/USDT,0.00772,0.00804,0.00761,0.00779,7651353.7368,59267.990341566
1661644800,2022-08-28 00:00:00,RANKER/USDT,0.00764,0.0082,0.0076,0.0077,7105347.5635,55794.434934176
1661558400,2022-08-27 00:00:00,RANKER/USDT,0.00777,0.0085,0.00761,0.00766,12609608.2518,99492.603536882
