https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDN,Volume USDT
1663455600,2022-09-17 23:00:00,USDN/USDT,0.9099,0.9138,0.9099,0.9138,389.0124,355.27638528
1663452000,2022-09-17 22:00:00,USDN/USDT,0.91,0.91,0.9099,0.9099,105.7871,96.25573989
1663448400,2022-09-17 21:00:00,USDN/USDT,0.9139,0.9139,0.9098,0.9138,786.8577,716.55351254
1663444800,2022-09-17 20:00:00,USDN/USDT,0.9139,0.9139,0.9139,0.9139,0,0
1663441200,2022-09-17 19:00:00,USDN/USDT,0.9139,0.9139,0.9139,0.9139,0,0
1663437600,2022-09-17 18:00:00,USDN/USDT,0.914,0.914,0.9139,0.9139,59.5649,54.43893085
1663434000,2022-09-17 17:00:00,USDN/USDT,0.914,0.914,0.914,0.914,76.3493,69.7832602
1663430400,2022-09-17 16:00:00,USDN/USDT,0.914,0.914,0.914,0.914,6.5194,5.9587316
1663426800,2022-09-17 15:00:00,USDN/USDT,0.914,0.9188,0.9139,0.914,604.2625,552.6907275
1663423200,2022-09-17 14:00:00,USDN/USDT,0.914,0.914,0.914,0.914,16.9505,15.492757
1663419600,2022-09-17 13:00:00,USDN/USDT,0.914,0.9187,0.914,0.9187,47.886,43.94073201
1663416000,2022-09-17 12:00:00,USDN/USDT,0.9165,0.9188,0.9133,0.9188,567.8606,519.92393537
1663412400,2022-09-17 11:00:00,USDN/USDT,0.9165,0.9165,0.9165,0.9165,86.9993,79.73485845
1663408800,2022-09-17 10:00:00,USDN/USDT,0.916,0.9211,0.916,0.9211,1749.7115,1609.13939035
1663405200,2022-09-17 09:00:00,USDN/USDT,0.9133,0.9171,0.9112,0.9116,520.8322,475.37951789
1663401600,2022-09-17 08:00:00,USDN/USDT,0.9164,0.9164,0.9133,0.9133,185.1634,169.31888278
1663398000,2022-09-17 07:00:00,USDN/USDT,0.914,0.9201,0.914,0.9164,276.7289,253.8568599
1663394400,2022-09-17 06:00:00,USDN/USDT,0.914,0.914,0.914,0.914,13.5469,12.3818666
1663390800,2022-09-17 05:00:00,USDN/USDT,0.914,0.9188,0.913,0.9188,515.846,472.12226217
1663387200,2022-09-17 04:00:00,USDN/USDT,0.914,0.914,0.914,0.914,16,14.624
1663383600,2022-09-17 03:00:00,USDN/USDT,0.914,0.914,0.914,0.914,0,0
1663380000,2022-09-17 02:00:00,USDN/USDT,0.914,0.914,0.914,0.914,16.7,15.2638
1663376400,2022-09-17 01:00:00,USDN/USDT,0.9189,0.9189,0.9122,0.9187,1850.7819,1692.2253732
1663372800,2022-09-17 00:00:00,USDN/USDT,0.9188,0.9188,0.9188,0.9188,23.598,21.6818424
1663369200,2022-09-16 23:00:00,USDN/USDT,0.9189,0.9189,0.9189,0.9189,0.8707,0.80008623
1663365600,2022-09-16 22:00:00,USDN/USDT,0.916,0.9228,0.916,0.9228,1993.0093,1835.19446778
1663362000,2022-09-16 21:00:00,USDN/USDT,0.914,0.914,0.914,0.914,0.9165,0.837681
1663358400,2022-09-16 20:00:00,USDN/USDT,0.9172,0.9187,0.914,0.9187,177.3036,162.35170512
1663354800,2022-09-16 19:00:00,USDN/USDT,0.9165,0.9223,0.9095,0.9172,1009.7531,924.69065861
1663351200,2022-09-16 18:00:00,USDN/USDT,0.9211,0.9211,0.9211,0.9211,47,43.2917
1663347600,2022-09-16 17:00:00,USDN/USDT,0.92,0.921,0.9142,0.921,1529.0088,1401.99143639
1663344000,2022-09-16 16:00:00,USDN/USDT,0.9211,0.9211,0.9201,0.9201,98.7484,90.89104561
1663340400,2022-09-16 15:00:00,USDN/USDT,0.9212,0.9212,0.9211,0.9211,4.8952,4.50898339
1663336800,2022-09-16 14:00:00,USDN/USDT,0.9215,0.9215,0.9211,0.9211,338.218,311.62346116
1663333200,2022-09-16 13:00:00,USDN/USDT,0.9239,0.9273,0.9214,0.9214,683.5176,631.83844776
1663329600,2022-09-16 12:00:00,USDN/USDT,0.9214,0.927,0.9213,0.9239,289.0623,267.43019051
1663326000,2022-09-16 11:00:00,USDN/USDT,0.9214,0.9214,0.9214,0.9214,24.2482,22.34229148
1663322400,2022-09-16 10:00:00,USDN/USDT,0.9262,0.9262,0.9214,0.9214,1839.8241,1702.65916846
1663318800,2022-09-16 09:00:00,USDN/USDT,0.92,0.9262,0.92,0.9262,1460.0676,1344.89284663
1663315200,2022-09-16 08:00:00,USDN/USDT,0.92,0.92,0.92,0.92,2349.5451,2161.581492
1663311600,2022-09-16 07:00:00,USDN/USDT,0.9211,0.9211,0.92,0.92,390.0503,358.91452177
1663308000,2022-09-16 06:00:00,USDN/USDT,0.9172,0.9205,0.9172,0.9202,253.0026,232.55787509
1663304400,2022-09-16 05:00:00,USDN/USDT,0.9165,0.9172,0.898,0.9171,10954.0545,9983.21096526
1663300800,2022-09-16 04:00:00,USDN/USDT,0.9187,0.9187,0.9164,0.9164,947.7427,868.80032101
1663297200,2022-09-16 03:00:00,USDN/USDT,0.9165,0.9165,0.9165,0.9165,80.2378,73.5379437
1663293600,2022-09-16 02:00:00,USDN/USDT,0.9165,0.9165,0.9165,0.9165,21.0391,19.28233515
1663290000,2022-09-16 01:00:00,USDN/USDT,0.9144,0.9144,0.9144,0.9144,0,0
1663286400,2022-09-16 00:00:00,USDN/USDT,0.9152,0.9152,0.9144,0.9144,102.7588,93.97703426
1663282800,2022-09-15 23:00:00,USDN/USDT,0.9164,0.9164,0.9154,0.9154,73.5131,67.33017698
1663279200,2022-09-15 22:00:00,USDN/USDT,0.9212,0.9212,0.9164,0.9164,640.3805,588.21149437
1663275600,2022-09-15 21:00:00,USDN/USDT,0.9214,0.9214,0.9173,0.9173,2932.2681,2694.413164
1663272000,2022-09-15 20:00:00,USDN/USDT,0.9176,0.9243,0.914,0.9243,1304.9357,1204.02785851
1663268400,2022-09-15 19:00:00,USDN/USDT,0.914,0.9188,0.9075,0.9188,2603.0036,2382.53296336
1663264800,2022-09-15 18:00:00,USDN/USDT,0.9164,0.9201,0.9139,0.9188,1778.9439,1633.45147299
1663261200,2022-09-15 17:00:00,USDN/USDT,0.9198,0.9203,0.9157,0.9164,812.4693,746.230506
1663257600,2022-09-15 16:00:00,USDN/USDT,0.9212,0.9237,0.9163,0.9237,3959.021,3630.02855388
1663254000,2022-09-15 15:00:00,USDN/USDT,0.9288,0.9322,0.9177,0.9177,6704.5091,6225.19662105
1663250400,2022-09-15 14:00:00,USDN/USDT,0.9374,0.9374,0.9287,0.9287,5416.0389,5063.52043855
1663246800,2022-09-15 13:00:00,USDN/USDT,0.9631,0.9644,0.9354,0.9361,7088.6665,6698.46926428
