https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XHV,Volume USDT
1663459200,2022-09-18 00:00:00,XHV/USDT,0.5009,0.5022,0.4979,0.5,303.4714,151.89371228
1663372800,2022-09-17 00:00:00,XHV/USDT,0.503,0.51,0.4821,0.502,66066.6053,33029.43460717
1663286400,2022-09-16 00:00:00,XHV/USDT,0.5118,0.5242,0.4851,0.5049,126046.6285,63673.20223156
1663200000,2022-09-15 00:00:00,XHV/USDT,0.512,0.5407,0.4979,0.5118,153611.0265,78684.64082044
1663113600,2022-09-14 00:00:00,XHV/USDT,0.4987,0.5376,0.4912,0.5139,120722.8174,61637.25927755
1663027200,2022-09-13 00:00:00,XHV/USDT,0.5307,0.5384,0.4881,0.4983,143522.0583,73784.42854101
1662940800,2022-09-12 00:00:00,XHV/USDT,0.5334,0.5544,0.52,0.5307,120318.8424,64859.74432844
1662854400,2022-09-11 00:00:00,XHV/USDT,0.528,0.554,0.52,0.5334,110814.8326,59604.64317465
1662768000,2022-09-10 00:00:00,XHV/USDT,0.536,0.544,0.516,0.5278,99440.4161,52563.2961391
1662681600,2022-09-09 00:00:00,XHV/USDT,0.5159,0.554,0.5159,0.539,171496.2401,92332.72611553
1662595200,2022-09-08 00:00:00,XHV/USDT,0.51,0.5285,0.501,0.5159,175145.4522,90263.15060424
1662508800,2022-09-07 00:00:00,XHV/USDT,0.4918,0.5155,0.47,0.514,182173.3602,89402.72998077
1662422400,2022-09-06 00:00:00,XHV/USDT,0.531,0.548,0.486,0.49,275397.2839,142456.76852065
1662336000,2022-09-05 00:00:00,XHV/USDT,0.5237,0.549,0.5101,0.5336,208500.0347,110983.14956691
1662249600,2022-09-04 00:00:00,XHV/USDT,0.5262,0.533,0.507,0.5256,67827.1372,35107.10835342
1662163200,2022-09-03 00:00:00,XHV/USDT,0.5446,0.5466,0.511,0.53,130543.5164,68594.93247151
1662076800,2022-09-02 00:00:00,XHV/USDT,0.5767,0.587,0.481,0.545,555836.3904,288080.74062641
1661990400,2022-09-01 00:00:00,XHV/USDT,0.5811,0.592,0.51,0.5767,401649.2212,218988.08014381
1661904000,2022-08-31 00:00:00,XHV/USDT,0.5121,0.65,0.512,0.5811,488823.984,282785.67275462
1661817600,2022-08-30 00:00:00,XHV/USDT,0.5265,0.5379,0.5,0.511,173949.7818,90059.69393043
1661731200,2022-08-29 00:00:00,XHV/USDT,0.509,0.5489,0.4818,0.5288,227843.9052,116356.57560652
1661644800,2022-08-28 00:00:00,XHV/USDT,0.5254,0.544,0.5022,0.5109,121318.1101,64150.17626736
1661558400,2022-08-27 00:00:00,XHV/USDT,0.5072,0.5344,0.497,0.524,188374.6875,97164.42624472
1661472000,2022-08-26 00:00:00,XHV/USDT,0.5838,0.63,0.4997,0.5106,279622.9666,152386.81896974
1661385600,2022-08-25 00:00:00,XHV/USDT,0.6028,0.612,0.5551,0.584,208769.4499,122009.4058189
1661299200,2022-08-24 00:00:00,XHV/USDT,0.6011,0.63,0.5726,0.603,327639.419,198548.99452239
1661212800,2022-08-23 00:00:00,XHV/USDT,0.5409,0.61,0.508,0.5987,249695.0669,140628.62584444
1661126400,2022-08-22 00:00:00,XHV/USDT,0.5166,0.57,0.4842,0.543,434048.7626,229693.55887116
1661040000,2022-08-21 00:00:00,XHV/USDT,0.493,0.5307,0.4826,0.5166,151897.0464,77946.78313666
1660953600,2022-08-20 00:00:00,XHV/USDT,0.4907,0.506,0.469,0.493,130910.7294,64125.56835875
