https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RACA,Volume USDT
1663459200,2022-09-18 00:00:00,RACA/USDT,0.000331,0.0003324,0.0003301,0.0003317,1011408.2007,335.50959643491
1663372800,2022-09-17 00:00:00,RACA/USDT,0.0003186,0.0003398,0.0003158,0.00033,65550613.0573,21232.38125108449
1663286400,2022-09-16 00:00:00,RACA/USDT,0.0003221,0.0003249,0.000312,0.0003173,138253763.6023,44036.98602171236
1663200000,2022-09-15 00:00:00,RACA/USDT,0.000346,0.0003513,0.0003165,0.000323,229786628.5958,75165.8741631412
1663113600,2022-09-14 00:00:00,RACA/USDT,0.0003548,0.0003645,0.0003351,0.0003467,142888611.682,50026.41685704943
1663027200,2022-09-13 00:00:00,RACA/USDT,0.0003783,0.0003859,0.0003474,0.0003567,211818771.0755,77189.66431893779
1662940800,2022-09-12 00:00:00,RACA/USDT,0.0003714,0.0004,0.0003375,0.0003774,206068176.8623,76114.42422386202
1662854400,2022-09-11 00:00:00,RACA/USDT,0.0003685,0.0003889,0.0003615,0.0003728,68785096.2697,25495.88257709141
1662768000,2022-09-10 00:00:00,RACA/USDT,0.0003716,0.0003889,0.0003659,0.0003682,118283694.6203,44262.72480370719
1662681600,2022-09-09 00:00:00,RACA/USDT,0.0003614,0.0003815,0.0003591,0.0003716,233685984.7743,86847.84913763589
1662595200,2022-09-08 00:00:00,RACA/USDT,0.000364,0.000369,0.0003521,0.0003607,107342199.4772,38561.74640595304
1662508800,2022-09-07 00:00:00,RACA/USDT,0.0003563,0.0003704,0.000342,0.000364,130588038.678,46414.68988543449
1662422400,2022-09-06 00:00:00,RACA/USDT,0.0003772,0.0003849,0.000352,0.0003581,133912068.169,49213.16074252484
1662336000,2022-09-05 00:00:00,RACA/USDT,0.00038,0.000384,0.0003666,0.0003777,61924798.8629,23254.64581084769
1662249600,2022-09-04 00:00:00,RACA/USDT,0.0003772,0.000385,0.000375,0.00038,85518178.3805,32416.28321331694
1662163200,2022-09-03 00:00:00,RACA/USDT,0.000376,0.00038,0.0003742,0.000377,38139776.5268,14358.36497998467
1662076800,2022-09-02 00:00:00,RACA/USDT,0.0003781,0.0003836,0.0003713,0.0003765,43443804.5777,16403.49967403049
1661990400,2022-09-01 00:00:00,RACA/USDT,0.0003788,0.0003857,0.0003669,0.0003782,101236073.943,38078.2157621237
1661904000,2022-08-31 00:00:00,RACA/USDT,0.00038,0.000391,0.0003758,0.0003802,109116809.8415,41798.02728101808
1661817600,2022-08-30 00:00:00,RACA/USDT,0.00039,0.0003904,0.0003734,0.0003786,143491183.137,54753.66968016961
