https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WMT,Volume USDT
1663459200,2022-09-18 00:00:00,WMT/USDT,0.2166,0.2174,0.2166,0.2174,25399.1137,5514.02426949
1663372800,2022-09-17 00:00:00,WMT/USDT,0.2128,0.217,0.2128,0.217,878622.034,189278.78216855
1663286400,2022-09-16 00:00:00,WMT/USDT,0.2154,0.2158,0.2089,0.213,613245.3241,130032.38833631
1663200000,2022-09-15 00:00:00,WMT/USDT,0.2164,0.2194,0.2144,0.2155,723913.4311,156543.14409244
1663113600,2022-09-14 00:00:00,WMT/USDT,0.2064,0.2186,0.2055,0.2166,1089390.1202,231479.12994602
1663027200,2022-09-13 00:00:00,WMT/USDT,0.2196,0.2206,0.2061,0.2066,966803.4244,208152.42595499
1662940800,2022-09-12 00:00:00,WMT/USDT,0.2243,0.2272,0.2154,0.2199,811905.7253,180499.47869013
1662854400,2022-09-11 00:00:00,WMT/USDT,0.2271,0.23,0.2218,0.2245,650392.1998,146952.27217147
1662768000,2022-09-10 00:00:00,WMT/USDT,0.2196,0.2285,0.2195,0.2268,631844.494,142410.37025865
1662681600,2022-09-09 00:00:00,WMT/USDT,0.2125,0.2202,0.2122,0.2198,381460.7508,82975.84510484
1662595200,2022-09-08 00:00:00,WMT/USDT,0.2172,0.2173,0.2061,0.2123,637740.0704,133825.2817301
1662508800,2022-09-07 00:00:00,WMT/USDT,0.21,0.2308,0.2049,0.2173,850449.4208,180002.36892041
1662422400,2022-09-06 00:00:00,WMT/USDT,0.2283,0.3216,0.2094,0.2103,981845.9863,225124.26324034
1662336000,2022-09-05 00:00:00,WMT/USDT,0.2244,0.23,0.2174,0.2279,573098.9138,128229.05594422
1662249600,2022-09-04 00:00:00,WMT/USDT,0.2157,0.2257,0.2089,0.2249,620025.7735,136535.70521614
1662163200,2022-09-03 00:00:00,WMT/USDT,0.2049,0.2198,0.203,0.2162,641054.5898,134774.05556079
1662076800,2022-09-02 00:00:00,WMT/USDT,0.208,0.2167,0.1988,0.2053,811850.1375,166830.27766567
1661990400,2022-09-01 00:00:00,WMT/USDT,0.2012,0.2246,0.193,0.2085,1100785.1775,222468.79403017
1661904000,2022-08-31 00:00:00,WMT/USDT,0.2001,0.2098,0.1953,0.2016,1075052.0088,217695.48085184
1661817600,2022-08-30 00:00:00,WMT/USDT,0.2015,0.2068,0.1959,0.2,1120470.7148,225176.54245151
1661731200,2022-08-29 00:00:00,WMT/USDT,0.1895,0.2014,0.1858,0.2014,1154299.5773,223347.42036019
1661644800,2022-08-28 00:00:00,WMT/USDT,0.194,0.1981,0.1885,0.1891,1028585.3084,198597.76974932
1661558400,2022-08-27 00:00:00,WMT/USDT,0.1901,0.1965,0.1773,0.1942,1438783.2816,274470.68411573
1661472000,2022-08-26 00:00:00,WMT/USDT,0.2104,0.2124,0.1893,0.1913,1284337.0991,266605.43640916
1661385600,2022-08-25 00:00:00,WMT/USDT,0.2094,0.2175,0.2065,0.2104,975717.8167,206161.62332733
1661299200,2022-08-24 00:00:00,WMT/USDT,0.2111,0.2145,0.2061,0.2095,516199.3895,108136.15731271
1661212800,2022-08-23 00:00:00,WMT/USDT,0.2085,0.2175,0.2035,0.2124,899890.3483,188379.2331148
1661126400,2022-08-22 00:00:00,WMT/USDT,0.2122,0.2129,0.1992,0.2082,1113512.8274,229405.2900501
1661040000,2022-08-21 00:00:00,WMT/USDT,0.2044,0.216,0.2008,0.211,1019329.5614,210363.28009061
