https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ASDBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,ASDBULL/USDT,1.891e-05,1.891e-05,1.891e-05,1.891e-05,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,ASDBULL/USDT,2.094e-05,2.094e-05,1.891e-05,1.891e-05,7389116.869381279,139.7282
1663372800000.0,2022-09-17 00:00:00,ASDBULL/USDT,1.935e-05,2.094e-05,1.932e-05,2.094e-05,974212.0343839541,20.4
1663286400000.0,2022-09-16 00:00:00,ASDBULL/USDT,1.714e-05,2.097e-05,1.714e-05,1.935e-05,199824248.0620155,3866.5992
1663200000000.0,2022-09-15 00:00:00,ASDBULL/USDT,1.182e-05,2.127e-05,1.182e-05,1.714e-05,124670536.75612603,2136.853
1663113600000.0,2022-09-14 00:00:00,ASDBULL/USDT,1.05e-05,1.182e-05,1.05e-05,1.182e-05,34662834.17935702,409.7147
1663027200000.0,2022-09-13 00:00:00,ASDBULL/USDT,1.18e-05,1.18e-05,1.05e-05,1.05e-05,265819.04761904763,2.7911
1662940800000.0,2022-09-12 00:00:00,ASDBULL/USDT,1.121e-05,1.208e-05,1.121e-05,1.18e-05,2755084.7457627114,32.51
1662854400000.0,2022-09-11 00:00:00,ASDBULL/USDT,1.145e-05,1.251e-05,1.118e-05,1.121e-05,2793928251.5611067,31319.9357
1662768000000.0,2022-09-10 00:00:00,ASDBULL/USDT,1.123e-05,1.149e-05,1.123e-05,1.145e-05,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,ASDBULL/USDT,1.126e-05,1.217e-05,1.123e-05,1.123e-05,32349465.716829922,363.2845
1662595200000.0,2022-09-08 00:00:00,ASDBULL/USDT,1.08e-05,1.133e-05,1.08e-05,1.126e-05,10062.166962699821,0.1133
1662508800000.0,2022-09-07 00:00:00,ASDBULL/USDT,1.011e-05,1.08e-05,9.94e-06,1.08e-05,980000.0,10.584
1662422400000.0,2022-09-06 00:00:00,ASDBULL/USDT,1.159e-05,1.159e-05,9.94e-06,1.011e-05,1394995.0544015826,14.1034
1662336000000.0,2022-09-05 00:00:00,ASDBULL/USDT,1.044e-05,1.161e-05,1.025e-05,1.159e-05,3886695.4270923203,45.0468
1662249600000.0,2022-09-04 00:00:00,ASDBULL/USDT,1.053e-05,1.053e-05,1.025e-05,1.044e-05,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,ASDBULL/USDT,1.049e-05,1.057e-05,1.025e-05,1.053e-05,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,ASDBULL/USDT,9.61e-06,1.056e-05,9.61e-06,1.049e-05,562306.9590085796,5.8986
1661990400000.0,2022-09-01 00:00:00,ASDBULL/USDT,9.64e-06,9.64e-06,9.61e-06,9.61e-06,80000.00000000001,0.7688
1661904000000.0,2022-08-31 00:00:00,ASDBULL/USDT,1.017e-05,1.017e-05,9.61e-06,9.64e-06,120248.96265560167,1.1592
1661817600000.0,2022-08-30 00:00:00,ASDBULL/USDT,1.057e-05,1.057e-05,9.87e-06,1.017e-05,3317168.1415929203,33.7356
1661731200000.0,2022-08-29 00:00:00,ASDBULL/USDT,1.111e-05,1.125e-05,1.056e-05,1.057e-05,2500000.0,26.425
1661644800000.0,2022-08-28 00:00:00,ASDBULL/USDT,1.037e-05,1.125e-05,1.008e-05,1.111e-05,11699018.901890188,129.9761
1661558400000.0,2022-08-27 00:00:00,ASDBULL/USDT,1.11e-05,1.11e-05,1.03e-05,1.037e-05,29864.995178399226,0.3097
1661472000000.0,2022-08-26 00:00:00,ASDBULL/USDT,1.096e-05,1.149e-05,1.096e-05,1.11e-05,13150162.162162162,145.9668
1661385600000.0,2022-08-25 00:00:00,ASDBULL/USDT,1.13e-05,1.158e-05,1.084e-05,1.096e-05,5307947.080291971,58.1751
1661299200000.0,2022-08-24 00:00:00,ASDBULL/USDT,1.916e-05,2.026e-05,1.019e-05,1.13e-05,12226362.831858408,138.1579
1661212800000.0,2022-08-23 00:00:00,ASDBULL/USDT,2.58e-05,2.584e-05,1.885e-05,1.916e-05,23427729.645093944,448.8753
1661126400000.0,2022-08-22 00:00:00,ASDBULL/USDT,1.922e-05,3.033e-05,1.843e-05,2.58e-05,155496437.98449612,4011.8081
1661040000000.0,2022-08-21 00:00:00,ASDBULL/USDT,1.858e-05,1.922e-05,1.856e-05,1.922e-05,10000.000000000002,0.1922
1660953600000.0,2022-08-20 00:00:00,ASDBULL/USDT,1.879e-05,1.879e-05,1.835e-05,1.858e-05,0.0,0.0
1660867200000.0,2022-08-19 00:00:00,ASDBULL/USDT,1.97e-05,2.078e-05,1.577e-05,1.879e-05,160544475.784992,3016.6307
1660780800000.0,2022-08-18 00:00:00,ASDBULL/USDT,1.702e-05,2.061e-05,1.7e-05,1.97e-05,29443609.137055833,580.0391
1660694400000.0,2022-08-17 00:00:00,ASDBULL/USDT,1.583e-05,1.72e-05,1.583e-05,1.702e-05,2940364.2773207994,50.045
1660608000000.0,2022-08-16 00:00:00,ASDBULL/USDT,1.714e-05,1.714e-05,1.583e-05,1.583e-05,360000.00000000006,5.6988
1660521600000.0,2022-08-15 00:00:00,ASDBULL/USDT,1.463e-05,1.714e-05,1.463e-05,1.714e-05,14229743.290548425,243.8978
1660435200000.0,2022-08-14 00:00:00,ASDBULL/USDT,1.463e-05,1.463e-05,1.463e-05,1.463e-05,0.0,0.0
1660348800000.0,2022-08-13 00:00:00,ASDBULL/USDT,1.36e-05,1.463e-05,1.36e-05,1.463e-05,6839999.999999999,100.0692
1660262400000.0,2022-08-12 00:00:00,ASDBULL/USDT,1.453e-05,1.463e-05,1.36e-05,1.36e-05,96022.05882352941,1.3059
