https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HBAR,Volume USDT
1663459200,2022-09-18 00:00:00,HBAR/USDT,0.06172,0.06172,0.06115,0.06133,520548.02707511,31910.6853647203309
1663372800,2022-09-17 00:00:00,HBAR/USDT,0.06065,0.0625,0.06065,0.06168,13060815.73471952,802974.374206300887
1663286400,2022-09-16 00:00:00,HBAR/USDT,0.06106,0.0615,0.05971,0.06065,12079633.12874103,732635.1244742547176
1663200000,2022-09-15 00:00:00,HBAR/USDT,0.06416,0.06423,0.06033,0.06105,17555742.42584711,1089055.6545723526964
1663113600,2022-09-14 00:00:00,HBAR/USDT,0.06483,0.06542,0.06239,0.06416,19723082.97037228,1257395.7793772722432
1663027200,2022-09-13 00:00:00,HBAR/USDT,0.07389,0.07389,0.063,0.06473,50563943.54713354,3443364.5957929758578
1662940800,2022-09-12 00:00:00,HBAR/USDT,0.064,0.07616,0.06283,0.07391,53921525.6174285,3709238.7094926212795
1662854400,2022-09-11 00:00:00,HBAR/USDT,0.0638,0.06493,0.06243,0.06396,10800904.34447285,689792.260284915076
1662768000,2022-09-10 00:00:00,HBAR/USDT,0.06366,0.065,0.06281,0.06382,11715847.53785255,746596.2035766474722
1662681600,2022-09-09 00:00:00,HBAR/USDT,0.06113,0.06434,0.061,0.06363,18151454.00596905,1145121.570219171434
1662595200,2022-09-08 00:00:00,HBAR/USDT,0.0607,0.06162,0.05918,0.06113,15340521.78509616,928308.2987544012653
1662508800,2022-09-07 00:00:00,HBAR/USDT,0.05846,0.06118,0.05764,0.06063,17515191.43154367,1040201.1837489991251
1662422400,2022-09-06 00:00:00,HBAR/USDT,0.06226,0.064,0.05757,0.05843,28429854.77121053,1737842.0270599797039
1662336000,2022-09-05 00:00:00,HBAR/USDT,0.06155,0.06299,0.06012,0.06215,13866905.81536087,854458.5362821233582
1662249600,2022-09-04 00:00:00,HBAR/USDT,0.0608,0.06157,0.06028,0.06148,8759343.92348243,534603.2625947186854
1662163200,2022-09-03 00:00:00,HBAR/USDT,0.06179,0.06217,0.0605,0.06086,6345120.66506016,389338.1007170933827
1662076800,2022-09-02 00:00:00,HBAR/USDT,0.0634,0.06374,0.06076,0.06187,14358785.3808158,895589.0018053209771
1661990400,2022-09-01 00:00:00,HBAR/USDT,0.06301,0.06359,0.06111,0.06341,10918671.17269299,679705.5235669105749
1661904000,2022-08-31 00:00:00,HBAR/USDT,0.06356,0.06727,0.06271,0.06301,11993013.35639432,772766.0562104315179
