https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume BCH
1663545600000,2022-09-19 00:00:00,BCH/EUR,111.4872,113.2208,111.467,113.1054,2600.8687439048163,22.99508904
1663459200000,2022-09-18 00:00:00,BCH/EUR,122.0373,122.0785,110.9028,111.615,53917.563815001595,483.06736384
1663372800000,2022-09-17 00:00:00,BCH/EUR,119.283,123.2696,119.2758,122.104,43979.33239369304,360.17929301
1663286400000,2022-09-16 00:00:00,BCH/EUR,117.7362,120.6368,116.5227,119.3657,49155.29900354617,411.80422017
1663200000000,2022-09-15 00:00:00,BCH/EUR,120.2233,122.821,116.476,117.6976,53238.186365999725,452.33026303
1663113600000,2022-09-14 00:00:00,BCH/EUR,118.1529,120.8858,116.6578,120.2327,37814.53966668539,314.51127411
1663027200000,2022-09-13 00:00:00,BCH/EUR,127.2643,131.3095,116.5863,117.7939,42517.66207101906,360.94960835
1662940800000,2022-09-12 00:00:00,BCH/EUR,129.3545,131.1045,124.8496,127.2743,50911.843411329886,400.01668374
1662854400000,2022-09-11 00:00:00,BCH/EUR,131.9657,132.4367,126.69,129.3555,62870.19505447808,486.02645465
1662768000000,2022-09-10 00:00:00,BCH/EUR,132.2299,134.0153,129.9409,131.9332,50290.1745810319,381.17907078
1662681600000,2022-09-09 00:00:00,BCH/EUR,126.694,137.8924,125.4048,132.1275,65061.31014334357,492.41308693
1662595200000,2022-09-08 00:00:00,BCH/EUR,118.4566,130.5392,116.2405,126.6899,50676.16602058158,400.00162618
1662508800000,2022-09-07 00:00:00,BCH/EUR,113.4394,119.1564,112.2221,118.4378,45291.246942160775,382.40533801
1662422400000,2022-09-06 00:00:00,BCH/EUR,126.2985,128.0688,113.0718,113.385,47720.0299936824,420.86722224
1662336000000,2022-09-05 00:00:00,BCH/EUR,119.1558,126.7942,118.1163,126.2657,46956.39812544602,371.88561997
1662249600000,2022-09-04 00:00:00,BCH/EUR,118.2723,119.163,116.9055,119.163,46050.652437323486,386.45093223
1662163200000,2022-09-03 00:00:00,BCH/EUR,116.8332,119.5861,116.4887,118.2765,45489.69361847573,384.60466465
1662076800000,2022-09-02 00:00:00,BCH/EUR,117.2113,119.9022,115.515,116.897,45174.647226694266,386.44830258
1661990400000,2022-09-01 00:00:00,BCH/EUR,114.6304,117.667,113.1024,117.2596,44572.123803904076,380.11492282
1661904000000,2022-08-31 00:00:00,BCH/EUR,114.3664,117.3943,114.0478,114.6252,43033.51865245332,375.4280791
1661817600000,2022-08-30 00:00:00,BCH/EUR,119.4559,120.401,111.8317,114.3197,45910.41608610282,401.59671593
1661731200000,2022-08-29 00:00:00,BCH/EUR,113.1916,119.671,111.8312,119.5179,46218.29646065677,386.70606211
1661644800000,2022-08-28 00:00:00,BCH/EUR,115.9004,121.2433,112.7736,112.8392,42961.63947557151,380.73328662
1661558400000,2022-08-27 00:00:00,BCH/EUR,116.5014,118.752,114.2345,115.8573,44327.77815222997,382.60669075
1661472000000,2022-08-26 00:00:00,BCH/EUR,131.0561,131.0561,115.5914,116.436,43984.91796731964,377.76046899
1661385600000,2022-08-25 00:00:00,BCH/EUR,131.1741,132.4518,129.4365,130.9635,49139.59384256779,375.21594828
1661299200000,2022-08-24 00:00:00,BCH/EUR,133.7665,139.2939,131.3311,131.3311,51111.36695218632,389.17946284
1661212800000,2022-08-23 00:00:00,BCH/EUR,123.503,135.7987,121.1787,133.7116,51210.42228743219,382.99161993
1661126400000,2022-08-22 00:00:00,BCH/EUR,119.0263,121.0828,118.2422,118.3545,2892.39720713064,24.43842192
1661040000000,2022-08-21 00:00:00,BCH/EUR,114.1432,120.1145,114.0851,118.848,45209.874542242556,380.40080222
1660953600000,2022-08-20 00:00:00,BCH/EUR,114.0387,117.6328,111.1518,114.199,43364.498957877884,379.72748411
1660867200000,2022-08-19 00:00:00,BCH/EUR,127.9523,127.9523,113.5775,114.0064,45461.71145777731,398.76455583
1660780800000,2022-08-18 00:00:00,BCH/EUR,131.5061,134.6127,127.047,127.9558,51186.82631537545,400.03521775
1660694400000,2022-08-17 00:00:00,BCH/EUR,134.2627,142.2605,130.5831,131.5112,49252.01400689184,374.5081332
1660608000000,2022-08-16 00:00:00,BCH/EUR,135.1776,136.315,132.7961,134.2827,50339.18279549592,374.8746696
1660521600000,2022-08-15 00:00:00,BCH/EUR,136.091,139.8376,131.3706,135.2795,50686.24500381011,374.67794458
