https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVX,Volume USDT
1663459200,2022-09-18 00:00:00,CVX/USDT,4.8355,4.8355,4.8,4.8158,28.1451,135.56231471
1663455600,2022-09-17 23:00:00,CVX/USDT,4.834,4.8614,4.834,4.8614,12.6132,61.15509185
1663452000,2022-09-17 22:00:00,CVX/USDT,4.8134,4.8377,4.8012,4.8377,10.8283,52.06981157
1663448400,2022-09-17 21:00:00,CVX/USDT,4.8176,4.8289,4.796,4.8289,60.6092,291.72274358
1663444800,2022-09-17 20:00:00,CVX/USDT,4.8001,4.821,4.8,4.8018,0.246,1.18156636
1663441200,2022-09-17 19:00:00,CVX/USDT,4.793,4.825,4.786,4.8091,105.5848,507.6994256
1663437600,2022-09-17 18:00:00,CVX/USDT,4.8021,4.8179,4.794,4.794,0.4677,2.24498165
1663434000,2022-09-17 17:00:00,CVX/USDT,4.8096,4.8169,4.7975,4.8039,0.6949,3.34102444
1663430400,2022-09-17 16:00:00,CVX/USDT,4.7696,4.8249,4.7696,4.8002,29.8942,143.13721959
1663426800,2022-09-17 15:00:00,CVX/USDT,4.7978,4.8077,4.7357,4.7696,94.5504,450.11484132
1663423200,2022-09-17 14:00:00,CVX/USDT,4.7578,4.8316,4.7578,4.8157,84.7802,407.77976507
1663419600,2022-09-17 13:00:00,CVX/USDT,4.75,4.7578,4.7341,4.7559,14.8564,70.56854479
1663416000,2022-09-17 12:00:00,CVX/USDT,4.7177,4.7333,4.7074,4.7265,97.6956,460.54077937
1663412400,2022-09-17 11:00:00,CVX/USDT,4.7199,4.7479,4.7152,4.746,15.144,71.42342381
1663408800,2022-09-17 10:00:00,CVX/USDT,4.7516,4.7516,4.725,4.732,15.0363,71.39503929
1663405200,2022-09-17 09:00:00,CVX/USDT,4.8019,4.8019,4.725,4.7409,112.9894,538.27412684
1663401600,2022-09-17 08:00:00,CVX/USDT,4.7712,4.8355,4.7712,4.8178,148.0576,710.34092522
