https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DINO,Volume USDT
1653526800,2022-05-26 01:00:00,DINO/USDT,0.0059,0.0059,0.0057,0.0057,1361.14074095,7.922346721605
1653523200,2022-05-26 00:00:00,DINO/USDT,0.0057,0.0059,0.0057,0.0057,86637.61674745,501.968771869955
1653519600,2022-05-25 23:00:00,DINO/USDT,0.0058,0.0059,0.0057,0.0057,118318.1735,687.80004171
1653516000,2022-05-25 22:00:00,DINO/USDT,0.0059,0.0059,0.0058,0.0058,2148.4347,12.52092126
1653512400,2022-05-25 21:00:00,DINO/USDT,0.0059,0.0059,0.0059,0.0059,5149.74815423,30.383514109957
1653508800,2022-05-25 20:00:00,DINO/USDT,0.0057,0.0057,0.0057,0.0057,90.4319,0.51546183
1653505200,2022-05-25 19:00:00,DINO/USDT,0.0058,0.0058,0.0057,0.0058,196616.75402757,1135.050930039906
1653501600,2022-05-25 18:00:00,DINO/USDT,0.0058,0.0058,0.0057,0.0058,2374.89726551,13.769381649958
1653498000,2022-05-25 17:00:00,DINO/USDT,0.0057,0.0058,0.0056,0.0058,22254.7203,125.87514438
1653494400,2022-05-25 16:00:00,DINO/USDT,0.0058,0.0058,0.0058,0.0058,5740.4758,33.29475964
1653490800,2022-05-25 15:00:00,DINO/USDT,0.0058,0.0058,0.0058,0.0058,104.216,0.6044528
1653487200,2022-05-25 14:00:00,DINO/USDT,0.0059,0.006,0.0057,0.0057,30464.62494,180.0987737
1653483600,2022-05-25 13:00:00,DINO/USDT,0.0059,0.0059,0.0058,0.0058,8502.9856,49.34954362
1653480000,2022-05-25 12:00:00,DINO/USDT,0.0058,0.006,0.0058,0.0058,183276.7483,1079.407625076439
1653476400,2022-05-25 11:00:00,DINO/USDT,0.0058,0.0059,0.0058,0.0058,28565.4651,166.21397865
1653472800,2022-05-25 10:00:00,DINO/USDT,0.0058,0.0058,0.0058,0.0058,1514.2075,8.7824035
1653469200,2022-05-25 09:00:00,DINO/USDT,0.0059,0.0059,0.0058,0.0059,7406.05253728,42.983601319952
1653465600,2022-05-25 08:00:00,DINO/USDT,0.0058,0.0058,0.0058,0.0058,14264.4522,82.73382276
1653462000,2022-05-25 07:00:00,DINO/USDT,0.0059,0.0059,0.0058,0.0058,8907.68862711,51.927062559949
1653458400,2022-05-25 06:00:00,DINO/USDT,0.0059,0.0059,0.0057,0.0057,52938.0323,303.32921201
