https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WAX,Volume USDT
1663459200,2022-09-18 00:00:00,WAX/USDT,0.0926,0.0926,0.0919,0.0921,143575.47631239,13220.997851156114
1663372800,2022-09-17 00:00:00,WAX/USDT,0.0901,0.0926,0.0898,0.0926,5932215.76499039,541887.962402539397
1663286400,2022-09-16 00:00:00,WAX/USDT,0.0895,0.0916,0.0888,0.0902,6758067.17497419,609693.406230019465
1663200000,2022-09-15 00:00:00,WAX/USDT,0.0919,0.094,0.0886,0.0894,9240314.42964023,838986.983405122756
1663113600,2022-09-14 00:00:00,WAX/USDT,0.0906,0.0928,0.0901,0.0919,7985476.09611796,730971.866573514016
1663027200,2022-09-13 00:00:00,WAX/USDT,0.1024,0.1025,0.0903,0.0907,13712856.98343612,1331809.681885531531
1662940800,2022-09-12 00:00:00,WAX/USDT,0.1019,0.1034,0.0994,0.1025,11404210.46411462,1158312.809047617489
1662854400,2022-09-11 00:00:00,WAX/USDT,0.0996,0.1032,0.0982,0.1019,12675461.94708605,1278163.489956474355
1662768000,2022-09-10 00:00:00,WAX/USDT,0.0993,0.1002,0.0974,0.0995,8347157.31675118,823038.212937443951
1662681600,2022-09-09 00:00:00,WAX/USDT,0.0962,0.1,0.0953,0.0994,9426497.01052667,922421.986286450844
1662595200,2022-09-08 00:00:00,WAX/USDT,0.0913,0.1022,0.09,0.0961,12801563.56139544,1200331.478475250809
1662508800,2022-09-07 00:00:00,WAX/USDT,0.0888,0.0916,0.0861,0.0912,7341706.18231822,650129.76104894831
1662422400,2022-09-06 00:00:00,WAX/USDT,0.0956,0.0972,0.0882,0.0889,8738411.66343259,816645.533592835377
1662336000,2022-09-05 00:00:00,WAX/USDT,0.0964,0.0971,0.0941,0.0955,5828428.05785083,555416.832349844881
1662249600,2022-09-04 00:00:00,WAX/USDT,0.0957,0.097,0.0943,0.0965,5315619.19320579,508210.600938837688
1662163200,2022-09-03 00:00:00,WAX/USDT,0.0963,0.0963,0.0945,0.0957,4571282.42050219,436817.321125748678
1662076800,2022-09-02 00:00:00,WAX/USDT,0.0971,0.0986,0.095,0.0963,7037264.02301367,683308.920402729172
1661990400,2022-09-01 00:00:00,WAX/USDT,0.0977,0.0982,0.0947,0.0973,7494458.04088139,723315.983907290221
1661904000,2022-08-31 00:00:00,WAX/USDT,0.0977,0.1016,0.0974,0.0977,8921841.40187024,883509.112556289078
1661817600,2022-08-30 00:00:00,WAX/USDT,0.0991,0.1008,0.0956,0.0976,8494467.48175911,835227.913593136959
1661731200,2022-08-29 00:00:00,WAX/USDT,0.0955,0.0995,0.094,0.0991,9025558.18982901,876229.547269727509
1661644800,2022-08-28 00:00:00,WAX/USDT,0.0956,0.1046,0.0942,0.0954,15792649.75190069,1561385.492137524972
1661558400,2022-08-27 00:00:00,WAX/USDT,0.0966,0.0974,0.0937,0.0956,6886398.3913094,660728.354970042496
1661472000,2022-08-26 00:00:00,WAX/USDT,0.1061,0.1062,0.0958,0.0966,12605809.31147126,1292051.293738386678
1661385600,2022-08-25 00:00:00,WAX/USDT,0.1027,0.1074,0.1027,0.1062,8752031.17962915,920494.674452341701
1661299200,2022-08-24 00:00:00,WAX/USDT,0.1023,0.1083,0.0998,0.1026,13704634.31102659,1411328.464725390847
1661212800,2022-08-23 00:00:00,WAX/USDT,0.0995,0.1027,0.0965,0.1022,10000910.243008,996461.60353410507
1661126400,2022-08-22 00:00:00,WAX/USDT,0.1028,0.1035,0.0963,0.0994,11623751.36392232,1150084.230900017989
1661040000,2022-08-21 00:00:00,WAX/USDT,0.1006,0.1038,0.099,0.1027,8922502.99381723,909001.469644361396
1660953600,2022-08-20 00:00:00,WAX/USDT,0.1011,0.1037,0.0986,0.1005,8039303.19432968,816978.373682849899
1660867200,2022-08-19 00:00:00,WAX/USDT,0.1153,0.1156,0.1009,0.1012,10303360.7504225,1088427.41539514436
1660780800,2022-08-18 00:00:00,WAX/USDT,0.1188,0.1197,0.1151,0.1152,7382379.1448814,871200.460018101874
1660694400,2022-08-17 00:00:00,WAX/USDT,0.1234,0.1263,0.1161,0.1187,13122425.18801868,1587163.869897345316
1660608000,2022-08-16 00:00:00,WAX/USDT,0.1269,0.1271,0.1218,0.1235,12750250.80956342,1580762.313254705909
1660521600,2022-08-15 00:00:00,WAX/USDT,0.1239,0.1285,0.1205,0.1269,15417897.61093775,1916370.119592443511
1660435200,2022-08-14 00:00:00,WAX/USDT,0.1237,0.1284,0.1215,0.1239,10386287.42846428,1299444.311052612109
1660348800,2022-08-13 00:00:00,WAX/USDT,0.1262,0.1263,0.1222,0.1238,9953403.65011594,1234614.576865292584
1660262400,2022-08-12 00:00:00,WAX/USDT,0.1253,0.1266,0.1197,0.1263,11948823.17786318,1471727.448583629541
1660176000,2022-08-11 00:00:00,WAX/USDT,0.1182,0.1277,0.1176,0.1253,14343986.13033218,1736374.309452621354
1660089600,2022-08-10 00:00:00,WAX/USDT,0.1134,0.1183,0.1095,0.1183,11150447.52731226,1269744.141652451206
1660003200,2022-08-09 00:00:00,WAX/USDT,0.1152,0.1183,0.1109,0.1135,10046698.08486462,1150861.206626444171
1659916800,2022-08-08 00:00:00,WAX/USDT,0.1138,0.1169,0.1126,0.1151,8343697.91268858,960238.428644164646
1659830400,2022-08-07 00:00:00,WAX/USDT,0.1128,0.1142,0.1118,0.1139,5240675.63350928,591904.862730532698
1659744000,2022-08-06 00:00:00,WAX/USDT,0.1153,0.1157,0.1123,0.1128,6110635.31842716,695882.233449751939
1659657600,2022-08-05 00:00:00,WAX/USDT,0.1119,0.1157,0.1111,0.1154,8047902.76010588,912095.307024027677
1659571200,2022-08-04 00:00:00,WAX/USDT,0.1126,0.1144,0.1094,0.1119,11308223.18397595,1265364.4439420849
1659484800,2022-08-03 00:00:00,WAX/USDT,0.1185,0.1185,0.1109,0.1127,10873593.41880654,1238721.099690603951
1659398400,2022-08-02 00:00:00,WAX/USDT,0.1159,0.1459,0.1159,0.1185,40155248.14365072,4987659.427573015601
1659312000,2022-08-01 00:00:00,WAX/USDT,0.1079,0.1252,0.1077,0.1159,22762741.22994009,2607566.953660618577
1659225600,2022-07-31 00:00:00,WAX/USDT,0.1054,0.1123,0.104,0.1077,12323155.06110977,1326210.143514094315
1659139200,2022-07-30 00:00:00,WAX/USDT,0.1068,0.1104,0.1043,0.1053,9374345.49981704,1003548.619235064791
1659052800,2022-07-29 00:00:00,WAX/USDT,0.1035,0.1072,0.1,0.1068,9627620.23250851,1002404.441299201955
1658966400,2022-07-28 00:00:00,WAX/USDT,0.1005,0.105,0.0988,0.1035,11794251.75403252,1196230.273717095827
1658880000,2022-07-27 00:00:00,WAX/USDT,0.0947,0.1006,0.0932,0.1006,7751041.77330659,746012.573533027107
1658793600,2022-07-26 00:00:00,WAX/USDT,0.0952,0.0956,0.0915,0.0946,6289779.12535884,586135.447349914862
