https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOSBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,EOSBULL/USDT,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,EOSBULL/USDT,4.3e-07,4.3e-07,2.6e-07,2.7e-07,48334922222.22222,13050.429
1663372800000.0,2022-09-17 00:00:00,EOSBULL/USDT,3.9e-07,4.4e-07,3.8e-07,4.3e-07,7968441860.465116,3426.43
1663286400000.0,2022-09-16 00:00:00,EOSBULL/USDT,3.6e-07,4.1e-07,3.6e-07,3.9e-07,17939874358.974358,6996.551
1663200000000.0,2022-09-15 00:00:00,EOSBULL/USDT,4.3e-07,4.4e-07,3.6e-07,3.6e-07,25694755555.555553,9250.112
1663113600000.0,2022-09-14 00:00:00,EOSBULL/USDT,4.4e-07,4.6e-07,3.9e-07,4.3e-07,19227704651.162792,8267.913
1663027200000.0,2022-09-13 00:00:00,EOSBULL/USDT,6.8e-07,7e-07,4.4e-07,4.4e-07,37816411363.63637,16639.221
1662940800000.0,2022-09-12 00:00:00,EOSBULL/USDT,7.4e-07,8.1e-07,6.4e-07,6.8e-07,1027733823.5294119,698.859
1662854400000.0,2022-09-11 00:00:00,EOSBULL/USDT,8e-07,8.9e-07,7e-07,7.4e-07,3767744594.5945945,2788.131
1662768000000.0,2022-09-10 00:00:00,EOSBULL/USDT,6.8e-07,9.2e-07,6.6e-07,8e-07,5354826250.0,4283.861
1662681600000.0,2022-09-09 00:00:00,EOSBULL/USDT,6.2e-07,7.6e-07,5.7e-07,6.8e-07,9666111764.705883,6572.956
1662595200000.0,2022-09-08 00:00:00,EOSBULL/USDT,6.9e-07,7.5e-07,6.1e-07,6.2e-07,25619616129.032257,15884.162
1662508800000.0,2022-09-07 00:00:00,EOSBULL/USDT,4.5e-07,7.2e-07,4.2e-07,6.9e-07,18679237681.159424,12888.674
1662422400000.0,2022-09-06 00:00:00,EOSBULL/USDT,6.6e-07,6.8e-07,4.4e-07,4.5e-07,26651137777.77778,11993.012
1662336000000.0,2022-09-05 00:00:00,EOSBULL/USDT,5.7e-07,6.9e-07,5e-07,6.6e-07,2750646969.6969695,1815.427
1662249600000.0,2022-09-04 00:00:00,EOSBULL/USDT,6.2e-07,6.3e-07,5.6e-07,5.7e-07,304266666.6666666,173.432
1662163200000.0,2022-09-03 00:00:00,EOSBULL/USDT,6.4e-07,7e-07,6.1e-07,6.2e-07,2141122580.6451614,1327.496
1662076800000.0,2022-09-02 00:00:00,EOSBULL/USDT,5.6e-07,6.8e-07,5.6e-07,6.4e-07,11740465625.0,7513.898
1661990400000.0,2022-09-01 00:00:00,EOSBULL/USDT,4.7e-07,5.7e-07,4.4e-07,5.6e-07,1569455357.142857,878.895
1661904000000.0,2022-08-31 00:00:00,EOSBULL/USDT,4.9e-07,5.3e-07,4.6e-07,4.7e-07,16173038297.872341,7601.328
1661817600000.0,2022-08-30 00:00:00,EOSBULL/USDT,6e-07,6.3e-07,4.5e-07,4.9e-07,11339722448.979593,5556.464
1661731200000.0,2022-08-29 00:00:00,EOSBULL/USDT,5.3e-07,6.1e-07,5.1e-07,6e-07,4863105000.0,2917.863
1661644800000.0,2022-08-28 00:00:00,EOSBULL/USDT,6.9e-07,7.2e-07,5.3e-07,5.3e-07,15155852830.188679,8032.602
1661558400000.0,2022-08-27 00:00:00,EOSBULL/USDT,7e-07,7e-07,6e-07,6.9e-07,8088201449.275363,5580.859
1661472000000.0,2022-08-26 00:00:00,EOSBULL/USDT,1.05e-06,1.09e-06,6.7e-07,7e-07,3534554285.714286,2474.188
1661385600000.0,2022-08-25 00:00:00,EOSBULL/USDT,1.1e-06,1.13e-06,9.1e-07,1.05e-06,15997968571.428572,16797.867
1661299200000.0,2022-08-24 00:00:00,EOSBULL/USDT,1.17e-06,1.18e-06,9.4e-07,1.1e-06,447021818.1818181,491.724
1661212800000.0,2022-08-23 00:00:00,EOSBULL/USDT,1.23e-06,1.32e-06,1e-06,1.17e-06,1571911111.1111112,1839.136
1661126400000.0,2022-08-22 00:00:00,EOSBULL/USDT,8.2e-07,1.36e-06,6.9e-07,1.23e-06,21722900813.00813,26719.168
1661040000000.0,2022-08-21 00:00:00,EOSBULL/USDT,6.1e-07,8.4e-07,5.7e-07,8.2e-07,10089635365.853659,8273.501
1660953600000.0,2022-08-20 00:00:00,EOSBULL/USDT,4.7e-07,6.2e-07,4.7e-07,6.1e-07,22079154098.360657,13468.284
1660867200000.0,2022-08-19 00:00:00,EOSBULL/USDT,8.1e-07,8.2e-07,4.6e-07,4.7e-07,11315655319.148937,5318.358
1660780800000.0,2022-08-18 00:00:00,EOSBULL/USDT,8e-07,9.3e-07,7.1e-07,8.1e-07,352365432.09876543,285.416
1660694400000.0,2022-08-17 00:00:00,EOSBULL/USDT,6.6e-07,1.06e-06,6.6e-07,8e-07,23721268750.0,18977.015
