https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL3L,Volume USDT
1663459200,2022-09-18 00:00:00,SOL3L/USDT,0.000307,0.000309,0.000301,0.000308,83098895.9041,25327.6725736695
1663372800,2022-09-17 00:00:00,SOL3L/USDT,0.000273,0.000314,0.000273,0.000308,1159423388.84809717,339990.83576802648779
1663286400,2022-09-16 00:00:00,SOL3L/USDT,0.000297,0.000301,0.000254,0.000271,1572897960.67862468,435541.70991774224148
1663200000,2022-09-15 00:00:00,SOL3L/USDT,0.000327,0.000345,0.000283,0.000297,2171494259.42044664,670558.16449964149912
1663113600,2022-09-14 00:00:00,SOL3L/USDT,0.000298,0.000335,0.000284,0.000328,2241179179.8331,693203.9304735532
1663027200,2022-09-13 00:00:00,SOL3L/USDT,0.000456,0.00051,0.000296,0.000298,3396551432.12452613,1355535.74686566656909
1662940800,2022-09-12 00:00:00,SOL3L/USDT,0.000376,0.000484,0.00036,0.000455,2409038944.60583089,1050445.82832137335977
1662854400,2022-09-11 00:00:00,SOL3L/USDT,0.00038,0.000411,0.000345,0.000379,1139701840.378,432552.172010351
1662768000,2022-09-10 00:00:00,SOL3L/USDT,0.00037,0.000393,0.000357,0.000381,813256391.8269,303459.8634009817
1662681600,2022-09-09 00:00:00,SOL3L/USDT,0.000338,0.000407,0.000337,0.000369,1869649076.35327679,706962.27331510030341
1662595200,2022-09-08 00:00:00,SOL3L/USDT,0.000312,0.000346,0.000294,0.000336,1744317170.862,556212.3269533841
1662508800,2022-09-07 00:00:00,SOL3L/USDT,0.000268,0.00032,0.000253,0.000312,1805953691.6622057,506933.5141837281421
1662422400,2022-09-06 00:00:00,SOL3L/USDT,0.000302,0.000353,0.000256,0.000269,3010782641.18630175,927986.90882298870375
1662336000,2022-09-05 00:00:00,SOL3L/USDT,0.000305,0.000316,0.000278,0.000303,1310439776.45862106,387307.85301335472316
1662249600,2022-09-04 00:00:00,SOL3L/USDT,0.000279,0.000309,0.000275,0.000304,910372079.0031,267589.9187492992
1662163200,2022-09-03 00:00:00,SOL3L/USDT,0.000284,0.000284,0.000268,0.000278,636460134.0547,176420.3418470774
1662076800,2022-09-02 00:00:00,SOL3L/USDT,0.000293,0.000314,0.000269,0.000284,1869465455.7162,544487.0058861312
1661990400,2022-09-01 00:00:00,SOL3L/USDT,0.000292,0.000298,0.000261,0.000293,1833548387.10052661,515817.17687870191775
1661904000,2022-08-31 00:00:00,SOL3L/USDT,0.000289,0.000325,0.000282,0.000292,1125382383.8963546,340889.47325700733835
1661817600,2022-08-30 00:00:00,SOL3L/USDT,0.000319,0.000337,0.000265,0.000288,1781262852.75545609,531341.06498373089205
1661731200,2022-08-29 00:00:00,SOL3L/USDT,0.000264,0.000326,0.000253,0.000319,1331222271.65694334,379938.97131792252176
1661644800,2022-08-28 00:00:00,SOL3L/USDT,0.000297,0.000325,0.000259,0.000262,1379673122.78798614,403961.97797877817678
1661558400,2022-08-27 00:00:00,SOL3L/USDT,0.000302,0.000316,0.000277,0.000296,1438744693.37254256,428617.46907563612239
1661472000,2022-08-26 00:00:00,SOL3L/USDT,0.000439,0.000449,0.000293,0.000304,2452768285.44239552,929729.64042167184068
1661385600,2022-08-25 00:00:00,SOL3L/USDT,0.000418,0.000478,0.000417,0.000439,1008834568.96021803,454132.8609217463522
1661299200,2022-08-24 00:00:00,SOL3L/USDT,0.00045,0.000478,0.000404,0.000418,1216071303.85391723,533069.2426157035005
1661212800,2022-08-23 00:00:00,SOL3L/USDT,0.000447,0.00047,0.000399,0.000449,1255710901.94900705,554351.98991762129963
1661126400,2022-08-22 00:00:00,SOL3L/USDT,0.000489,0.00049,0.000381,0.000445,1332953364.25466123,564232.09147378594211
1661040000,2022-08-21 00:00:00,SOL3L/USDT,0.000446,0.000508,0.000422,0.000488,1047911987.44171698,493823.75819274293248
1660953600,2022-08-20 00:00:00,SOL3L/USDT,0.000464,0.000523,0.000404,0.000448,1066452603.11280686,501643.41951729316128
1660867200,2022-08-19 00:00:00,SOL3L/USDT,0.000653,0.000661,0.000436,0.000467,2224911099.12056739,1162574.1120019232542
1660780800,2022-08-18 00:00:00,SOL3L/USDT,0.000705,0.000761,0.000645,0.000655,1165080656.14697487,833606.64577681391568
1660694400,2022-08-17 00:00:00,SOL3L/USDT,0.000864,0.00095,0.00069,0.000704,1687832510.74212757,1345398.86421364119374
1660608000,2022-08-16 00:00:00,SOL3L/USDT,0.0009,0.000938,0.00084,0.000861,1145196877.09122219,1010941.98669258204021
1660521600,2022-08-15 00:00:00,SOL3L/USDT,0.00099,0.001148,0.00085,0.000901,1499969087.41054407,1452126.37404801642998
1660435200,2022-08-14 00:00:00,SOL3L/USDT,0.001106,0.001207,0.000961,0.000989,1172206253.9796867,1259723.61978750185012
1660348800,2022-08-13 00:00:00,SOL3L/USDT,0.001013,0.001195,0.001004,0.001105,1435430362.23591371,1600849.16861278241651
1660262400,2022-08-12 00:00:00,SOL3L/USDT,0.000867,0.001015,0.000824,0.001012,1341590988.439043,1213549.17528769175697
1660176000,2022-08-11 00:00:00,SOL3L/USDT,0.000846,0.001012,0.000836,0.000866,1796808298.48580203,1658852.79224749294469
1660089600,2022-08-10 00:00:00,SOL3L/USDT,0.000741,0.000862,0.000672,0.000845,1915944830.24037549,1485288.24779112131551
