https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOOKS,Volume USDT
1663459200,2022-09-18 00:00:00,LOOKS/USDT,0.2465,0.2465,0.2442,0.2463,2310.5505,565.59944412
1663372800,2022-09-17 00:00:00,LOOKS/USDT,0.2375,0.2496,0.2355,0.2479,200788.7828,48852.16297041
1663286400,2022-09-16 00:00:00,LOOKS/USDT,0.2457,0.2473,0.2324,0.2375,383239.0359,90881.24154553
1663200000,2022-09-15 00:00:00,LOOKS/USDT,0.261,0.2643,0.2438,0.2456,178127.9135,44830.52810576
1663113600,2022-09-14 00:00:00,LOOKS/USDT,0.2611,0.2691,0.2426,0.261,229860.6563,59332.94338958
1663027200,2022-09-13 00:00:00,LOOKS/USDT,0.2899,0.2924,0.258,0.2628,296463.6204,80542.1397931
1662940800,2022-09-12 00:00:00,LOOKS/USDT,0.3039,0.31,0.2828,0.2917,312090.5571,92693.36134425
1662854400,2022-09-11 00:00:00,LOOKS/USDT,0.283,0.3081,0.2774,0.303,719264.6777,217657.00285262
1662768000,2022-09-10 00:00:00,LOOKS/USDT,0.2803,0.2887,0.2742,0.283,298058.8804,83223.42868019
1662681600,2022-09-09 00:00:00,LOOKS/USDT,0.261,0.2832,0.261,0.2808,194507.6728,53470.35153053
1662595200,2022-09-08 00:00:00,LOOKS/USDT,0.2648,0.2661,0.2527,0.261,418221.8896,109259.02003248
1662508800,2022-09-07 00:00:00,LOOKS/USDT,0.2653,0.2696,0.2518,0.2647,456215.7641,119963.93192841
1662422400,2022-09-06 00:00:00,LOOKS/USDT,0.2721,0.2844,0.2601,0.2664,281542.1194,76271.81990731
1662336000,2022-09-05 00:00:00,LOOKS/USDT,0.2785,0.2785,0.2636,0.2714,113916.9566,30492.83643331
1662249600,2022-09-04 00:00:00,LOOKS/USDT,0.2736,0.28,0.263,0.2785,114808.9213,31544.945952
1662163200,2022-09-03 00:00:00,LOOKS/USDT,0.2759,0.2802,0.2708,0.2736,101395.7695,27863.9529545
1662076800,2022-09-02 00:00:00,LOOKS/USDT,0.2952,0.2952,0.2702,0.2765,258545.2291,73145.74111282
1661990400,2022-09-01 00:00:00,LOOKS/USDT,0.2649,0.298,0.2607,0.2967,372077.6569,104285.59914053
1661904000,2022-08-31 00:00:00,LOOKS/USDT,0.2616,0.2752,0.2584,0.2649,404587.1142,108120.27655998
1661817600,2022-08-30 00:00:00,LOOKS/USDT,0.2613,0.2779,0.2486,0.2609,221267.9871,58640.59891493
1661731200,2022-08-29 00:00:00,LOOKS/USDT,0.2336,0.265,0.231,0.2616,235750.6792,59382.43546237
1661644800,2022-08-28 00:00:00,LOOKS/USDT,0.2457,0.2509,0.231,0.2321,228327.3518,55841.73353015
1661558400,2022-08-27 00:00:00,LOOKS/USDT,0.2421,0.2465,0.2373,0.2459,191480.9014,46464.45169689
1661472000,2022-08-26 00:00:00,LOOKS/USDT,0.2758,0.2758,0.2375,0.2421,412629.518,105578.79721961
1661385600,2022-08-25 00:00:00,LOOKS/USDT,0.2753,0.2837,0.2697,0.2752,271296.7523,75386.81994798
1661299200,2022-08-24 00:00:00,LOOKS/USDT,0.2812,0.285,0.2694,0.2753,242377.8832,67785.99598617
1661212800,2022-08-23 00:00:00,LOOKS/USDT,0.2767,0.289,0.2671,0.2807,254250.3856,70729.39785485
1661126400,2022-08-22 00:00:00,LOOKS/USDT,0.2801,0.2801,0.2561,0.2781,205835.9945,55235.52728316
1661040000,2022-08-21 00:00:00,LOOKS/USDT,0.2674,0.2818,0.265,0.2802,384013.0589,105089.0543961
1660953600,2022-08-20 00:00:00,LOOKS/USDT,0.2817,0.29,0.2547,0.2677,411234.6171,114111.11619032
1660867200,2022-08-19 00:00:00,LOOKS/USDT,0.3022,0.3094,0.274,0.2806,488195.8583,138804.48549255
1660780800,2022-08-18 00:00:00,LOOKS/USDT,0.3356,0.3428,0.3004,0.3041,341736.0881,110772.46920334
1660694400,2022-08-17 00:00:00,LOOKS/USDT,0.3448,0.3674,0.3298,0.3376,430409.0993,148896.53404318
1660608000,2022-08-16 00:00:00,LOOKS/USDT,0.3563,0.3646,0.3418,0.3467,291975.479,102980.80724059
1660521600,2022-08-15 00:00:00,LOOKS/USDT,0.3922,0.4068,0.3428,0.3582,612107.7695,228968.33702554
1660435200,2022-08-14 00:00:00,LOOKS/USDT,0.41,0.4309,0.3886,0.3938,338282.7306,137360.57646815
1660348800,2022-08-13 00:00:00,LOOKS/USDT,0.4024,0.4469,0.3989,0.4106,343537.4256,144063.46104404
1660262400,2022-08-12 00:00:00,LOOKS/USDT,0.3962,0.4156,0.3842,0.4015,230649.1232,92228.87873524
1660176000,2022-08-11 00:00:00,LOOKS/USDT,0.4106,0.427,0.3945,0.3972,274240.1657,112186.34732093
1660089600,2022-08-10 00:00:00,LOOKS/USDT,0.3822,0.4226,0.3644,0.4101,383627.5739,152449.09182677
1660003200,2022-08-09 00:00:00,LOOKS/USDT,0.408,0.4099,0.367,0.3812,319560.4364,122975.56439262
1659916800,2022-08-08 00:00:00,LOOKS/USDT,0.3976,0.435,0.3919,0.4098,448701.8648,187720.68342171
1659830400,2022-08-07 00:00:00,LOOKS/USDT,0.4014,0.4112,0.3852,0.3946,140920.6513,56346.98973452
1659744000,2022-08-06 00:00:00,LOOKS/USDT,0.4054,0.4139,0.3909,0.4012,312582.6294,125739.93417866
1659657600,2022-08-05 00:00:00,LOOKS/USDT,0.3569,0.41,0.3569,0.4038,495141.9645,187929.94656365
